,Num_contacts,num_contacts_traced,num_positive_contacts,num_sympt_patients_traced,contact_tracing_time,tracing_round,hcw_id,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,hcws_put_on_ppe,patients_put_in_isolation
0,6,2,0,2,103.49305555555556,1,7,94.66666666666667,6,0,1,0
1,8,2,0,5,120.5625,1,111,115.0,3,0,0,0
2,17,5,0,1,202.20138888888889,1,102,196.51388888888889,11,0,2,7
3,20,6,0,2,102.45833333333333,1,117,97.0,21,1,5,8
4,3,2,0,0,235.34722222222223,1,121,230.0,3,0,3,0
5,7,2,0,4,90.78472222222223,1,205,87.33333333333333,6,0,1,0
6,15,6,2,0,109.49305555555556,1,236,106.0,18,0,4,5
7,18,9,5,1,90.40277777777777,1,34,87.34027777777777,10,2,4,13
8,13,7,0,0,87.11111111111111,1,185,85.0,15,0,2,10
9,19,9,0,2,102.96527777777777,1,163,100.83333333333333,12,0,4,10
10,3,3,0,0,166.79861111111111,1,69,162.6875,5,0,3,0
11,12,4,0,8,96.98611111111111,1,28,91.0,2,0,3,0
12,13,5,1,0,108.97222222222223,1,200,106.00694444444444,18,0,3,6
13,16,7,1,2,116.33333333333333,1,36,112.67361111111111,20,0,3,8
14,12,6,2,0,100.84027777777777,1,158,95.52777777777777,19,1,3,3
15,16,9,0,2,104.43055555555556,1,101,97.18055555555556,15,1,5,10
16,3,3,0,0,182.45833333333334,1,104,178.0,4,0,0,0
17,8,3,0,4,91.42361111111111,1,169,81.0,7,1,3,0
18,15,5,1,1,93.38194444444444,1,159,89.52083333333333,22,0,2,6
19,14,7,0,0,83.5625,1,85,81.0,26,0,5,5
20,13,3,0,0,163.64583333333334,1,161,155.5,25,1,2,10
21,7,2,1,5,90.65277777777777,1,10,83.0,8,0,2,0
22,16,11,0,0,141.72222222222223,1,150,132.36111111111111,25,0,4,10
23,1,1,0,0,77.20138888888889,1,160,74.0,6,0,1,0
24,4,3,0,0,146.47222222222223,1,248,142.0,8,0,2,0
25,4,2,0,2,87.84027777777777,1,122,85.16666666666667,6,0,2,0
26,14,6,1,1,156.56944444444446,1,115,149.66666666666666,22,0,3,5
27,8,3,0,3,101.71527777777777,1,56,97.02777777777777,6,0,3,0
28,18,10,0,0,90.40277777777777,1,76,88.5,24,0,5,10
29,17,8,0,1,124.44444444444444,1,192,120.0,25,0,3,10
30,5,2,0,3,94.30555555555556,1,98,90.33333333333333,7,0,2,0
31,5,2,0,2,86.90277777777777,1,77,80.0,6,0,2,0
32,15,7,0,0,121.625,1,9,115.0,15,0,4,9
33,7,4,0,3,134.88194444444446,1,4,131.0,4,0,2,0
34,7,2,0,4,103.90972222222223,1,2,99.0,5,0,2,0
35,13,4,0,0,91.43055555555556,1,164,84.52777777777777,17,0,3,3
36,12,5,1,0,92.6875,1,114,86.0,22,0,3,2
37,17,8,0,1,144.88888888888889,1,61,142.375,13,0,3,13
38,16,5,0,1,156.40277777777777,1,118,149.69444444444446,13,0,4,7
39,2,2,0,0,144.28472222222223,1,194,139.0,5,0,2,0
40,16,5,0,0,101.75,1,181,96.0,22,0,2,11
41,18,5,2,3,91.75694444444444,1,116,89.54166666666667,10,1,4,6
42,16,6,0,0,122.25,1,233,114.25,23,0,3,3
43,10,5,0,2,98.52777777777777,1,54,95.0,6,0,1,0
44,6,2,0,0,104.03472222222223,1,42,96.0,9,0,2,3
45,19,7,0,0,123.40972222222223,1,227,114.35416666666667,11,0,3,18
46,17,7,0,0,100.36805555555556,1,95,98.35416666666667,20,0,4,9
47,12,4,0,0,131.27083333333334,1,119,128.08333333333334,24,1,1,4
48,17,6,3,0,92.35416666666667,1,124,89.0,17,0,3,4
49,20,10,0,0,123.48611111111111,1,71,114.68055555555556,11,0,4,2
50,16,7,0,0,132.85416666666666,1,173,121.0,21,0,4,12
51,11,7,0,0,200.20138888888889,1,254,193.51388888888889,21,0,3,7
52,20,7,0,0,95.03472222222223,1,13,88.16666666666667,24,0,3,13
53,19,10,0,1,103.13194444444444,1,39,100.02083333333333,11,0,4,15
54,12,5,0,0,103.48611111111111,1,112,101.0,28,0,3,8
55,16,8,0,0,88.75,1,1603,83.0,19,1,2,10
56,19,11,0,1,98.78472222222223,1,1383,91.72222222222223,14,0,3,13
57,6,2,0,4,89.84722222222223,1,1626,88.0,2,0,2,0
58,17,8,1,0,89.1875,1,1104,87.0,21,0,4,7
59,18,8,1,1,104.54166666666667,1,1331,100.38888888888889,19,0,5,12
60,7,1,0,6,92.25694444444444,1,1280,87.0,3,0,1,0
61,3,2,0,0,143.42361111111111,1,1795,139.0,5,0,2,0
62,7,5,0,2,156.36111111111111,1,1640,149.0,1,0,4,0
63,12,4,0,1,120.18055555555556,1,1080,117.0,26,0,1,10
64,14,10,0,0,86.6875,1,1205,81.16666666666667,19,0,5,6
65,3,2,0,1,84.63888888888889,1,1228,76.0,5,0,2,0
66,5,2,0,1,101.40972222222223,1,1234,88.0,8,0,1,0
67,6,3,0,0,121.05555555555556,1,1553,113.56944444444444,9,0,2,2
68,15,7,1,1,162.16666666666666,1,1226,159.94444444444446,22,0,4,7
69,17,8,0,0,92.20138888888889,1,1549,91.00694444444444,24,2,4,6
70,13,7,2,1,84.89583333333333,1,1135,74.5,17,0,2,8
71,16,5,0,0,106.59027777777777,1,1513,99.79166666666667,20,1,4,3
72,16,11,2,0,99.75,1,1491,96.0,12,0,4,9
73,16,7,0,0,128.09722222222223,1,1154,122.11111111111111,20,0,2,7
74,5,3,0,2,137.83333333333334,1,1295,131.89583333333334,1,0,2,0
75,19,7,1,1,89.34027777777777,1,1044,80.22222222222223,17,0,6,10
76,1,1,0,0,84.10416666666667,1,1003,79.72916666666667,2,0,1,0
77,17,4,0,0,146.0625,1,1396,139.0,15,0,3,7
78,11,8,0,0,195.42361111111111,1,1042,190.0,22,0,4,7
79,19,10,0,1,105.58333333333333,1,1575,102.39583333333333,11,0,6,10
80,9,5,0,0,96.40277777777777,1,1000,90.0,5,0,1,8
81,18,6,1,5,103.69444444444444,1,1618,95.0,18,1,4,1
82,13,5,1,0,93.58333333333333,1,1604,89.0,14,0,2,9
83,18,9,2,0,99.13888888888889,1,1018,95.17361111111111,11,0,4,11
84,2,1,0,1,134.29861111111111,1,1581,127.0,1,0,1,0
85,8,1,0,7,100.75694444444444,1,1092,95.0,1,0,1,0
86,13,5,1,3,118.375,1,1499,114.44444444444444,20,1,3,6
87,13,4,0,0,104.45138888888889,1,1548,96.16666666666667,21,0,3,3
88,12,2,1,1,99.67361111111111,1,1613,95.5,19,2,3,4
89,8,2,0,5,104.60416666666667,1,1186,98.38888888888889,5,0,2,0
90,14,6,0,0,74.72916666666667,1,1106,72.0,17,0,3,8
91,18,10,1,1,138.80555555555554,1,1819,132.05555555555554,25,0,4,8
92,3,2,0,1,84.875,1,1460,80.72222222222223,6,0,2,0
93,14,7,0,0,113.28472222222223,1,1429,110.89583333333333,7,0,3,5
94,13,7,0,0,108.11111111111111,1,1268,101.11111111111111,4,0,3,9
95,15,9,0,0,107.53472222222223,1,1111,100.0,17,0,3,11
96,7,5,0,0,101.11805555555556,1,1537,94.0,9,0,4,1
97,17,3,0,10,95.83333333333333,1,1034,86.66666666666667,6,0,1,1
98,11,7,1,0,93.61111111111111,1,1162,90.0,20,0,3,1
99,13,3,0,0,106.93055555555556,1,1520,100.0,23,0,2,10
100,5,3,0,1,90.04166666666667,1,1439,87.0,5,0,3,0
101,13,4,0,1,93.30555555555556,1,1341,88.0,21,0,2,10
102,2,1,0,1,111.84027777777777,1,1317,106.0,7,0,1,0
103,1,1,0,0,81.53472222222223,1,1130,73.0,8,0,1,0
104,11,6,0,1,200.15277777777777,1,1218,192.61111111111111,11,0,3,6
105,11,4,0,1,92.38888888888889,1,1408,89.95833333333333,25,0,1,5
106,17,5,1,4,104.94444444444444,1,1288,102.22916666666667,18,1,1,4
107,16,9,0,0,103.13888888888889,1,1619,93.16666666666667,10,0,5,8
108,13,3,0,2,95.45138888888889,1,1635,93.0,19,1,2,9
109,14,8,0,0,154.86111111111111,1,1173,149.0,23,0,5,7
110,10,2,0,1,116.75,1,1589,111.5,11,0,1,6
111,16,8,2,1,104.72916666666667,1,1207,102.05555555555556,12,1,3,8
112,2,2,0,0,72.01388888888889,1,1046,61.729166666666664,2,0,2,0
113,16,6,0,0,91.58333333333333,1,1467,88.0,26,0,4,9
114,4,1,0,2,160.25,1,1507,155.55555555555554,6,0,0,0
115,5,4,0,1,65.97916666666667,1,1099,60.666666666666664,2,0,4,0
116,24,12,0,0,114.31944444444444,1,1206,106.72222222222223,12,0,6,10
117,5,4,0,0,105.92361111111111,1,1093,100.0,7,0,3,0
118,2,1,0,1,79.09027777777777,1,1413,73.0,1,0,1,0
