,n_contacts_traced,n_pos_contacts,positivity_rate
0,1712.0,124.0,7.242990654205608
1,1830.0,132.0,7.213114754098361
2,1911.0,125.0,6.541077969649399
3,1950.0,138.0,7.076923076923077
4,1996.0,158.0,7.915831663326653
5,1819.0,155.0,8.521165475536009
6,2244.0,157.0,6.996434937611408
7,1656.0,120.0,7.246376811594203
8,1661.0,102.0,6.1408789885611075
9,1634.0,84.0,5.140758873929008
10,1693.0,89.0,5.256940342587123
11,1897.0,138.0,7.2746441750131785
12,1907.0,196.0,10.27792343995805
13,1627.0,103.0,6.330669944683467
14,1405.0,78.0,5.551601423487544
15,2044.0,164.0,8.023483365949119
16,1834.0,136.0,7.415485278080698
17,1586.0,75.0,4.7288776796973515
18,1907.0,119.0,6.240167802831673
19,1984.0,115.0,5.796370967741935
20,1462.0,78.0,5.33515731874145
21,1826.0,136.0,7.447973713033954
22,1923.0,139.0,7.228289131565263
23,1643.0,81.0,4.930006086427267
24,1843.0,94.0,5.100379815518177
25,1964.0,113.0,5.753564154786151
26,1698.0,131.0,7.714958775029446
27,1401.0,100.0,7.137758743754461
28,1857.0,117.0,6.30048465266559
29,1940.0,114.0,5.876288659793815
30,1422.0,143.0,10.056258790436006
31,1350.0,60.0,4.444444444444445
32,1637.0,84.0,5.131337813072694
33,1901.0,117.0,6.154655444502893
34,1976.0,129.0,6.52834008097166
35,1516.0,78.0,5.145118733509235
36,1732.0,89.0,5.138568129330254
37,1767.0,124.0,7.017543859649122
38,1572.0,87.0,5.534351145038168
39,1559.0,91.0,5.837075048107762
40,1859.0,120.0,6.455083378160301
41,1876.0,104.0,5.543710021321962
42,1815.0,129.0,7.107438016528926
43,1957.0,169.0,8.635666836995401
44,1974.0,158.0,8.00405268490375
45,1997.0,118.0,5.908863294942414
46,1531.0,86.0,5.6172436316133245
47,2213.0,157.0,7.094441934026209
48,1671.0,111.0,6.642728904847397
49,1266.0,77.0,6.082148499210111
50,1539.0,77.0,5.003248862897986
51,1915.0,106.0,5.535248041775457
52,1670.0,113.0,6.766467065868263
53,1805.0,111.0,6.149584487534626
54,1599.0,99.0,6.191369606003752
55,1472.0,96.0,6.521739130434782
56,1792.0,111.0,6.194196428571429
57,1726.0,129.0,7.473928157589803
58,1698.0,125.0,7.361601884570082
59,1518.0,106.0,6.982872200263505
60,1741.0,127.0,7.294658242389431
61,1396.0,72.0,5.157593123209169
62,1673.0,124.0,7.411835026897789
63,1819.0,136.0,7.4766355140186915
64,1833.0,133.0,7.255864702673214
65,1754.0,97.0,5.530216647662486
66,2063.0,147.0,7.125545322346098
67,1643.0,99.0,6.0255629945222156
68,1681.0,111.0,6.603212373587151
69,2198.0,137.0,6.232939035486806
70,1799.0,101.0,5.6142301278488045
71,1565.0,83.0,5.303514376996805
72,1748.0,121.0,6.922196796338673
73,1803.0,131.0,7.265668330560177
74,1773.0,96.0,5.414551607445008
75,1894.0,140.0,7.391763463569165
76,1934.0,102.0,5.274043433298862
77,2032.0,120.0,5.905511811023622
78,1835.0,116.0,6.321525885558583
79,2284.0,160.0,7.005253940455342
80,1458.0,109.0,7.47599451303155
81,1785.0,101.0,5.658263305322129
82,1440.0,89.0,6.180555555555555
83,1947.0,127.0,6.5228556753980484
84,1438.0,102.0,7.093184979137691
85,1776.0,123.0,6.925675675675675
86,1849.0,107.0,5.78691184424013
87,1748.0,118.0,6.750572082379863
88,1763.0,100.0,5.672149744753262
89,1912.0,109.0,5.700836820083682
90,1503.0,87.0,5.788423153692615
91,1870.0,132.0,7.0588235294117645
92,1807.0,179.0,9.905921416712784
93,1866.0,110.0,5.894962486602358
94,1712.0,90.0,5.257009345794392
95,1722.0,113.0,6.562137049941928
96,1475.0,109.0,7.389830508474576
97,2012.0,173.0,8.59840954274354
98,1760.0,138.0,7.840909090909091
99,1862.0,142.0,7.626208378088077
