,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,2.0
67,2.0
68,2.0
69,6.0
70,7.0
71,8.0
72,9.0
73,7.0
74,7.0
75,11.0
76,9.0
77,10.0
78,12.0
79,15.0
80,18.0
81,23.0
82,21.0
83,24.0
84,28.0
85,29.0
86,29.0
87,30.0
88,29.0
89,31.0
90,33.0
91,27.0
92,26.0
93,29.0
94,29.0
95,28.0
96,27.0
97,24.0
98,27.0
99,29.0
100,26.0
101,27.0
102,30.0
103,31.0
104,31.0
105,33.0
106,37.0
107,37.0
108,36.0
109,32.0
110,29.0
111,27.0
112,24.0
113,21.0
114,20.0
115,21.0
116,24.0
117,25.0
118,24.0
119,24.0
120,23.0
121,21.0
122,19.0
123,17.0
124,17.0
125,15.0
126,12.0
127,11.0
128,13.0
129,10.0
130,8.0
131,8.0
132,9.0
133,11.0
134,10.0
135,7.0
136,7.0
137,7.0
138,7.0
139,6.0
140,4.0
141,5.0
142,6.0
143,6.0
144,5.0
145,5.0
146,5.0
147,6.0
148,6.0
149,5.0
150,4.0
151,5.0
152,4.0
153,3.0
154,2.0
155,1.0
156,1.0
157,1.0
158,0.0
159,1.0
160,1.0
161,1.0
162,2.0
163,2.0
164,2.0
165,2.0
166,1.0
167,1.0
168,1.0
169,0.0
170,0.0
171,0.0
172,0.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,0.0
181,0.0
182,1.0
183,1.0
184,2.0
185,2.0
186,2.0
187,2.0
188,2.0
189,1.0
190,1.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,1.0
238,1.0
