,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
0,244.0,89.0,33.0,78.0,4.0,12.0,22.0,5.0,1.0,120.0,172.0,72.0,0.0,4.0,9925.0,9763.0,202.0,181.0,31.0,32.0,100.0,36.47540983606557,13.524590163934427,31.9672131147541,1.639344262295082,4.918032786885246,9.01639344262295,2.0491803278688523,0.4098360655737705
1,242.0,82.0,26.0,82.0,3.0,16.0,29.0,3.0,1.0,124.0,174.0,68.0,3.0,3.0,9787.0,9623.0,204.0,196.0,23.0,23.0,111.0,33.88429752066116,10.743801652892563,33.88429752066116,1.2396694214876034,6.6115702479338845,11.983471074380166,1.2396694214876034,0.4132231404958678
2,263.0,92.0,36.0,61.0,7.0,15.0,39.0,11.0,2.0,119.0,193.0,70.0,1.0,2.0,9715.0,9554.0,227.0,197.0,33.0,33.0,100.0,34.98098859315589,13.688212927756654,23.193916349809886,2.661596958174905,5.7034220532319395,14.828897338403042,4.182509505703422,0.7604562737642585
3,294.0,98.0,24.0,123.0,9.0,18.0,17.0,4.0,1.0,131.0,238.0,56.0,1.0,3.0,9983.0,9821.0,238.0,220.0,28.0,46.0,140.0,33.333333333333336,8.16326530612245,41.83673469387755,3.061224489795918,6.122448979591836,5.782312925170068,1.3605442176870748,0.3401360544217687
4,242.0,73.0,33.0,77.0,7.0,21.0,28.0,2.0,1.0,125.0,170.0,72.0,1.0,1.0,10027.0,9867.0,226.0,192.0,23.0,27.0,105.0,30.165289256198346,13.636363636363637,31.818181818181817,2.8925619834710745,8.677685950413224,11.570247933884298,0.8264462809917356,0.4132231404958678
5,286.0,97.0,36.0,89.0,9.0,13.0,32.0,7.0,3.0,120.0,204.0,82.0,1.0,1.0,10219.0,10059.0,258.0,231.0,28.0,27.0,121.0,33.91608391608391,12.587412587412587,31.11888111888112,3.1468531468531467,4.545454545454546,11.188811188811188,2.4475524475524475,1.048951048951049
6,305.0,114.0,33.0,99.0,8.0,19.0,25.0,6.0,1.0,150.0,221.0,84.0,0.0,3.0,9764.0,9603.0,279.0,237.0,36.0,32.0,124.0,37.377049180327866,10.819672131147541,32.459016393442624,2.622950819672131,6.229508196721311,8.19672131147541,1.9672131147540983,0.32786885245901637
7,266.0,90.0,33.0,86.0,3.0,9.0,33.0,9.0,3.0,106.0,211.0,55.0,0.0,4.0,9951.0,9789.0,201.0,219.0,24.0,23.0,119.0,33.83458646616541,12.406015037593985,32.330827067669176,1.1278195488721805,3.3834586466165413,12.406015037593985,3.3834586466165413,1.1278195488721805
8,232.0,79.0,23.0,69.0,5.0,19.0,33.0,3.0,1.0,121.0,180.0,52.0,0.0,1.0,9898.0,9739.0,211.0,183.0,25.0,24.0,102.0,34.05172413793103,9.913793103448276,29.74137931034483,2.1551724137931036,8.189655172413794,14.224137931034482,1.293103448275862,0.43103448275862066
9,198.0,69.0,31.0,62.0,4.0,9.0,20.0,2.0,1.0,124.0,138.0,60.0,0.0,3.0,9988.0,9827.0,191.0,148.0,27.0,23.0,82.0,34.84848484848485,15.656565656565656,31.31313131313131,2.0202020202020203,4.545454545454546,10.1010101010101,1.0101010101010102,0.5050505050505051
10,248.0,86.0,23.0,83.0,9.0,19.0,25.0,2.0,1.0,134.0,181.0,67.0,1.0,3.0,9976.0,9814.0,213.0,200.0,19.0,29.0,108.0,34.67741935483871,9.274193548387096,33.46774193548387,3.629032258064516,7.661290322580645,10.080645161290322,0.8064516129032258,0.4032258064516129
11,222.0,54.0,26.0,89.0,11.0,18.0,21.0,2.0,1.0,139.0,174.0,48.0,0.0,1.0,9983.0,9824.0,218.0,174.0,19.0,29.0,110.0,24.324324324324323,11.711711711711711,40.090090090090094,4.954954954954955,8.108108108108109,9.45945945945946,0.9009009009009009,0.45045045045045046
12,230.0,88.0,29.0,66.0,6.0,14.0,25.0,2.0,0.0,123.0,159.0,71.0,0.0,4.0,9846.0,9684.0,217.0,167.0,32.0,31.0,91.0,38.26086956521739,12.608695652173912,28.695652173913043,2.608695652173913,6.086956521739131,10.869565217391305,0.8695652173913043,0.0
13,327.0,113.0,41.0,111.0,13.0,14.0,28.0,7.0,0.0,134.0,238.0,89.0,0.0,2.0,9790.0,9630.0,283.0,263.0,33.0,31.0,139.0,34.5565749235474,12.53822629969419,33.944954128440365,3.9755351681957185,4.281345565749236,8.562691131498472,2.140672782874618,0.0
14,206.0,70.0,25.0,70.0,8.0,9.0,18.0,6.0,0.0,128.0,154.0,52.0,0.0,3.0,9861.0,9700.0,199.0,158.0,18.0,30.0,88.0,33.980582524271846,12.135922330097088,33.980582524271846,3.883495145631068,4.368932038834951,8.737864077669903,2.912621359223301,0.0
15,241.0,78.0,30.0,81.0,8.0,12.0,25.0,6.0,1.0,120.0,186.0,55.0,1.0,3.0,10026.0,9864.0,190.0,177.0,18.0,46.0,106.0,32.365145228215766,12.448132780082988,33.60995850622407,3.319502074688797,4.979253112033195,10.37344398340249,2.4896265560165975,0.4149377593360996
16,253.0,91.0,24.0,87.0,2.0,13.0,27.0,7.0,2.0,115.0,195.0,58.0,0.0,3.0,10022.0,9861.0,212.0,204.0,23.0,26.0,114.0,35.96837944664031,9.486166007905139,34.387351778656125,0.7905138339920948,5.138339920948616,10.671936758893281,2.766798418972332,0.7905138339920948
17,334.0,123.0,47.0,102.0,9.0,10.0,37.0,6.0,0.0,113.0,251.0,83.0,1.0,4.0,9957.0,9794.0,260.0,269.0,36.0,29.0,139.0,36.82634730538922,14.071856287425149,30.538922155688624,2.694610778443114,2.9940119760479043,11.077844311377245,1.7964071856287425,0.0
18,311.0,106.0,47.0,108.0,4.0,15.0,25.0,6.0,0.0,106.0,241.0,70.0,0.0,2.0,9941.0,9781.0,235.0,233.0,28.0,50.0,133.0,34.08360128617363,15.112540192926046,34.72668810289389,1.2861736334405145,4.823151125401929,8.038585209003216,1.9292604501607717,0.0
19,316.0,117.0,34.0,96.0,11.0,16.0,38.0,4.0,0.0,133.0,235.0,81.0,0.0,1.0,9873.0,9714.0,259.0,248.0,29.0,39.0,134.0,37.0253164556962,10.759493670886076,30.379746835443036,3.481012658227848,5.063291139240507,12.025316455696203,1.2658227848101267,0.0
20,291.0,98.0,30.0,101.0,8.0,12.0,34.0,7.0,1.0,140.0,220.0,71.0,1.0,3.0,9927.0,9765.0,254.0,214.0,36.0,41.0,135.0,33.67697594501718,10.309278350515465,34.707903780068726,2.7491408934707904,4.123711340206185,11.683848797250858,2.4054982817869415,0.3436426116838488
21,344.0,131.0,53.0,107.0,5.0,19.0,26.0,2.0,1.0,117.0,276.0,68.0,1.0,3.0,9778.0,9616.0,285.0,272.0,28.0,44.0,133.0,38.08139534883721,15.406976744186046,31.1046511627907,1.4534883720930232,5.523255813953488,7.558139534883721,0.5813953488372093,0.29069767441860467
