,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,204.0,0.0,0.0,0.0,0.0,0.0,0.0
1,204.0,0.0,0.0,0.0,0.0,0.0,0.0
2,204.0,0.0,0.0,0.0,0.0,0.0,0.0
3,204.0,0.0,0.0,0.0,0.0,0.0,0.0
4,204.0,0.0,0.0,0.0,0.0,0.0,0.0
5,204.0,0.0,0.0,0.0,0.0,0.0,0.0
6,204.0,0.0,0.0,0.0,0.0,0.0,0.0
7,204.0,0.0,0.0,0.0,0.0,0.0,0.0
8,204.0,0.0,0.0,0.0,0.0,0.0,0.0
9,204.0,0.0,0.0,0.0,0.0,0.0,0.0
10,204.0,0.0,0.0,0.0,0.0,0.0,0.0
11,204.0,0.0,0.0,0.0,0.0,0.0,0.0
12,204.0,0.0,0.0,0.0,0.0,0.0,0.0
13,204.0,0.0,0.0,0.0,0.0,0.0,0.0
14,204.0,0.0,0.0,0.0,0.0,0.0,0.0
15,204.0,0.0,0.0,0.0,0.0,0.0,0.0
16,204.0,0.0,0.0,0.0,0.0,0.0,0.0
17,204.0,0.0,0.0,0.0,0.0,0.0,0.0
18,204.0,0.0,0.0,0.0,0.0,0.0,0.0
19,204.0,0.0,0.0,0.0,0.0,0.0,0.0
20,204.0,0.0,0.0,0.0,0.0,0.0,0.0
21,204.0,0.0,0.0,0.0,0.0,0.0,0.0
22,204.0,0.0,0.0,0.0,0.0,0.0,0.0
23,204.0,0.0,0.0,0.0,0.0,0.0,0.0
24,204.0,0.0,0.0,0.0,0.0,0.0,0.0
25,204.0,0.0,0.0,0.0,0.0,0.0,0.0
26,204.0,0.0,0.0,0.0,0.0,0.0,0.0
27,204.0,0.0,0.0,0.0,0.0,0.0,0.0
28,204.0,0.0,0.0,0.0,0.0,0.0,0.0
29,204.0,0.0,0.0,0.0,0.0,0.0,0.0
30,204.0,0.0,0.0,0.0,0.0,0.0,0.0
31,204.0,0.0,0.0,0.0,0.0,0.0,0.0
32,204.0,0.0,0.0,0.0,0.0,0.0,0.0
33,204.0,0.0,0.0,0.0,0.0,0.0,0.0
34,204.0,0.0,0.0,0.0,0.0,0.0,0.0
35,204.0,0.0,0.0,0.0,0.0,0.0,0.0
36,204.0,0.0,0.0,0.0,0.0,0.0,0.0
37,204.0,0.0,0.0,0.0,0.0,0.0,0.0
38,204.0,0.0,0.0,0.0,0.0,0.0,0.0
39,204.0,0.0,0.0,0.0,0.0,0.0,0.0
40,204.0,0.0,0.0,0.0,0.0,0.0,0.0
41,204.0,0.0,0.0,0.0,0.0,0.0,0.0
42,204.0,0.0,0.0,0.0,0.0,0.0,0.0
43,204.0,0.0,0.0,0.0,0.0,0.0,0.0
44,204.0,0.0,0.0,0.0,0.0,0.0,0.0
45,204.0,0.0,0.0,0.0,0.0,0.0,0.0
46,204.0,0.0,0.0,0.0,0.0,0.0,0.0
47,204.0,0.0,0.0,0.0,0.0,0.0,0.0
48,204.0,0.0,0.0,0.0,0.0,0.0,0.0
49,204.0,0.0,0.0,0.0,0.0,0.0,0.0
50,204.0,0.0,0.0,0.0,0.0,0.0,0.0
51,204.0,0.0,0.0,0.0,0.0,0.0,0.0
52,204.0,0.0,0.0,0.0,0.0,0.0,0.0
53,204.0,0.0,0.0,0.0,0.0,0.0,0.0
54,204.0,0.0,0.0,0.0,0.0,0.0,0.0
55,204.0,0.0,0.0,0.0,0.0,0.0,0.0
56,204.0,0.0,0.0,0.0,0.0,0.0,0.0
57,204.0,0.0,0.0,0.0,0.0,0.0,0.0
58,204.0,0.0,0.0,0.0,0.0,0.0,0.0
59,204.0,0.0,0.0,0.0,0.0,0.0,0.0
60,204.0,0.0,0.0,0.0,0.0,0.0,0.0
61,204.0,0.0,0.0,0.0,0.0,0.0,0.0
62,204.0,0.0,0.0,0.0,0.0,0.0,0.0
63,204.0,0.0,0.0,0.0,0.0,0.0,0.0
64,204.0,0.0,0.0,0.0,0.0,0.0,0.0
65,204.0,0.0,0.0,0.0,0.0,0.0,0.0
66,204.0,0.0,0.0,0.0,0.0,0.0,0.0
67,204.0,0.0,0.0,0.0,0.0,0.0,0.0
68,204.0,0.0,0.0,0.0,0.0,0.0,0.0
69,204.0,0.0,0.0,0.0,0.0,0.0,0.0
70,204.0,0.0,0.0,0.0,0.0,0.0,0.0
71,204.0,0.0,0.0,0.0,0.0,0.0,0.0
72,203.0,1.0,0.0,0.0,0.0,0.0,0.0
73,202.0,1.0,0.0,0.0,0.0,0.0,1.0
74,202.0,1.0,0.0,0.0,0.0,0.0,1.0
75,202.0,1.0,0.0,0.0,0.0,0.0,1.0
76,201.0,2.0,1.0,0.0,0.0,0.0,1.0
77,200.0,2.0,1.0,0.0,0.0,0.0,2.0
78,200.0,2.0,1.0,0.0,0.0,0.0,2.0
79,197.0,5.0,1.0,0.0,0.0,0.0,2.0
80,195.0,5.0,1.0,0.0,0.0,0.0,4.0
81,194.0,5.0,2.0,0.0,0.0,0.0,5.0
82,195.0,3.0,4.0,0.0,0.0,0.0,7.0
83,192.0,3.0,3.0,0.0,0.0,1.0,9.0
84,198.0,3.0,5.0,0.0,0.0,1.0,10.0
85,196.0,5.0,5.0,0.0,0.0,1.0,10.0
86,192.0,8.0,5.0,0.0,1.0,1.0,11.0
87,191.0,8.0,7.0,0.0,1.0,2.0,11.0
88,192.0,8.0,7.0,0.0,1.0,3.0,12.0
89,191.0,7.0,6.0,0.0,1.0,5.0,12.0
90,189.0,8.0,7.0,0.0,1.0,5.0,13.0
91,184.0,8.0,5.0,0.0,1.0,10.0,10.0
92,187.0,5.0,8.0,0.0,2.0,10.0,11.0
93,186.0,4.0,9.0,0.0,1.0,11.0,13.0
94,182.0,4.0,9.0,0.0,1.0,15.0,13.0
95,182.0,4.0,8.0,0.0,2.0,18.0,12.0
96,180.0,5.0,8.0,0.0,2.0,19.0,12.0
97,179.0,5.0,7.0,0.0,3.0,21.0,11.0
98,181.0,4.0,8.0,0.0,3.0,22.0,10.0
99,175.0,4.0,5.0,0.0,2.0,27.0,10.0
100,172.0,4.0,4.0,0.0,2.0,29.0,10.0
101,172.0,1.0,3.0,0.0,4.0,31.0,11.0
102,170.0,1.0,4.0,0.0,3.0,36.0,7.0
103,169.0,2.0,3.0,0.0,3.0,37.0,7.0
104,167.0,2.0,3.0,0.0,2.0,39.0,7.0
105,165.0,2.0,3.0,0.0,2.0,41.0,6.0
106,165.0,2.0,3.0,0.0,2.0,41.0,6.0
107,165.0,2.0,3.0,0.0,2.0,41.0,6.0
108,163.0,2.0,2.0,0.0,1.0,44.0,6.0
109,160.0,3.0,1.0,0.0,1.0,48.0,3.0
110,159.0,3.0,1.0,0.0,1.0,49.0,2.0
111,158.0,4.0,1.0,0.0,1.0,49.0,2.0
112,158.0,3.0,1.0,0.0,1.0,50.0,2.0
113,158.0,3.0,2.0,0.0,1.0,50.0,2.0
114,158.0,3.0,2.0,0.0,1.0,51.0,1.0
115,157.0,2.0,3.0,0.0,0.0,53.0,0.0
116,158.0,1.0,4.0,0.0,0.0,53.0,0.0
