,transmission_time,incubation_time,infection_time,disease_state
0,9552,730,9504,State.EXPOSED
1,9816,282,9552,State.EXPOSED
2,9864,234,9552,State.EXPOSED
3,10087,237,9816,State.EXPOSED
4,10121,952,9936,State.EXPOSED
5,10128,,9552,State.SEVERE
6,10257,816,9936,State.EXPOSED
7,10497,341,10257,State.EXPOSED
8,10530,543,9936,State.EXPOSED
9,10609,229,10257,State.EXPOSED
10,10617,221,10257,State.EXPOSED
11,10632,,10609,State.ASYMPTOMATIC
12,10640,198,10257,State.EXPOSED
13,10706,132,10257,State.EXPOSED
14,10720,265,10368,State.EXPOSED
15,10768,1138,10656,State.EXPOSED
16,10776,412,10720,State.EXPOSED
17,10793,,10609,State.ASYMPTOMATIC
18,10818,,10368,State.ASYMPTOMATIC
19,10840,348,10720,State.EXPOSED
20,10848,513,10512,State.EXPOSED
21,10881,104,10368,State.EXPOSED
22,10920,986,10656,State.EXPOSED
23,11000,425,10768,State.EXPOSED
24,11008,337,10848,State.EXPOSED
25,11024,401,10768,State.EXPOSED
26,11065,802,10776,State.EXPOSED
27,11070,836,10656,State.EXPOSED
28,11184,15,10920,State.EXPOSED
29,11184,161,10848,State.EXPOSED
30,11186,467,10818,State.EXPOSED
31,11208,,10920,State.SEVERE
32,11216,690,10656,State.EXPOSED
33,11224,121,10848,State.EXPOSED
34,11249,,10840,State.ASYMPTOMATIC
35,11257,88,10848,State.EXPOSED
36,11265,0,10707,State.SEVERE
37,11280,,10920,State.SEVERE
38,11298,,11008,State.ASYMPTOMATIC
39,11314,561,11065,State.EXPOSED
40,11346,529,11065,State.EXPOSED
41,11362,403,11186,State.EXPOSED
42,11376,,10920,State.SEVERE
43,11394,,11088,State.ASYMPTOMATIC
44,11442,,10920,State.SEVERE
45,11457,,10920,State.SEVERE
46,11496,249,11070,State.EXPOSED
47,11522,416,11346,State.EXPOSED
48,11528,410,11346,State.EXPOSED
49,11546,0,11135,State.SEVERE
50,11552,,11088,State.ASYMPTOMATIC
51,11608,0,11042,State.MILD
52,11618,127,11070,State.EXPOSED
53,11619,145,11184,State.EXPOSED
54,11622,134,11184,State.EXPOSED
55,11634,130,11184,State.EXPOSED
56,11689,631,11520,State.EXPOSED
57,11691,629,11520,State.EXPOSED
58,11700,447,11265,State.EXPOSED
59,11761,3,11184,State.EXPOSED
60,11768,170,11552,State.EXPOSED
61,11808,691,11664,State.EXPOSED
62,11820,845,11520,State.EXPOSED
63,11842,96,11346,State.EXPOSED
64,11864,252,11689,State.EXPOSED
65,11880,58,11552,State.EXPOSED
66,11888,,11314,State.ASYMPTOMATIC
67,11896,781,11618,State.EXPOSED
68,11952,236,11522,State.EXPOSED
69,11968,0,11410,State.MILD
70,11992,685,11618,State.EXPOSED
71,12016,57,11808,State.EXPOSED
72,12024,49,11808,State.EXPOSED
73,12036,457,11808,State.EXPOSED
74,12040,,11552,State.MILD
75,12042,31,11808,State.EXPOSED
76,12080,206,11691,State.EXPOSED
77,12089,292,11768,State.EXPOSED
78,12096,0,11702,State.MILD
79,12098,237,11820,State.EXPOSED
80,12113,552,11520,State.EXPOSED
81,12122,377,11664,State.EXPOSED
82,12136,260,11842,State.EXPOSED
83,12144,,11808,State.ASYMPTOMATIC
84,12168,0,11453,State.SEVERE
85,12168,245,12024,State.EXPOSED
86,12178,71,11808,State.EXPOSED
87,12184,65,11808,State.EXPOSED
88,12192,310,11808,State.EXPOSED
89,12193,309,11808,State.EXPOSED
90,12194,219,12024,State.EXPOSED
91,12216,200,11808,State.EXPOSED
92,12218,931,11761,State.EXPOSED
93,12222,280,11808,State.EXPOSED
94,12240,156,11842,State.EXPOSED
95,12248,765,12184,State.EXPOSED
96,12312,333,12144,State.EXPOSED
97,12313,,11952,State.ASYMPTOMATIC
98,12320,96,11808,State.EXPOSED
99,12336,778,11888,State.EXPOSED
100,12362,346,12089,State.EXPOSED
101,12369,0,11610,State.SEVERE
102,12376,655,11952,State.EXPOSED
103,12384,388,11952,State.EXPOSED
104,12392,316,12089,State.EXPOSED
105,12409,184,12240,State.EXPOSED
106,12424,4,12122,State.EXPOSED
107,12442,309,12193,State.EXPOSED
108,12497,158,12216,State.EXPOSED
109,12529,,12384,State.ASYMPTOMATIC
110,12530,0,12189,State.SEVERE
111,12552,0,12162,State.SEVERE
112,12556,37,12240,State.EXPOSED
113,12576,73,12384,State.EXPOSED
114,12584,272,12178,State.EXPOSED
115,12636,395,11952,State.EXPOSED
116,12672,,12384,State.ASYMPTOMATIC
117,12752,,12576,State.ASYMPTOMATIC
118,12752,,12320,State.ASYMPTOMATIC
119,12772,355,12528,State.EXPOSED
120,12785,1118,12336,State.EXPOSED
121,12796,804,12556,State.EXPOSED
122,12804,,12312,State.ASYMPTOMATIC
123,12808,1095,12336,State.EXPOSED
124,12816,784,12556,State.EXPOSED
125,12817,677,12672,State.EXPOSED
126,12820,0,12175,State.SEVERE
127,12873,1030,12336,State.EXPOSED
128,12888,1015,12336,State.EXPOSED
129,12920,539,12672,State.EXPOSED
130,12929,891,12785,State.EXPOSED
131,12936,402,12804,State.EXPOSED
132,12993,,12816,State.ASYMPTOMATIC
133,13008,126,12442,State.EXPOSED
134,13017,886,12336,State.EXPOSED
135,13080,534,12920,State.EXPOSED
136,13089,699,12817,State.EXPOSED
137,13121,376,12772,State.EXPOSED
138,13161,0,12330,State.SEVERE
139,13161,623,13104,State.EXPOSED
140,13228,110,12804,State.EXPOSED
141,13240,621,13080,State.EXPOSED
142,13241,1562,12929,State.EXPOSED
143,13272,516,12817,State.EXPOSED
144,13280,765,13240,State.EXPOSED
145,13280,842,12960,State.EXPOSED
146,13314,470,13104,State.EXPOSED
147,13336,448,13104,State.EXPOSED
148,13368,129,12772,State.EXPOSED
149,13386,778,12960,State.EXPOSED
150,13400,,12816,State.ASYMPTOMATIC
151,13400,722,12960,State.EXPOSED
152,13401,301,12993,State.EXPOSED
153,13416,645,13121,State.EXPOSED
154,13424,698,12960,State.EXPOSED
155,13424,637,13121,State.EXPOSED
156,13465,319,13104,State.EXPOSED
157,13466,762,13280,State.EXPOSED
158,13494,367,13080,State.EXPOSED
159,13521,219,13161,State.EXPOSED
160,13530,1122,13314,State.EXPOSED
161,13536,849,13272,State.EXPOSED
162,13546,1106,13314,State.EXPOSED
163,13553,614,13465,State.EXPOSED
164,13578,807,13272,State.EXPOSED
165,13584,1228,13401,State.EXPOSED
166,13586,505,13336,State.EXPOSED
167,13608,824,13400,State.EXPOSED
168,13608,1204,13401,State.EXPOSED
169,13616,816,13400,State.EXPOSED
170,13624,467,13336,State.EXPOSED
171,13665,724,13521,State.EXPOSED
172,13672,419,13336,State.EXPOSED
173,13696,,13553,State.ASYMPTOMATIC
174,13760,,13624,State.ASYMPTOMATIC
175,13784,,13584,State.ASYMPTOMATIC
176,13792,419,13536,State.EXPOSED
177,13793,859,13314,State.EXPOSED
178,13800,348,13400,State.EXPOSED
179,13801,825,13680,State.EXPOSED
180,13808,818,13680,State.EXPOSED
181,13841,514,13578,State.EXPOSED
182,13848,537,13272,State.EXPOSED
183,13888,,13624,State.ASYMPTOMATIC
184,13888,208,13808,State.EXPOSED
185,13897,1801,13792,State.EXPOSED
186,13922,207,13760,State.EXPOSED
187,13928,283,13536,State.EXPOSED
188,13936,0,13429,State.MILD
189,13936,960,13608,State.EXPOSED
190,13952,944,13608,State.EXPOSED
191,13952,674,13680,State.EXPOSED
192,13960,0,13429,State.MILD
193,13960,188,13400,State.EXPOSED
194,13968,928,13608,State.EXPOSED
195,13968,191,13888,State.EXPOSED
196,13992,,13553,State.ASYMPTOMATIC
197,14024,,13793,State.ASYMPTOMATIC
198,14040,715,13696,State.EXPOSED
199,14052,,13680,State.ASYMPTOMATIC
200,14073,553,13680,State.EXPOSED
201,14080,186,13848,State.EXPOSED
202,14088,121,13672,State.EXPOSED
203,14106,123,13784,State.EXPOSED
204,14114,507,13968,State.EXPOSED
205,14121,,13553,State.ASYMPTOMATIC
206,14121,500,13968,State.EXPOSED
207,14137,129,13848,State.EXPOSED
208,14184,,13808,State.SEVERE
209,14224,,13800,State.ASYMPTOMATIC
210,14298,371,13968,State.EXPOSED
211,14298,300,14137,State.EXPOSED
212,14344,917,14224,State.EXPOSED
213,14352,724,14106,State.EXPOSED
214,14403,266,13968,State.EXPOSED
215,14416,0,13899,State.MILD
216,14426,283,14121,State.EXPOSED
217,14465,121,13897,State.EXPOSED
218,14474,82,14052,State.EXPOSED
219,14475,81,14052,State.EXPOSED
220,14480,440,14400,State.EXPOSED
221,14488,588,14106,State.EXPOSED
222,14505,708,14403,State.EXPOSED
223,14523,2,14114,State.EXPOSED
224,14528,707,13960,State.EXPOSED
225,14538,0,13955,State.SEVERE
226,14544,532,14106,State.EXPOSED
227,14544,,13992,State.ASYMPTOMATIC
228,14550,119,13968,State.EXPOSED
229,14552,709,14224,State.EXPOSED
230,14600,109,14121,State.EXPOSED
231,14648,61,14121,State.EXPOSED
232,14790,,14544,State.ASYMPTOMATIC
233,14808,839,14523,State.EXPOSED
234,14816,749,14544,State.EXPOSED
235,14832,326,14474,State.EXPOSED
236,14865,0,14342,State.SEVERE
237,14928,719,14523,State.EXPOSED
238,14936,629,14544,State.EXPOSED
239,14952,1010,14790,State.EXPOSED
240,15032,765,14928,State.EXPOSED
241,15080,1131,14808,State.EXPOSED
242,15187,424,15032,State.EXPOSED
243,15228,476,14976,State.EXPOSED
244,15289,220,14952,State.EXPOSED
245,15296,915,14808,State.EXPOSED
246,15322,289,15032,State.EXPOSED
247,15337,274,15032,State.EXPOSED
248,15449,777,15120,State.EXPOSED
249,15520,447,15080,State.EXPOSED
250,15602,652,15264,State.EXPOSED
251,15720,,15602,State.ASYMPTOMATIC
252,15720,,15296,State.ASYMPTOMATIC
253,15737,,15296,State.ASYMPTOMATIC
254,15756,498,15264,State.EXPOSED
255,15816,1152,15408,State.EXPOSED
256,15819,1149,15408,State.EXPOSED
257,15824,,15602,State.ASYMPTOMATIC
258,15828,,15408,State.ASYMPTOMATIC
259,15848,,15602,State.ASYMPTOMATIC
260,15880,1075,15720,State.EXPOSED
261,15928,,15602,State.ASYMPTOMATIC
262,15945,467,15828,State.EXPOSED
263,15968,515,15816,State.EXPOSED
264,16056,899,15720,State.EXPOSED
265,16066,689,15819,State.EXPOSED
266,16088,116,15840,State.EXPOSED
267,16097,107,15840,State.EXPOSED
268,16112,92,15840,State.EXPOSED
269,16152,331,15816,State.EXPOSED
270,16155,761,15945,State.EXPOSED
271,16170,274,15880,State.EXPOSED
272,16176,307,15816,State.EXPOSED
273,16200,,15737,State.MILD
274,16225,187,15828,State.EXPOSED
275,16256,553,15968,State.EXPOSED
276,16264,849,15824,State.EXPOSED
277,16272,585,16155,State.EXPOSED
278,16290,154,15880,State.EXPOSED
279,16298,349,16152,State.EXPOSED
280,16321,,16176,State.ASYMPTOMATIC
281,16344,930,16066,State.EXPOSED
282,16360,914,16066,State.EXPOSED
283,16376,737,15824,State.EXPOSED
284,16392,940,16272,State.EXPOSED
285,16400,932,16272,State.EXPOSED
286,16428,242,16290,State.EXPOSED
287,16560,772,16272,State.EXPOSED
288,16563,294,16155,State.EXPOSED
289,16890,83,16560,State.EXPOSED
290,17240,545,16848,State.EXPOSED
291,17249,536,16848,State.EXPOSED
292,17440,416,17240,State.EXPOSED
293,17712,305,17440,State.EXPOSED
294,18414,87,18000,State.EXPOSED
295,19734,,19296,State.ASYMPTOMATIC
296,20640,739,20448,State.EXPOSED
297,20682,697,20448,State.EXPOSED
298,20824,555,20448,State.EXPOSED
299,20840,319,20682,State.EXPOSED
300,20929,485,20640,State.EXPOSED
301,20993,166,20682,State.EXPOSED
302,21075,530,20880,State.EXPOSED
303,21077,779,20929,State.EXPOSED
304,21098,758,20929,State.EXPOSED
305,21144,1020,20840,State.EXPOSED
306,21241,364,20880,State.EXPOSED
307,21297,261,21075,State.EXPOSED
308,21387,218,20880,State.EXPOSED
309,21420,669,21297,State.EXPOSED
310,21577,512,21297,State.EXPOSED
311,21608,730,21456,State.EXPOSED
312,21618,720,21456,State.EXPOSED
313,21713,376,21297,State.EXPOSED
314,21736,353,21297,State.EXPOSED
315,21840,,21420,State.ASYMPTOMATIC
316,21890,206,21456,State.EXPOSED
317,21937,,21713,State.ASYMPTOMATIC
318,21937,,21608,State.ASYMPTOMATIC
319,21960,819,21577,State.EXPOSED
320,22073,410,21736,State.EXPOSED
