,mean,ci_lower,ci_upper
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.01,0.0,0.0
57,0.01,0.0,0.0
58,0.0,0.0,0.0
59,1.0,1.0,1.0
60,1.0,1.0,1.0
61,1.0,1.0,1.0
62,1.0,1.0,1.0
63,1.0,1.0,1.0
64,1.03,1.0,1.5249999999999915
65,1.03,1.0,1.5249999999999915
66,1.05,1.0,2.0
67,1.1,1.0,2.0
68,1.11,1.0,2.0
69,1.18,1.0,2.0
70,1.23,1.0,3.0
71,1.3,1.0,3.0
72,1.42,1.0,3.5249999999999915
73,1.52,1.0,4.0
74,1.72,1.0,4.5249999999999915
75,1.82,1.0,4.5249999999999915
76,2.06,1.0,5.0
77,7.4,6.0,11.0
78,8.6,7.0,12.0
79,12.99,11.0,18.0
80,16.32,14.0,21.0
81,19.64,17.0,24.52499999999999
82,21.42,18.0,27.0
83,27.86,24.0,34.52499999999999
84,32.48,28.0,39.52499999999999
85,38.21,33.0,44.0
86,43.77,38.475,49.52499999999999
87,51.5,46.0,58.04999999999998
88,58.14,52.0,66.52499999999999
89,66.78,60.475,75.0
90,67.71,61.0,77.0
91,74.77,67.475,84.0
92,82.49,76.0,93.0
93,86.92,80.475,99.04999999999998
94,94.55,87.0,104.52499999999999
95,96.14,88.475,108.57499999999997
96,91.81,85.0,103.52499999999999
97,89.08,81.0,101.52499999999999
98,87.33,79.0,100.52499999999999
99,86.5,79.0,99.52499999999999
100,88.82,81.0,100.57499999999997
101,88.0,80.0,99.0
102,84.05,76.0,95.57499999999997
103,76.27,67.475,87.0
104,77.43,68.475,87.52499999999999
105,76.73,68.0,86.0
106,76.78,67.475,87.52499999999999
107,76.69,66.0,86.0
108,74.88,65.0,86.0
109,71.47,61.475,82.0
110,68.07,59.0,78.0
111,66.9,57.475,75.52499999999999
112,66.61,57.0,77.04999999999998
113,59.55,49.95,70.52499999999999
114,54.24,45.475,67.04999999999998
115,51.7,43.475,64.52499999999999
116,51.35,42.95,64.04999999999998
117,47.07,40.0,57.0
118,47.78,40.475,57.0
119,46.25,39.475,54.52499999999999
120,45.81,39.475,52.52499999999999
121,43.46,36.475,51.52499999999999
122,42.27,36.0,50.52499999999999
123,39.97,33.475,47.04999999999998
124,37.7,31.0,46.0
125,35.38,28.475,42.52499999999999
126,35.12,29.0,42.52499999999999
127,31.9,26.0,39.52499999999999
128,28.59,23.0,36.0
129,27.19,22.0,34.04999999999998
130,25.83,20.0,34.574999999999974
131,24.53,19.475,32.574999999999974
132,24.18,19.0,31.52499999999999
133,23.74,19.0,31.099999999999966
134,22.48,18.0,30.0
135,22.41,17.475,30.0
136,22.26,17.475,29.0
137,21.84,17.0,29.0
138,21.64,17.0,29.049999999999983
139,20.4,16.0,27.52499999999999
140,20.19,16.0,27.52499999999999
141,19.97,16.0,26.0
142,16.77,12.0,24.049999999999983
143,15.56,11.0,22.52499999999999
144,16.38,12.0,22.52499999999999
145,16.1,12.0,22.0
146,14.97,11.0,21.52499999999999
147,14.84,11.0,21.52499999999999
148,15.78,12.0,22.0
149,15.7,12.0,21.52499999999999
150,14.53,11.0,20.52499999999999
151,13.46,10.0,19.0
152,13.37,10.0,18.52499999999999
153,12.25,9.0,17.52499999999999
154,12.16,9.0,17.52499999999999
155,12.07,9.0,18.0
156,11.86,9.0,18.0
157,11.68,8.475,17.52499999999999
158,11.58,8.475,17.0
159,10.45,7.475,16.0
160,9.29,6.0,14.524999999999991
161,9.26,6.0,14.0
162,9.17,6.0,14.0
163,9.04,6.0,14.0
164,8.93,6.0,13.0
165,7.81,5.0,12.0
166,7.76,5.0,12.0
167,7.63,5.0,11.524999999999991
168,6.59,4.0,10.0
169,6.49,4.0,10.0
170,6.39,4.0,10.0
171,6.37,4.0,10.0
172,6.31,4.0,10.0
173,6.21,4.0,10.524999999999991
174,6.14,4.0,10.0
175,6.08,4.0,10.0
176,5.96,4.0,10.0
177,5.91,4.0,10.0
178,5.85,4.0,9.0
179,5.77,4.0,9.0
180,5.7,4.0,9.0
181,5.7,4.0,9.0
182,5.64,4.0,9.0
183,5.56,4.0,9.0
184,5.5,4.0,9.0
185,5.42,4.0,8.524999999999991
186,5.41,4.0,9.0
187,5.41,4.0,8.524999999999991
188,5.38,4.0,8.524999999999991
