,transmission_time,incubation_time,infection_time,disease_state
0,8873,253,8431,State.EXPOSED
1,8912,214,8431,State.EXPOSED
2,9120,225,8873,State.EXPOSED
3,9436,253,8928,State.EXPOSED
4,9592,832,9436,State.EXPOSED
5,9704,720,9436,State.EXPOSED
6,10016,850,9704,State.EXPOSED
7,10062,268,9592,State.EXPOSED
8,10065,265,9592,State.EXPOSED
9,10202,128,9592,State.EXPOSED
10,10208,835,10062,State.EXPOSED
11,10280,494,10065,State.EXPOSED
12,10337,706,10062,State.EXPOSED
13,10386,120,9936,State.EXPOSED
14,10564,931,10080,State.EXPOSED
15,10660,687,10368,State.EXPOSED
16,10681,666,10368,State.EXPOSED
17,10810,76,10224,State.EXPOSED
18,10950,233,10564,State.EXPOSED
19,11106,744,10950,State.EXPOSED
20,11136,266,10681,State.EXPOSED
21,11272,963,11232,State.EXPOSED
22,11417,179,11106,State.EXPOSED
23,11546,,11232,State.ASYMPTOMATIC
24,11706,529,11232,State.EXPOSED
25,11793,0,11264,State.SEVERE
26,11809,629,11546,State.EXPOSED
27,11832,159,11376,State.EXPOSED
28,11961,575,11664,State.EXPOSED
29,11982,466,11809,State.EXPOSED
30,12041,613,11808,State.EXPOSED
31,12056,275,11832,State.EXPOSED
32,12104,0,11641,State.MILD
33,12132,585,11952,State.EXPOSED
34,12184,147,11832,State.EXPOSED
35,12193,,11952,State.ASYMPTOMATIC
36,12216,636,11952,State.EXPOSED
37,12225,105,11952,State.EXPOSED
38,12304,978,12240,State.EXPOSED
39,12393,437,12132,State.EXPOSED
40,12396,185,11982,State.EXPOSED
41,12410,117,12096,State.EXPOSED
42,12416,509,11952,State.EXPOSED
43,12480,372,11952,State.EXPOSED
44,12488,368,12056,State.EXPOSED
45,12497,342,12193,State.EXPOSED
46,12528,189,11952,State.EXPOSED
47,12528,295,12216,State.EXPOSED
48,12531,50,11982,State.EXPOSED
49,12534,363,12104,State.EXPOSED
50,12536,242,12304,State.EXPOSED
51,12552,0,12020,State.SEVERE
52,12561,246,12096,State.EXPOSED
53,12594,851,12384,State.EXPOSED
54,12608,215,12216,State.EXPOSED
