,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,3
80,4
81,5
82,5
83,5
84,5
85,8
86,10
87,14
88,16
89,20
90,22
91,24
92,26
93,27
94,30
95,35
96,37
97,39
98,41
99,42
100,45
101,48
102,48
103,51
104,54
105,55
106,58
107,59
108,62
109,64
110,66
111,66
112,69
113,73
114,74
115,76
116,79
117,80
118,82
119,83
120,83
121,83
122,85
123,89
124,92
125,92
126,92
127,92
128,93
129,97
130,98
131,99
132,100
133,106
134,107
135,108
136,110
137,112
138,114
139,116
140,118
141,118
142,121
143,123
144,123
145,125
146,126
147,126
148,127
149,128
150,128
151,128
152,128
153,128
154,128
155,128
156,129
157,129
158,129
159,129
160,129
161,129
162,129
163,129
164,129
165,129
166,129
167,129
168,129
169,129
170,129
171,129
172,129
173,129
174,129
175,129
176,129
177,129
178,129
179,129
180,129
181,129
182,129
183,129
184,129
185,129
186,129
187,129
188,129
189,129
190,129
191,129
192,129
193,129
194,129
195,129
196,129
197,129
198,129
199,129
200,129
201,129
202,129
203,129
204,129
205,129
206,129
207,129
208,129
209,129
210,129
211,129
212,129
213,129
214,129
215,129
216,129
217,129
218,129
219,129
220,129
221,129
222,129
223,129
224,129
225,129
226,129
227,129
228,129
229,129
230,129
231,129
232,129
233,130
234,130
235,130
236,130
237,130
238,130
