,transmission_time,incubation_time,infection_time,disease_state
0,9105,533,8928,State.EXPOSED
1,9177,1136,9105,State.EXPOSED
2,9194,467,8928,State.EXPOSED
3,9233,1080,9105,State.EXPOSED
4,9369,269,8928,State.EXPOSED
5,9436,877,9105,State.EXPOSED
6,9606,,9216,State.ASYMPTOMATIC
7,9723,,9436,State.ASYMPTOMATIC
8,9930,207,9606,State.EXPOSED
9,9953,960,9723,State.EXPOSED
10,9977,936,9723,State.EXPOSED
11,9988,925,9723,State.EXPOSED
12,10441,427,9988,State.EXPOSED
13,10482,836,10224,State.EXPOSED
14,10554,,9953,State.ASYMPTOMATIC
15,10563,305,9988,State.EXPOSED
16,10634,403,10563,State.EXPOSED
17,10769,420,10482,State.EXPOSED
18,10792,397,10482,State.EXPOSED
19,10873,164,10563,State.EXPOSED
20,10920,1248,10792,State.EXPOSED
21,10923,530,10634,State.EXPOSED
22,10946,664,10800,State.EXPOSED
23,10968,1200,10792,State.EXPOSED
24,11064,389,10634,State.EXPOSED
25,11161,351,10923,State.EXPOSED
26,11190,447,10944,State.EXPOSED
27,11268,267,10968,State.EXPOSED
28,11272,1047,11088,State.EXPOSED
29,11369,307,10920,State.EXPOSED
30,11384,,11064,State.ASYMPTOMATIC
31,11400,,11272,State.ASYMPTOMATIC
32,11417,902,11088,State.EXPOSED
33,11448,,11272,State.ASYMPTOMATIC
34,11496,,11272,State.ASYMPTOMATIC
35,11561,504,11268,State.EXPOSED
36,11600,,11064,State.ASYMPTOMATIC
37,11640,0,10997,State.MILD
38,11652,653,11496,State.EXPOSED
39,11697,982,11417,State.EXPOSED
40,11720,551,11376,State.EXPOSED
41,11721,550,11376,State.EXPOSED
42,11761,918,11417,State.EXPOSED
43,11850,909,11697,State.EXPOSED
44,11874,454,11600,State.EXPOSED
45,11880,466,11448,State.EXPOSED
46,11934,371,11496,State.EXPOSED
47,11936,,11376,State.ASYMPTOMATIC
48,11952,807,11697,State.EXPOSED
49,11953,,11376,State.ASYMPTOMATIC
50,11960,819,11664,State.EXPOSED
51,11961,0,11659,State.SEVERE
52,11961,798,11697,State.EXPOSED
53,11976,747,11720,State.EXPOSED
54,11985,,11520,State.ASYMPTOMATIC
55,12006,98,11652,State.EXPOSED
56,12024,1006,11808,State.EXPOSED
57,12027,,11640,State.ASYMPTOMATIC
58,12058,284,11953,State.EXPOSED
59,12076,0,11659,State.SEVERE
60,12089,831,11874,State.EXPOSED
61,12096,627,11720,State.EXPOSED
62,12104,282,11936,State.EXPOSED
63,12112,274,11936,State.EXPOSED
64,12121,551,11952,State.EXPOSED
65,12176,210,11936,State.EXPOSED
66,12186,844,11808,State.EXPOSED
67,12194,944,12058,State.EXPOSED
68,12208,178,11936,State.EXPOSED
69,12209,1011,11985,State.EXPOSED
