,transmission_time,incubation_time,infection_time,disease_state
0,9440,57,9072,State.EXPOSED
1,11153,,10800,State.ASYMPTOMATIC
2,11256,0,10556,State.SEVERE
3,11321,758,11153,State.EXPOSED
4,11369,710,11153,State.EXPOSED
5,11379,700,11153,State.EXPOSED
6,11392,0,10908,State.MILD
7,11561,518,11153,State.EXPOSED
8,11592,165,11232,State.EXPOSED
9,11601,561,11333,State.EXPOSED
10,11656,,11369,State.ASYMPTOMATIC
11,11736,0,11233,State.MILD
12,11862,,11736,State.ASYMPTOMATIC
13,11882,0,11055,State.SEVERE
14,11905,667,11664,State.EXPOSED
15,11928,234,11656,State.EXPOSED
16,11945,627,11664,State.EXPOSED
17,12048,524,11664,State.EXPOSED
18,12065,507,11664,State.EXPOSED
19,12065,97,11333,State.EXPOSED
20,12067,735,11928,State.EXPOSED
21,12090,702,11952,State.EXPOSED
22,12232,0,11666,State.MILD
23,12248,581,12096,State.EXPOSED
24,12264,592,12065,State.EXPOSED
25,12314,542,12065,State.EXPOSED
26,12342,360,12067,State.EXPOSED
27,12346,356,12067,State.EXPOSED
28,12370,332,12067,State.EXPOSED
29,12377,747,12096,State.EXPOSED
30,12390,312,12067,State.EXPOSED
31,12434,422,12065,State.EXPOSED
32,12457,399,12065,State.EXPOSED
33,12464,1193,12248,State.EXPOSED
34,12536,,11905,State.MILD
35,12561,295,12065,State.EXPOSED
36,12672,0,12257,State.MILD
37,12689,1122,12561,State.EXPOSED
38,12697,,12528,State.ASYMPTOMATIC
39,12712,945,12248,State.EXPOSED
40,12720,0,12257,State.MILD
41,12745,682,12377,State.EXPOSED
42,12792,716,12689,State.EXPOSED
43,12809,680,12528,State.EXPOSED
44,12816,0,12278,State.MILD
45,12857,651,12689,State.EXPOSED
46,12888,0,12278,State.MILD
47,12889,369,12672,State.EXPOSED
48,12912,412,12672,State.EXPOSED
49,12945,422,12809,State.EXPOSED
50,12970,726,12697,State.EXPOSED
51,12986,710,12697,State.EXPOSED
52,13018,678,12697,State.EXPOSED
53,13035,332,12809,State.EXPOSED
54,13041,0,12557,State.SEVERE
55,13089,278,12809,State.EXPOSED
56,13096,0,12674,State.MILD
57,13185,182,12809,State.EXPOSED
58,13218,710,12889,State.EXPOSED
59,13249,,12960,State.ASYMPTOMATIC
60,13250,678,12889,State.EXPOSED
61,13290,0,12645,State.SEVERE
62,13345,801,13104,State.EXPOSED
63,13352,1053,13089,State.EXPOSED
64,13368,778,13104,State.EXPOSED
65,13368,,12809,State.MILD
66,13373,773,13104,State.EXPOSED
67,13434,465,13270,State.EXPOSED
68,13577,185,13373,State.EXPOSED
69,13608,0,13242,State.MILD
70,13626,273,13270,State.EXPOSED
71,13640,1139,13249,State.EXPOSED
72,13657,242,13270,State.EXPOSED
73,13658,1121,13249,State.EXPOSED
74,13672,393,13368,State.EXPOSED
75,13688,335,13352,State.EXPOSED
76,13690,730,13434,State.EXPOSED
77,13753,270,13352,State.EXPOSED
78,13760,263,13352,State.EXPOSED
79,13761,318,13536,State.EXPOSED
80,13764,166,13392,State.EXPOSED
81,13816,207,13352,State.EXPOSED
82,13848,217,13368,State.EXPOSED
83,13896,127,13352,State.EXPOSED
84,14025,99,13690,State.EXPOSED
85,14113,129,13848,State.EXPOSED
86,14140,102,13848,State.EXPOSED
87,14377,573,14140,State.EXPOSED
88,14489,461,14140,State.EXPOSED
89,14608,0,14128,State.MILD
90,14618,332,14140,State.EXPOSED
91,14800,,14578,State.MILD
92,15432,0,14968,State.MILD
93,15936,634,15696,State.EXPOSED
94,16250,,15984,State.ASYMPTOMATIC
95,16378,210,15984,State.EXPOSED
96,16408,180,15984,State.EXPOSED
97,16612,667,16250,State.EXPOSED
98,17656,1025,17424,State.EXPOSED
99,17920,0,17474,State.MILD
100,18744,0,18454,State.SEVERE
101,18872,1415,18576,State.EXPOSED
102,19064,,18872,State.ASYMPTOMATIC
103,19384,,19064,State.ASYMPTOMATIC
104,19466,87,19085,State.EXPOSED
105,19493,60,19085,State.EXPOSED
106,19560,,19085,State.MILD
107,19661,,19493,State.ASYMPTOMATIC
108,19664,1435,19384,State.EXPOSED
109,19705,1394,19384,State.EXPOSED
110,19817,781,19664,State.EXPOSED
111,19914,557,19661,State.EXPOSED
112,20009,462,19661,State.EXPOSED
113,20041,,19914,State.ASYMPTOMATIC
114,20106,107,19817,State.EXPOSED
115,20130,83,19817,State.EXPOSED
116,20146,67,19817,State.EXPOSED
117,20170,43,19817,State.EXPOSED
118,20249,1036,20106,State.EXPOSED
119,20289,952,20146,State.EXPOSED
120,20402,,20041,State.ASYMPTOMATIC
121,20402,758,20289,State.EXPOSED
122,20693,467,20289,State.EXPOSED
123,20706,454,20289,State.EXPOSED
124,20769,399,20249,State.EXPOSED
125,21048,457,20769,State.EXPOSED
126,22218,1102,22032,State.EXPOSED
127,22441,428,22218,State.EXPOSED
128,22468,401,22218,State.EXPOSED
129,22616,0,22129,State.MILD
130,22644,273,22468,State.EXPOSED
131,22756,161,22468,State.EXPOSED
132,22977,146,22756,State.EXPOSED
133,31473,0,30960,State.SEVERE
