,occupied_bed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,2.0
70,2.0
71,2.0
72,2.0
73,3.0
74,3.0
75,4.0
76,3.0
77,10.0
78,12.0
79,15.0
80,18.0
81,22.0
82,22.0
83,28.0
84,34.0
85,39.0
86,46.0
87,51.0
88,58.0
89,68.0
90,67.0
91,72.0
92,80.0
93,87.0
94,98.0
95,102.0
96,96.0
97,93.0
98,93.0
99,94.0
100,98.0
101,101.0
102,97.0
103,89.0
104,89.0
105,89.0
106,89.0
107,87.0
108,84.0
109,79.0
110,74.0
111,75.0
112,73.0
113,68.0
114,62.0
115,58.0
116,57.0
117,52.0
118,51.0
119,51.0
120,52.0
121,51.0
122,51.0
123,50.0
124,46.0
125,45.0
126,43.0
127,39.0
128,35.0
129,33.0
130,32.0
131,31.0
132,30.0
133,30.0
134,27.0
135,26.0
136,26.0
137,26.0
138,25.0
139,23.0
140,23.0
141,22.0
142,19.0
143,18.0
144,19.0
145,19.0
146,18.0
147,17.0
148,18.0
149,17.0
150,16.0
151,15.0
152,16.0
153,15.0
154,15.0
155,14.0
156,13.0
157,13.0
158,13.0
159,11.0
160,8.0
161,8.0
162,8.0
163,8.0
164,8.0
165,7.0
166,7.0
167,7.0
168,6.0
169,6.0
170,6.0
171,6.0
172,6.0
173,6.0
174,6.0
175,6.0
176,6.0
177,6.0
178,6.0
179,6.0
180,6.0
181,6.0
182,6.0
183,6.0
184,6.0
185,6.0
186,6.0
187,6.0
188,6.0
189,6.0
190,6.0
191,6.0
192,6.0
193,6.0
194,6.0
195,6.0
196,6.0
197,6.0
198,6.0
199,6.0
200,6.0
201,6.0
202,6.0
203,6.0
204,7.0
205,7.0
206,7.0
207,7.0
208,7.0
209,7.0
210,6.0
211,6.0
212,6.0
213,6.0
214,5.0
215,5.0
216,6.0
217,6.0
218,6.0
219,5.0
220,5.0
221,5.0
222,5.0
223,5.0
224,5.0
225,5.0
226,5.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,3.0
233,3.0
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
