,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,220.0,0.0,0.0,0.0,0.0,0.0,0.0
1,210.0,0.0,0.0,0.0,0.0,0.0,0.0
2,212.0,0.0,0.0,0.0,0.0,0.0,0.0
3,224.0,0.0,0.0,0.0,0.0,0.0,0.0
4,231.0,0.0,0.0,0.0,0.0,0.0,0.0
5,230.0,0.0,0.0,0.0,0.0,0.0,0.0
6,233.0,0.0,0.0,0.0,0.0,0.0,0.0
7,219.0,0.0,0.0,0.0,0.0,0.0,0.0
8,221.0,0.0,0.0,0.0,0.0,0.0,0.0
9,234.0,0.0,0.0,0.0,0.0,0.0,0.0
10,218.0,0.0,0.0,0.0,0.0,0.0,0.0
11,214.0,0.0,0.0,0.0,0.0,0.0,0.0
12,207.0,0.0,0.0,0.0,0.0,0.0,0.0
13,216.0,0.0,0.0,0.0,0.0,0.0,0.0
14,202.0,0.0,0.0,0.0,0.0,0.0,0.0
15,222.0,0.0,0.0,0.0,0.0,0.0,0.0
16,230.0,0.0,0.0,0.0,0.0,0.0,0.0
17,238.0,0.0,0.0,0.0,0.0,0.0,0.0
18,231.0,0.0,0.0,0.0,0.0,0.0,0.0
19,245.0,0.0,0.0,0.0,0.0,0.0,0.0
20,261.0,0.0,0.0,0.0,0.0,0.0,0.0
21,255.0,0.0,0.0,0.0,0.0,0.0,0.0
22,241.0,0.0,0.0,0.0,0.0,0.0,0.0
23,240.0,0.0,0.0,0.0,0.0,0.0,0.0
24,247.0,0.0,0.0,0.0,0.0,0.0,0.0
25,247.0,0.0,0.0,0.0,0.0,0.0,0.0
26,263.0,0.0,0.0,0.0,0.0,0.0,0.0
27,257.0,0.0,0.0,0.0,0.0,0.0,0.0
28,235.0,0.0,0.0,0.0,0.0,0.0,0.0
29,231.0,0.0,0.0,0.0,0.0,0.0,0.0
30,235.0,0.0,0.0,0.0,0.0,0.0,0.0
31,219.0,0.0,0.0,0.0,0.0,0.0,0.0
32,199.0,0.0,0.0,0.0,0.0,0.0,0.0
33,210.0,0.0,0.0,0.0,0.0,0.0,0.0
34,207.0,0.0,0.0,0.0,0.0,0.0,0.0
35,212.0,0.0,0.0,0.0,0.0,0.0,0.0
36,217.0,0.0,0.0,0.0,0.0,0.0,0.0
37,231.0,0.0,0.0,0.0,0.0,0.0,0.0
38,231.0,0.0,0.0,0.0,0.0,0.0,0.0
39,234.0,0.0,0.0,0.0,0.0,0.0,0.0
40,238.0,0.0,0.0,0.0,0.0,0.0,0.0
41,245.0,0.0,0.0,0.0,0.0,0.0,0.0
42,239.0,0.0,0.0,0.0,0.0,0.0,0.0
43,230.0,0.0,0.0,0.0,0.0,0.0,0.0
44,229.0,0.0,0.0,0.0,0.0,0.0,0.0
45,238.0,0.0,0.0,0.0,0.0,0.0,0.0
46,230.0,0.0,0.0,0.0,0.0,0.0,0.0
47,231.0,0.0,0.0,0.0,0.0,0.0,0.0
48,228.0,0.0,0.0,0.0,0.0,0.0,0.0
49,231.0,0.0,0.0,0.0,0.0,0.0,0.0
50,229.0,0.0,0.0,0.0,0.0,0.0,0.0
51,232.0,0.0,0.0,0.0,0.0,0.0,0.0
52,219.0,0.0,0.0,0.0,0.0,0.0,0.0
53,229.0,0.0,0.0,0.0,0.0,0.0,0.0
54,240.0,0.0,0.0,0.0,0.0,0.0,0.0
55,220.0,0.0,0.0,0.0,0.0,0.0,0.0
56,210.0,0.0,0.0,0.0,0.0,0.0,0.0
57,203.0,0.0,0.0,0.0,0.0,0.0,0.0
58,207.0,0.0,0.0,0.0,0.0,0.0,0.0
59,221.0,0.0,0.0,0.0,1.0,0.0,0.0
60,219.0,0.0,0.0,0.0,1.0,0.0,0.0
61,230.0,0.0,0.0,0.0,1.0,0.0,0.0
62,230.0,0.0,0.0,0.0,1.0,0.0,0.0
63,239.0,0.0,0.0,0.0,1.0,0.0,0.0
64,248.0,0.0,0.0,0.0,1.0,0.0,0.0
65,247.0,0.0,0.0,0.0,1.0,0.0,0.0
66,257.0,0.0,0.0,0.0,1.0,0.0,0.0
67,268.0,0.0,0.0,0.0,1.0,0.0,0.0
68,260.0,0.0,0.0,0.0,1.0,0.0,0.0
69,242.0,0.0,0.0,0.0,1.0,0.0,0.0
70,239.0,0.0,0.0,0.0,1.0,0.0,0.0
71,240.0,0.0,0.0,0.0,1.0,0.0,0.0
72,242.0,0.0,0.0,0.0,1.0,0.0,0.0
73,232.0,0.0,0.0,0.0,1.0,0.0,0.0
74,229.0,2.0,0.0,0.0,1.0,0.0,1.0
75,232.0,4.0,0.0,0.0,1.0,0.0,2.0
76,234.0,4.0,0.0,0.0,2.0,0.0,2.0
77,232.0,3.0,4.0,0.0,4.0,0.0,2.0
78,230.0,4.0,3.0,0.0,5.0,0.0,3.0
79,242.0,5.0,4.0,0.0,8.0,0.0,2.0
80,241.0,5.0,6.0,0.0,9.0,0.0,3.0
81,245.0,5.0,5.0,0.0,11.0,0.0,3.0
82,241.0,2.0,7.0,0.0,13.0,0.0,2.0
83,220.0,3.0,11.0,0.0,15.0,0.0,2.0
84,235.0,3.0,10.0,0.0,17.0,1.0,3.0
85,228.0,4.0,14.0,0.0,19.0,0.0,2.0
86,227.0,3.0,19.0,0.0,21.0,0.0,2.0
87,226.0,2.0,21.0,0.0,26.0,0.0,2.0
88,224.0,7.0,20.0,0.0,29.0,0.0,3.0
89,210.0,8.0,25.0,0.0,35.0,1.0,3.0
90,212.0,10.0,22.0,0.0,36.0,2.0,3.0
91,215.0,10.0,23.0,0.0,40.0,3.0,2.0
92,212.0,9.0,25.0,0.0,47.0,6.0,3.0
93,211.0,9.0,27.0,0.0,46.0,6.0,7.0
94,204.0,12.0,30.0,0.0,50.0,5.0,10.0
95,198.0,10.0,28.0,0.0,51.0,6.0,8.0
96,192.0,8.0,21.0,0.0,49.0,8.0,7.0
97,188.0,6.0,17.0,0.0,50.0,9.0,4.0
98,206.0,4.0,14.0,0.0,48.0,9.0,3.0
99,201.0,6.0,17.0,0.0,51.0,9.0,4.0
100,206.0,8.0,18.0,0.0,51.0,9.0,1.0
101,204.0,12.0,15.0,0.0,49.0,11.0,1.0
102,193.0,10.0,12.0,0.0,48.0,7.0,1.0
103,188.0,11.0,10.0,0.0,48.0,7.0,1.0
104,192.0,7.0,8.0,0.0,52.0,8.0,0.0
105,211.0,8.0,7.0,0.0,49.0,10.0,2.0
106,229.0,10.0,7.0,0.0,50.0,10.0,2.0
107,220.0,7.0,9.0,0.0,46.0,11.0,2.0
108,225.0,6.0,6.0,0.0,47.0,11.0,3.0
109,218.0,5.0,6.0,0.0,46.0,8.0,2.0
110,209.0,7.0,4.0,0.0,44.0,7.0,3.0
111,214.0,5.0,5.0,0.0,43.0,8.0,3.0
112,221.0,4.0,3.0,0.0,38.0,9.0,3.0
113,237.0,7.0,3.0,0.0,35.0,7.0,1.0
114,235.0,7.0,3.0,0.0,34.0,7.0,1.0
115,221.0,4.0,3.0,0.0,32.0,7.0,1.0
116,243.0,4.0,3.0,0.0,29.0,7.0,1.0
117,253.0,7.0,5.0,0.0,26.0,9.0,0.0
118,255.0,7.0,5.0,0.0,25.0,8.0,0.0
119,245.0,6.0,6.0,0.0,24.0,10.0,0.0
120,241.0,4.0,5.0,0.0,24.0,9.0,0.0
121,243.0,4.0,4.0,0.0,25.0,9.0,0.0
122,236.0,5.0,1.0,0.0,23.0,9.0,0.0
123,236.0,5.0,1.0,0.0,19.0,12.0,0.0
124,225.0,4.0,1.0,0.0,19.0,11.0,1.0
125,212.0,1.0,1.0,0.0,18.0,11.0,1.0
126,204.0,2.0,0.0,0.0,18.0,9.0,1.0
127,209.0,2.0,0.0,0.0,15.0,9.0,0.0
128,216.0,1.0,1.0,0.0,13.0,9.0,0.0
129,222.0,1.0,0.0,0.0,13.0,9.0,0.0
130,212.0,1.0,0.0,0.0,13.0,8.0,0.0
131,212.0,1.0,0.0,0.0,11.0,10.0,0.0
132,209.0,1.0,0.0,0.0,11.0,10.0,0.0
133,211.0,0.0,0.0,0.0,9.0,11.0,0.0
134,211.0,0.0,0.0,0.0,9.0,11.0,0.0
135,223.0,0.0,0.0,0.0,9.0,11.0,0.0
136,214.0,0.0,0.0,0.0,8.0,10.0,0.0
137,214.0,1.0,0.0,0.0,8.0,9.0,1.0
138,230.0,1.0,0.0,0.0,8.0,9.0,1.0
139,230.0,1.0,0.0,0.0,7.0,10.0,1.0
140,221.0,1.0,0.0,0.0,7.0,10.0,1.0
141,205.0,1.0,0.0,0.0,6.0,8.0,1.0
142,216.0,1.0,0.0,0.0,6.0,7.0,1.0
143,216.0,2.0,0.0,0.0,6.0,7.0,1.0
144,213.0,2.0,1.0,0.0,6.0,7.0,1.0
145,209.0,1.0,0.0,0.0,5.0,8.0,1.0
146,224.0,3.0,0.0,0.0,5.0,8.0,0.0
147,222.0,3.0,0.0,0.0,5.0,8.0,0.0
148,226.0,4.0,1.0,0.0,4.0,9.0,0.0
149,212.0,4.0,1.0,0.0,4.0,8.0,0.0
150,209.0,3.0,2.0,0.0,4.0,5.0,0.0
151,207.0,3.0,2.0,0.0,4.0,5.0,0.0
152,216.0,2.0,3.0,0.0,3.0,5.0,0.0
153,202.0,1.0,3.0,0.0,3.0,5.0,0.0
154,202.0,0.0,3.0,0.0,3.0,5.0,0.0
155,200.0,0.0,4.0,0.0,3.0,5.0,0.0
156,213.0,0.0,3.0,0.0,3.0,5.0,1.0
157,232.0,0.0,3.0,0.0,3.0,5.0,1.0
158,234.0,0.0,3.0,0.0,3.0,4.0,0.0
159,226.0,0.0,1.0,0.0,3.0,4.0,0.0
160,227.0,0.0,0.0,0.0,3.0,5.0,0.0
161,230.0,0.0,0.0,0.0,3.0,5.0,0.0
162,246.0,0.0,0.0,0.0,2.0,6.0,0.0
163,258.0,0.0,0.0,0.0,2.0,6.0,0.0
164,261.0,0.0,0.0,0.0,2.0,4.0,0.0
165,252.0,0.0,0.0,0.0,2.0,4.0,0.0
166,232.0,0.0,0.0,0.0,2.0,4.0,0.0
167,228.0,0.0,0.0,0.0,1.0,4.0,0.0
168,231.0,0.0,0.0,0.0,1.0,4.0,0.0
169,234.0,0.0,0.0,0.0,1.0,4.0,0.0
170,240.0,0.0,0.0,0.0,1.0,4.0,0.0
171,231.0,0.0,0.0,0.0,1.0,4.0,0.0
172,222.0,0.0,0.0,0.0,0.0,5.0,0.0
173,216.0,0.0,0.0,0.0,0.0,5.0,0.0
174,209.0,0.0,0.0,0.0,0.0,5.0,0.0
175,221.0,0.0,0.0,0.0,0.0,5.0,0.0
176,221.0,0.0,0.0,0.0,0.0,5.0,0.0
177,222.0,0.0,0.0,0.0,0.0,5.0,0.0
178,229.0,0.0,0.0,0.0,0.0,5.0,0.0
179,233.0,0.0,0.0,0.0,0.0,5.0,0.0
180,220.0,0.0,0.0,0.0,0.0,5.0,0.0
181,215.0,0.0,0.0,0.0,0.0,5.0,0.0
182,204.0,0.0,0.0,0.0,0.0,5.0,0.0
183,202.0,0.0,0.0,0.0,0.0,5.0,0.0
184,216.0,0.0,0.0,0.0,0.0,5.0,0.0
185,232.0,0.0,0.0,0.0,0.0,5.0,0.0
186,234.0,0.0,0.0,0.0,0.0,5.0,0.0
187,238.0,0.0,0.0,0.0,0.0,5.0,0.0
188,249.0,0.0,0.0,0.0,0.0,5.0,0.0
189,243.0,0.0,0.0,0.0,0.0,5.0,0.0
190,252.0,0.0,0.0,0.0,0.0,5.0,0.0
191,245.0,0.0,0.0,0.0,0.0,5.0,0.0
192,246.0,0.0,0.0,0.0,0.0,5.0,0.0
193,247.0,0.0,0.0,0.0,0.0,5.0,0.0
194,236.0,0.0,0.0,0.0,0.0,5.0,0.0
195,223.0,0.0,0.0,0.0,0.0,5.0,0.0
196,217.0,0.0,0.0,0.0,0.0,5.0,0.0
