,Num_contacts,num_contacts_traced,num_positive_contacts,num_sympt_patients_traced,contact_tracing_time,tracing_round,hcw_id,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,hcws_put_on_ppe,patients_put_in_isolation
0,4,4,0,0,68.34722222222223,1,1148,64.0,3,0,0,0
1,31,15,2,0,68.94444444444444,1,181,65.29166666666667,15,0,0,0
2,31,15,1,0,68.94444444444444,1,1314,64.0,15,1,0,0
3,21,11,0,0,73.77777777777777,1,1292,69.0,2,0,0,0
4,35,20,2,0,75.45833333333333,1,93,72.41666666666667,21,0,0,0
5,25,12,1,0,75.45833333333333,1,1474,71.0,4,1,0,0
6,29,16,1,0,75.52083333333333,1,1471,71.0,25,0,0,0
7,31,19,1,0,75.65277777777777,1,1582,70.0,21,0,0,0
8,13,6,0,0,76.59027777777777,1,1463,70.0,9,0,0,0
9,25,18,1,1,76.89583333333333,1,1026,72.95138888888889,17,0,0,0
10,30,20,3,0,77.34027777777777,1,1613,74.0,21,0,0,0
11,24,14,2,0,77.34722222222223,1,32,76.5,16,1,0,0
12,43,28,0,0,80.22222222222223,1,1479,76.0,18,0,0,0
13,25,16,1,1,81.02083333333333,1,1134,76.95138888888889,16,0,0,0
14,24,18,0,0,81.02777777777777,1,141,79.83333333333333,16,1,0,0
15,11,8,0,1,82.20138888888889,1,1335,77.77777777777777,8,0,0,0
16,1,1,0,0,82.45833333333333,1,93,72.41666666666667,21,0,0,0
17,29,17,2,0,82.65277777777777,1,1391,77.0,10,0,0,0
18,26,19,0,0,83.3125,1,1001,81.0,28,0,0,0
19,30,17,3,0,83.52777777777777,1,1509,78.0,26,0,0,0
20,38,24,2,0,83.52777777777777,1,1401,80.0,26,1,0,0
21,7,7,0,1,83.59722222222223,1,1071,79.0,3,0,0,0
22,34,16,3,0,83.625,1,137,80.50694444444444,14,0,0,0
23,21,13,1,0,83.625,1,1453,83.0,14,1,0,0
24,8,7,0,0,83.93055555555556,1,1643,77.55555555555556,6,0,0,0
25,29,18,4,0,84.22222222222223,1,1592,75.0,15,0,0,0
26,32,18,1,0,84.88194444444444,1,148,81.03472222222223,10,0,0,0
27,29,10,1,0,85.36111111111111,1,1109,78.06944444444444,14,0,0,0
28,25,10,0,0,85.36805555555556,1,59,80.0,14,1,0,0
29,28,18,3,0,86.22222222222223,1,199,81.52777777777777,10,0,0,0
30,29,18,3,0,86.22222222222223,1,5,81.0,10,1,0,0
31,42,22,1,0,86.22222222222223,1,1661,85.45833333333333,10,2,0,0
32,27,17,2,0,86.22222222222223,1,1002,82.45833333333333,10,2,0,0
33,11,10,0,5,87.18055555555556,1,1483,85.0,6,0,0,0
34,14,11,1,5,87.80555555555556,1,1626,81.0,6,0,0,0
35,16,12,0,7,87.80555555555556,1,1258,84.05555555555556,6,1,0,0
36,29,21,1,2,87.84722222222223,1,1397,82.78472222222223,15,0,0,0
37,32,14,0,0,88.04861111111111,1,1077,84.0,21,0,0,0
38,11,9,1,4,88.45833333333333,1,1481,82.0,2,0,0,0
39,6,6,0,3,88.45833333333333,1,1642,86.0,2,1,0,0
40,12,12,0,7,88.88888888888889,1,1588,86.0,3,0,0,0
41,7,7,0,3,88.90972222222223,1,1520,83.0,4,0,0,0
42,14,9,0,2,89.05555555555556,1,1357,84.0,9,0,0,0
43,13,11,1,5,89.59027777777777,1,1342,83.22222222222223,8,0,0,0
44,9,9,0,5,89.80555555555556,1,1430,84.0,1,0,0,0
45,16,7,1,0,89.88888888888889,1,1574,86.0,9,0,0,0
46,16,6,0,0,89.89583333333333,1,1570,88.125,9,1,0,0
47,26,21,4,6,90.34722222222223,1,1106,86.0,11,0,0,0
48,31,16,2,0,90.35416666666667,1,1348,87.5,11,2,0,0
49,41,23,3,0,90.35416666666667,1,1041,88.0,11,3,0,0
50,37,20,0,0,90.36111111111111,1,1271,88.0,14,1,0,0
51,26,17,7,1,90.41666666666667,1,1090,85.88888888888889,18,0,0,0
52,28,20,6,1,90.42361111111111,1,1527,86.77777777777777,18,1,0,0
53,1,1,0,0,90.625,1,1453,83.0,14,0,0,0
54,15,15,1,8,90.81944444444444,1,160,85.0,1,0,0,0
55,23,12,0,2,91.15972222222223,1,1598,83.0,17,0,0,0
56,16,12,1,6,91.52083333333333,1,1311,88.16666666666667,5,0,0,0
57,12,12,0,6,91.59027777777777,1,1609,88.0,2,0,0,0
58,17,17,0,9,91.67361111111111,1,1521,84.0,4,0,0,0
59,27,15,8,1,92.05555555555556,1,191,90.0,18,0,0,0
60,24,13,6,1,92.05555555555556,1,1306,87.16666666666667,9,1,0,0
61,26,14,7,1,92.20833333333333,1,1140,87.33333333333333,18,0,0,0
62,25,14,5,1,92.21527777777777,1,27,91.0,18,2,0,0
63,27,15,5,1,92.21527777777777,1,208,87.50694444444444,18,2,0,0
64,16,10,1,0,93.54166666666667,1,1538,91.0,9,1,0,0
65,12,8,0,0,93.54166666666667,1,1699,92.875,9,1,0,0
66,16,15,2,4,93.74305555555556,1,1452,88.33333333333333,8,0,0,0
67,29,18,3,0,93.77777777777777,1,1280,90.0,17,0,0,0
68,43,27,3,0,94.05555555555556,1,1321,89.83333333333333,24,0,0,0
69,37,21,2,0,94.05555555555556,1,1427,91.41666666666667,16,1,0,0
70,10,9,0,5,94.09027777777777,1,1275,87.0,2,0,0,0
71,30,23,0,7,94.1875,1,1151,87.0,19,0,0,0
72,33,20,0,6,94.49305555555556,1,1200,82.0,6,0,0,0
73,17,9,1,0,95.63888888888889,1,1075,93.0,9,0,0,0
74,16,12,3,0,95.97916666666667,1,1624,87.0,9,0,0,0
75,15,11,2,0,95.97916666666667,1,1464,92.55555555555556,9,1,0,0
76,21,21,1,13,96.15277777777777,1,1238,95.0,3,0,0,0
77,31,24,4,2,96.47222222222223,1,1675,88.16666666666667,18,0,0,0
78,22,13,2,4,97.01388888888889,1,1691,91.05555555555556,7,0,0,0
79,16,14,2,2,97.23611111111111,1,1445,87.38888888888889,5,0,0,0
80,24,15,2,0,97.39583333333333,1,1248,90.88888888888889,15,0,0,0
81,43,30,3,1,97.40277777777777,1,1631,92.66666666666667,17,1,0,0
82,24,15,1,2,97.65277777777777,1,121,91.0,17,0,0,0
83,15,10,0,2,98.17361111111111,1,1525,94.55555555555556,8,1,0,0
84,15,8,0,0,98.94444444444444,1,1591,94.0,9,0,0,0
85,19,13,0,5,98.97222222222223,1,1431,92.88888888888889,6,0,0,0
86,19,10,0,1,99.46527777777777,1,1234,95.05555555555556,8,0,0,0
87,18,9,0,0,99.74305555555556,1,1283,92.5,9,0,0,0
88,15,15,0,10,100.0625,1,1356,98.0,2,0,0,0
89,17,10,0,2,100.47222222222223,1,1372,96.0,7,0,0,0
90,25,19,1,8,101.24305555555556,1,1022,97.22222222222223,7,0,0,0
91,23,12,0,0,102.45138888888889,1,1715,95.61111111111111,9,0,0,0
92,15,15,0,11,103.20138888888889,1,1344,101.0,2,0,0,0
93,25,17,1,3,103.40972222222223,1,79,94.0,21,0,0,0
94,28,24,2,4,104.08333333333333,1,1308,96.0,22,0,0,0
95,20,18,0,13,105.43055555555556,1,98,93.0,3,0,0,0
