,occupied_bed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,2.0
72,2.0
73,2.0
74,2.0
75,3.0
76,3.0
77,10.0
78,11.0
79,13.0
80,16.0
81,20.0
82,22.0
83,29.0
84,33.0
85,39.0
86,43.0
87,51.0
88,58.0
89,65.0
90,67.0
91,73.0
92,82.0
93,88.0
94,97.0
95,96.0
96,90.0
97,87.0
98,85.0
99,90.0
100,91.0
101,89.0
102,86.0
103,80.0
104,81.0
105,82.0
106,81.0
107,81.0
108,78.0
109,73.0
110,70.0
111,68.0
112,69.0
113,64.0
114,56.0
115,54.0
116,55.0
117,49.0
118,48.0
119,47.0
120,46.0
121,46.0
122,44.0
123,44.0
124,42.0
125,40.0
126,39.0
127,37.0
128,33.0
129,33.0
130,33.0
131,30.0
132,31.0
133,30.0
134,29.0
135,26.0
136,26.0
137,26.0
138,25.0
139,22.0
140,20.0
141,20.0
142,17.0
143,17.0
144,18.0
145,20.0
146,17.0
147,16.0
148,17.0
149,17.0
150,15.0
151,13.0
152,13.0
153,12.0
154,11.0
155,11.0
156,11.0
157,11.0
158,11.0
159,9.0
160,8.0
161,8.0
162,8.0
163,8.0
164,8.0
165,6.0
166,6.0
167,6.0
168,5.0
169,5.0
170,5.0
171,5.0
172,5.0
173,5.0
174,5.0
175,5.0
176,5.0
177,5.0
178,5.0
179,5.0
180,6.0
181,6.0
182,6.0
183,5.0
184,5.0
185,5.0
186,5.0
187,5.0
188,5.0
189,5.0
190,5.0
191,5.0
192,5.0
193,5.0
194,5.0
195,5.0
196,6.0
197,6.0
198,6.0
199,6.0
200,6.0
201,7.0
202,7.0
203,8.0
204,10.0
205,10.0
206,10.0
207,10.0
208,10.0
209,10.0
210,9.0
211,8.0
212,8.0
213,8.0
214,7.0
215,7.0
216,8.0
217,8.0
218,8.0
219,8.0
220,8.0
221,8.0
222,8.0
223,8.0
224,8.0
225,7.0
226,7.0
227,6.0
228,6.0
229,6.0
230,6.0
231,5.0
232,4.0
233,4.0
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
