,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,229.0,0.0,0.0,0.0,0.0,0.0,0.0
1,227.0,0.0,0.0,0.0,0.0,0.0,0.0
2,229.0,0.0,0.0,0.0,0.0,0.0,0.0
3,232.0,0.0,0.0,0.0,0.0,0.0,0.0
4,228.0,0.0,0.0,0.0,0.0,0.0,0.0
5,228.0,0.0,0.0,0.0,0.0,0.0,0.0
6,221.0,0.0,0.0,0.0,0.0,0.0,0.0
7,223.0,0.0,0.0,0.0,0.0,0.0,0.0
8,228.0,0.0,0.0,0.0,0.0,0.0,0.0
9,230.0,0.0,0.0,0.0,0.0,0.0,0.0
10,220.0,0.0,0.0,0.0,0.0,0.0,0.0
11,215.0,0.0,0.0,0.0,0.0,0.0,0.0
12,221.0,0.0,0.0,0.0,0.0,0.0,0.0
13,223.0,0.0,0.0,0.0,0.0,0.0,0.0
14,226.0,0.0,0.0,0.0,0.0,0.0,0.0
15,220.0,0.0,0.0,0.0,0.0,0.0,0.0
16,213.0,0.0,0.0,0.0,0.0,0.0,0.0
17,223.0,0.0,0.0,0.0,0.0,0.0,0.0
18,227.0,0.0,0.0,0.0,0.0,0.0,0.0
19,235.0,0.0,0.0,0.0,0.0,0.0,0.0
20,236.0,0.0,0.0,0.0,0.0,0.0,0.0
21,219.0,0.0,0.0,0.0,0.0,0.0,0.0
22,220.0,0.0,0.0,0.0,0.0,0.0,0.0
23,223.0,0.0,0.0,0.0,0.0,0.0,0.0
24,228.0,0.0,0.0,0.0,0.0,0.0,0.0
25,229.0,0.0,0.0,0.0,0.0,0.0,0.0
26,228.0,0.0,0.0,0.0,0.0,0.0,0.0
27,226.0,0.0,0.0,0.0,0.0,0.0,0.0
28,219.0,0.0,0.0,0.0,0.0,0.0,0.0
29,209.0,0.0,0.0,0.0,0.0,0.0,0.0
30,212.0,0.0,0.0,0.0,0.0,0.0,0.0
31,225.0,0.0,0.0,0.0,0.0,0.0,0.0
32,227.0,0.0,0.0,0.0,0.0,0.0,0.0
33,226.0,0.0,0.0,0.0,0.0,0.0,0.0
34,243.0,0.0,0.0,0.0,0.0,0.0,0.0
35,270.0,0.0,0.0,0.0,0.0,0.0,0.0
36,268.0,0.0,0.0,0.0,0.0,0.0,0.0
37,273.0,0.0,0.0,0.0,0.0,0.0,0.0
38,259.0,0.0,0.0,0.0,0.0,0.0,0.0
39,253.0,0.0,0.0,0.0,0.0,0.0,0.0
40,266.0,0.0,0.0,0.0,0.0,0.0,0.0
41,266.0,0.0,0.0,0.0,0.0,0.0,0.0
42,276.0,0.0,0.0,0.0,0.0,0.0,0.0
43,267.0,0.0,0.0,0.0,0.0,0.0,0.0
44,252.0,0.0,0.0,0.0,0.0,0.0,0.0
45,230.0,0.0,0.0,0.0,0.0,0.0,0.0
46,234.0,0.0,0.0,0.0,0.0,0.0,0.0
47,245.0,0.0,0.0,0.0,0.0,0.0,0.0
48,238.0,0.0,0.0,0.0,0.0,0.0,0.0
49,226.0,0.0,0.0,0.0,0.0,0.0,0.0
50,227.0,0.0,0.0,0.0,0.0,0.0,0.0
51,237.0,0.0,0.0,0.0,0.0,0.0,0.0
52,249.0,0.0,0.0,0.0,0.0,0.0,0.0
53,245.0,0.0,0.0,0.0,0.0,0.0,0.0
54,252.0,0.0,0.0,0.0,0.0,0.0,0.0
55,244.0,0.0,0.0,0.0,0.0,0.0,0.0
56,255.0,0.0,0.0,0.0,0.0,0.0,0.0
57,250.0,0.0,0.0,0.0,0.0,0.0,0.0
58,271.0,0.0,0.0,0.0,0.0,0.0,0.0
59,270.0,0.0,0.0,0.0,1.0,0.0,0.0
60,267.0,0.0,0.0,0.0,1.0,0.0,0.0
61,270.0,0.0,0.0,0.0,1.0,0.0,0.0
62,266.0,0.0,0.0,0.0,1.0,0.0,0.0
63,279.0,0.0,0.0,0.0,1.0,0.0,0.0
64,266.0,0.0,0.0,0.0,1.0,0.0,0.0
65,229.0,0.0,0.0,0.0,1.0,0.0,0.0
66,223.0,1.0,0.0,0.0,1.0,0.0,0.0
67,213.0,3.0,0.0,0.0,1.0,0.0,0.0
68,208.0,4.0,0.0,0.0,1.0,0.0,0.0
69,217.0,3.0,0.0,0.0,1.0,0.0,0.0
70,228.0,4.0,0.0,0.0,1.0,0.0,0.0
71,231.0,4.0,0.0,0.0,1.0,0.0,0.0
72,227.0,3.0,0.0,0.0,1.0,0.0,0.0
73,219.0,5.0,0.0,0.0,1.0,0.0,2.0
74,231.0,6.0,0.0,0.0,1.0,0.0,3.0
75,214.0,10.0,0.0,0.0,1.0,0.0,3.0
76,215.0,11.0,0.0,0.0,1.0,0.0,4.0
77,220.0,11.0,3.0,0.0,3.0,0.0,4.0
78,220.0,12.0,5.0,0.0,4.0,0.0,2.0
79,218.0,11.0,8.0,0.0,8.0,0.0,0.0
80,230.0,12.0,11.0,0.0,10.0,0.0,0.0
81,220.0,11.0,6.0,0.0,12.0,0.0,1.0
82,217.0,7.0,8.0,0.0,15.0,0.0,2.0
83,217.0,7.0,10.0,0.0,17.0,0.0,3.0
84,201.0,10.0,12.0,0.0,19.0,0.0,2.0
85,202.0,9.0,14.0,0.0,21.0,0.0,2.0
86,193.0,5.0,18.0,0.0,23.0,0.0,3.0
87,201.0,6.0,18.0,0.0,27.0,1.0,2.0
88,197.0,8.0,19.0,0.0,29.0,2.0,3.0
89,197.0,7.0,23.0,0.0,36.0,3.0,2.0
90,223.0,7.0,23.0,0.0,37.0,3.0,1.0
91,226.0,5.0,23.0,0.0,41.0,4.0,2.0
92,227.0,10.0,24.0,0.0,47.0,6.0,3.0
93,221.0,11.0,26.0,0.0,46.0,7.0,4.0
94,219.0,13.0,26.0,0.0,50.0,9.0,5.0
95,214.0,14.0,24.0,0.0,52.0,8.0,3.0
96,208.0,20.0,20.0,0.0,50.0,9.0,3.0
97,202.0,21.0,16.0,0.0,51.0,10.0,4.0
98,195.0,26.0,15.0,0.0,49.0,10.0,5.0
99,190.0,27.0,19.0,0.0,52.0,9.0,6.0
100,184.0,24.0,20.0,0.0,52.0,11.0,5.0
101,182.0,27.0,17.0,0.0,50.0,11.0,5.0
102,186.0,34.0,13.0,0.0,50.0,6.0,5.0
103,184.0,27.0,16.0,0.0,50.0,5.0,6.0
104,184.0,21.0,18.0,0.0,56.0,4.0,5.0
105,211.0,20.0,20.0,0.0,53.0,5.0,6.0
106,202.0,19.0,20.0,0.0,53.0,6.0,6.0
107,210.0,19.0,22.0,0.0,51.0,7.0,5.0
108,218.0,18.0,14.0,0.0,50.0,10.0,3.0
109,208.0,12.0,16.0,0.0,50.0,9.0,5.0
110,209.0,11.0,11.0,0.0,48.0,11.0,7.0
111,222.0,11.0,11.0,0.0,47.0,12.0,7.0
112,224.0,12.0,11.0,0.0,43.0,12.0,7.0
113,214.0,9.0,10.0,0.0,40.0,10.0,7.0
114,224.0,7.0,12.0,0.0,39.0,9.0,6.0
