,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
1,228.0,0.0,0.0,0.0,0.0,0.0,0.0
2,225.0,0.0,0.0,0.0,0.0,0.0,0.0
3,239.0,0.0,0.0,0.0,0.0,0.0,0.0
4,255.0,0.0,0.0,0.0,0.0,0.0,0.0
5,240.0,0.0,0.0,0.0,0.0,0.0,0.0
6,244.0,0.0,0.0,0.0,0.0,0.0,0.0
7,233.0,0.0,0.0,0.0,0.0,0.0,0.0
8,221.0,0.0,0.0,0.0,0.0,0.0,0.0
9,210.0,0.0,0.0,0.0,0.0,0.0,0.0
10,209.0,0.0,0.0,0.0,0.0,0.0,0.0
11,203.0,0.0,0.0,0.0,0.0,0.0,0.0
12,192.0,0.0,0.0,0.0,0.0,0.0,0.0
13,218.0,0.0,0.0,0.0,0.0,0.0,0.0
14,218.0,0.0,0.0,0.0,0.0,0.0,0.0
15,220.0,0.0,0.0,0.0,0.0,0.0,0.0
16,215.0,0.0,0.0,0.0,0.0,0.0,0.0
17,232.0,0.0,0.0,0.0,0.0,0.0,0.0
18,224.0,0.0,0.0,0.0,0.0,0.0,0.0
19,213.0,0.0,0.0,0.0,0.0,0.0,0.0
20,215.0,0.0,0.0,0.0,0.0,0.0,0.0
21,218.0,0.0,0.0,0.0,0.0,0.0,0.0
22,216.0,0.0,0.0,0.0,0.0,0.0,0.0
23,219.0,0.0,0.0,0.0,0.0,0.0,0.0
24,220.0,0.0,0.0,0.0,0.0,0.0,0.0
25,225.0,0.0,0.0,0.0,0.0,0.0,0.0
26,239.0,0.0,0.0,0.0,0.0,0.0,0.0
27,249.0,0.0,0.0,0.0,0.0,0.0,0.0
28,246.0,0.0,0.0,0.0,0.0,0.0,0.0
29,241.0,0.0,0.0,0.0,0.0,0.0,0.0
30,248.0,0.0,0.0,0.0,0.0,0.0,0.0
31,244.0,0.0,0.0,0.0,0.0,0.0,0.0
32,253.0,0.0,0.0,0.0,0.0,0.0,0.0
33,255.0,0.0,0.0,0.0,0.0,0.0,0.0
34,246.0,0.0,0.0,0.0,0.0,0.0,0.0
35,251.0,0.0,0.0,0.0,0.0,0.0,0.0
36,270.0,0.0,0.0,0.0,0.0,0.0,0.0
37,259.0,0.0,0.0,0.0,0.0,0.0,0.0
38,265.0,0.0,0.0,0.0,0.0,0.0,0.0
39,258.0,0.0,0.0,0.0,0.0,0.0,0.0
40,263.0,0.0,0.0,0.0,0.0,0.0,0.0
41,259.0,0.0,0.0,0.0,0.0,0.0,0.0
42,248.0,0.0,0.0,0.0,0.0,0.0,0.0
43,230.0,0.0,0.0,0.0,0.0,0.0,0.0
44,222.0,0.0,0.0,0.0,0.0,0.0,0.0
45,223.0,0.0,0.0,0.0,0.0,0.0,0.0
46,218.0,0.0,0.0,0.0,0.0,0.0,0.0
47,221.0,0.0,0.0,0.0,0.0,0.0,0.0
48,227.0,0.0,0.0,0.0,0.0,0.0,0.0
49,236.0,0.0,0.0,0.0,0.0,0.0,0.0
50,229.0,0.0,0.0,0.0,0.0,0.0,0.0
51,222.0,0.0,0.0,0.0,0.0,0.0,0.0
52,230.0,0.0,0.0,0.0,0.0,0.0,0.0
53,242.0,0.0,0.0,0.0,0.0,0.0,0.0
54,244.0,0.0,0.0,0.0,0.0,0.0,0.0
55,240.0,0.0,0.0,0.0,0.0,0.0,0.0
56,238.0,0.0,0.0,0.0,0.0,0.0,0.0
57,232.0,0.0,0.0,0.0,0.0,0.0,0.0
58,230.0,0.0,0.0,0.0,0.0,0.0,0.0
59,218.0,0.0,0.0,0.0,1.0,0.0,0.0
60,228.0,0.0,0.0,0.0,1.0,0.0,0.0
61,241.0,0.0,0.0,0.0,1.0,0.0,0.0
62,239.0,0.0,0.0,0.0,1.0,0.0,0.0
63,249.0,0.0,0.0,0.0,1.0,0.0,0.0
64,248.0,0.0,0.0,0.0,1.0,0.0,0.0
65,257.0,0.0,0.0,0.0,1.0,0.0,0.0
66,263.0,0.0,0.0,0.0,1.0,0.0,0.0
67,257.0,0.0,0.0,0.0,1.0,0.0,0.0
68,243.0,0.0,0.0,0.0,1.0,0.0,0.0
69,247.0,0.0,0.0,0.0,1.0,0.0,0.0
70,237.0,0.0,0.0,0.0,1.0,0.0,0.0
71,248.0,0.0,0.0,0.0,1.0,0.0,0.0
72,258.0,0.0,0.0,0.0,1.0,0.0,0.0
73,254.0,0.0,0.0,0.0,1.0,0.0,0.0
74,241.0,0.0,0.0,0.0,1.0,0.0,0.0
75,242.0,0.0,0.0,0.0,1.0,0.0,0.0
76,244.0,1.0,0.0,0.0,1.0,0.0,0.0
77,238.0,1.0,3.0,0.0,3.0,0.0,0.0
78,249.0,0.0,4.0,0.0,4.0,0.0,0.0
79,233.0,1.0,4.0,0.0,7.0,0.0,0.0
80,220.0,1.0,6.0,0.0,8.0,0.0,0.0
81,210.0,2.0,4.0,0.0,10.0,0.0,0.0
82,215.0,2.0,6.0,0.0,12.0,0.0,0.0
83,228.0,1.0,10.0,0.0,14.0,0.0,0.0
84,220.0,1.0,11.0,0.0,16.0,0.0,0.0
85,217.0,1.0,13.0,0.0,18.0,0.0,0.0
86,230.0,1.0,18.0,0.0,20.0,0.0,0.0
87,240.0,1.0,19.0,0.0,25.0,1.0,0.0
88,248.0,3.0,18.0,0.0,27.0,3.0,0.0
89,235.0,4.0,20.0,0.0,34.0,4.0,0.0
90,227.0,5.0,19.0,0.0,35.0,4.0,0.0
91,222.0,2.0,18.0,0.0,39.0,6.0,0.0
92,231.0,2.0,21.0,0.0,45.0,6.0,0.0
93,231.0,3.0,22.0,0.0,44.0,7.0,0.0
94,245.0,4.0,25.0,0.0,48.0,7.0,0.0
95,250.0,3.0,20.0,0.0,49.0,9.0,0.0
96,238.0,4.0,18.0,0.0,47.0,8.0,0.0
97,249.0,1.0,12.0,0.0,48.0,12.0,0.0
98,238.0,0.0,11.0,0.0,46.0,11.0,0.0
99,234.0,0.0,11.0,0.0,49.0,12.0,0.0
100,236.0,0.0,10.0,0.0,48.0,15.0,0.0
101,248.0,0.0,9.0,0.0,46.0,13.0,0.0
102,245.0,0.0,8.0,0.0,45.0,7.0,0.0
103,237.0,0.0,5.0,0.0,45.0,7.0,0.0
104,221.0,0.0,6.0,0.0,49.0,5.0,0.0
105,229.0,0.0,6.0,0.0,47.0,5.0,0.0
106,241.0,0.0,7.0,0.0,47.0,6.0,0.0
107,238.0,0.0,8.0,0.0,44.0,7.0,0.0
108,231.0,0.0,7.0,0.0,42.0,7.0,0.0
109,238.0,1.0,5.0,0.0,41.0,7.0,0.0
110,231.0,1.0,2.0,0.0,40.0,7.0,0.0
111,237.0,1.0,4.0,0.0,39.0,7.0,0.0
112,242.0,1.0,3.0,0.0,35.0,7.0,0.0
113,239.0,1.0,2.0,0.0,32.0,6.0,0.0
114,250.0,2.0,1.0,0.0,30.0,7.0,0.0
115,253.0,3.0,1.0,0.0,27.0,8.0,1.0
116,257.0,0.0,2.0,0.0,23.0,8.0,1.0
117,259.0,0.0,3.0,0.0,20.0,10.0,1.0
118,260.0,0.0,4.0,0.0,20.0,9.0,1.0
119,253.0,1.0,3.0,0.0,20.0,11.0,1.0
120,238.0,1.0,2.0,0.0,18.0,10.0,1.0
121,225.0,2.0,2.0,0.0,19.0,10.0,1.0
122,216.0,2.0,1.0,0.0,18.0,9.0,1.0
123,222.0,2.0,1.0,0.0,17.0,9.0,1.0
124,229.0,2.0,0.0,0.0,17.0,8.0,1.0
125,233.0,1.0,0.0,0.0,13.0,11.0,1.0
126,244.0,0.0,0.0,0.0,13.0,9.0,1.0
127,243.0,0.0,0.0,0.0,10.0,9.0,1.0
128,244.0,0.0,0.0,0.0,9.0,8.0,1.0
129,224.0,0.0,0.0,0.0,9.0,9.0,0.0
130,225.0,0.0,0.0,0.0,9.0,8.0,0.0
131,233.0,0.0,0.0,0.0,9.0,8.0,0.0
132,238.0,0.0,0.0,0.0,9.0,8.0,0.0
133,233.0,0.0,0.0,0.0,9.0,6.0,0.0
134,228.0,0.0,0.0,0.0,6.0,9.0,0.0
135,236.0,0.0,0.0,0.0,6.0,9.0,0.0
136,253.0,0.0,0.0,0.0,6.0,8.0,0.0
137,248.0,0.0,0.0,0.0,7.0,7.0,0.0
138,223.0,0.0,0.0,0.0,7.0,7.0,0.0
139,206.0,0.0,0.0,0.0,7.0,7.0,0.0
140,205.0,0.0,0.0,0.0,7.0,7.0,0.0
141,239.0,0.0,0.0,0.0,6.0,5.0,0.0
142,253.0,0.0,0.0,0.0,4.0,6.0,0.0
143,244.0,0.0,0.0,0.0,4.0,6.0,0.0
144,237.0,0.0,1.0,0.0,4.0,6.0,0.0
145,227.0,0.0,0.0,0.0,4.0,6.0,0.0
146,227.0,0.0,0.0,0.0,4.0,6.0,0.0
147,224.0,0.0,0.0,0.0,3.0,7.0,0.0
148,230.0,0.0,1.0,0.0,3.0,7.0,0.0
149,255.0,0.0,1.0,0.0,3.0,6.0,0.0
150,254.0,0.0,1.0,0.0,3.0,5.0,0.0
151,244.0,0.0,1.0,0.0,3.0,5.0,0.0
152,247.0,0.0,1.0,0.0,2.0,5.0,0.0
153,261.0,0.0,1.0,0.0,2.0,5.0,0.0
154,256.0,0.0,0.0,0.0,2.0,5.0,0.0
155,252.0,0.0,1.0,0.0,2.0,5.0,0.0
156,238.0,0.0,1.0,0.0,2.0,5.0,0.0
157,235.0,0.0,1.0,0.0,1.0,6.0,0.0
158,241.0,0.0,1.0,0.0,1.0,5.0,0.0
159,244.0,0.0,0.0,0.0,1.0,5.0,0.0
160,233.0,0.0,0.0,0.0,1.0,5.0,0.0
161,246.0,0.0,0.0,0.0,1.0,5.0,0.0
162,254.0,0.0,0.0,0.0,1.0,5.0,0.0
163,247.0,0.0,0.0,0.0,1.0,5.0,0.0
164,226.0,0.0,0.0,0.0,1.0,4.0,0.0
165,230.0,0.0,0.0,0.0,0.0,5.0,0.0
166,221.0,0.0,0.0,0.0,0.0,5.0,0.0
167,220.0,0.0,0.0,0.0,0.0,4.0,0.0
168,242.0,0.0,0.0,0.0,0.0,4.0,0.0
169,248.0,0.0,0.0,0.0,0.0,4.0,0.0
170,256.0,0.0,0.0,0.0,0.0,4.0,0.0
171,258.0,0.0,0.0,0.0,0.0,4.0,0.0
172,258.0,0.0,0.0,0.0,0.0,4.0,0.0
173,254.0,0.0,0.0,0.0,0.0,4.0,0.0
174,247.0,0.0,0.0,0.0,0.0,4.0,0.0
175,245.0,0.0,0.0,0.0,0.0,4.0,0.0
176,237.0,0.0,0.0,0.0,0.0,4.0,0.0
177,244.0,0.0,0.0,0.0,0.0,4.0,0.0
178,241.0,0.0,0.0,0.0,0.0,4.0,0.0
179,231.0,0.0,0.0,0.0,0.0,4.0,0.0
180,218.0,0.0,0.0,0.0,0.0,4.0,0.0
181,226.0,0.0,0.0,0.0,0.0,4.0,0.0
182,240.0,0.0,0.0,0.0,0.0,4.0,0.0
183,245.0,0.0,0.0,0.0,0.0,4.0,0.0
184,242.0,0.0,0.0,0.0,0.0,4.0,0.0
185,240.0,0.0,0.0,0.0,0.0,4.0,0.0
186,238.0,0.0,0.0,0.0,0.0,4.0,0.0
187,232.0,0.0,0.0,0.0,0.0,4.0,0.0
188,239.0,0.0,0.0,0.0,0.0,4.0,0.0
189,235.0,0.0,0.0,0.0,0.0,4.0,0.0
190,233.0,0.0,0.0,0.0,0.0,4.0,0.0
191,236.0,1.0,0.0,0.0,0.0,4.0,0.0
192,233.0,2.0,0.0,0.0,0.0,4.0,0.0
193,233.0,1.0,0.0,0.0,0.0,4.0,0.0
194,224.0,1.0,0.0,0.0,0.0,4.0,0.0
195,208.0,1.0,0.0,0.0,0.0,4.0,0.0
196,219.0,1.0,0.0,0.0,0.0,4.0,0.0
197,228.0,0.0,0.0,0.0,0.0,4.0,0.0
198,229.0,0.0,0.0,0.0,0.0,4.0,0.0
199,219.0,0.0,0.0,0.0,0.0,4.0,0.0
200,225.0,0.0,0.0,0.0,0.0,4.0,0.0
201,216.0,0.0,0.0,0.0,0.0,4.0,0.0
202,215.0,0.0,0.0,0.0,0.0,4.0,0.0
203,222.0,0.0,0.0,0.0,0.0,4.0,0.0
204,233.0,0.0,1.0,0.0,0.0,4.0,0.0
205,234.0,1.0,1.0,0.0,0.0,4.0,0.0
206,240.0,1.0,1.0,0.0,0.0,4.0,0.0
207,241.0,0.0,1.0,0.0,0.0,4.0,0.0
208,245.0,0.0,1.0,0.0,0.0,4.0,0.0
209,250.0,0.0,1.0,0.0,0.0,4.0,0.0
210,239.0,0.0,1.0,0.0,0.0,4.0,0.0
211,234.0,0.0,1.0,0.0,0.0,4.0,0.0
212,229.0,0.0,1.0,0.0,0.0,4.0,0.0
213,237.0,0.0,0.0,0.0,0.0,4.0,0.0
214,235.0,1.0,0.0,0.0,0.0,4.0,0.0
215,229.0,1.0,0.0,0.0,0.0,4.0,0.0
216,222.0,1.0,0.0,0.0,1.0,4.0,0.0
217,219.0,1.0,0.0,0.0,1.0,4.0,0.0
218,218.0,1.0,0.0,0.0,1.0,4.0,0.0
219,219.0,1.0,0.0,0.0,1.0,4.0,0.0
220,231.0,0.0,0.0,0.0,2.0,4.0,0.0
221,223.0,0.0,0.0,0.0,2.0,4.0,0.0
222,218.0,0.0,0.0,0.0,2.0,4.0,0.0
223,230.0,0.0,0.0,0.0,2.0,4.0,0.0
224,243.0,0.0,0.0,0.0,2.0,4.0,0.0
225,237.0,0.0,0.0,0.0,2.0,4.0,0.0
226,242.0,0.0,0.0,0.0,1.0,4.0,0.0
227,245.0,0.0,0.0,0.0,1.0,4.0,0.0
228,253.0,0.0,0.0,0.0,1.0,4.0,0.0
229,247.0,0.0,0.0,0.0,1.0,4.0,0.0
230,235.0,0.0,0.0,0.0,1.0,4.0,0.0
231,229.0,0.0,0.0,0.0,1.0,3.0,0.0
232,224.0,0.0,0.0,0.0,1.0,3.0,0.0
233,225.0,0.0,0.0,0.0,1.0,3.0,0.0
234,219.0,0.0,0.0,0.0,1.0,3.0,0.0
235,201.0,0.0,0.0,0.0,1.0,3.0,0.0
236,204.0,0.0,0.0,0.0,1.0,3.0,0.0
237,202.0,0.0,0.0,0.0,1.0,3.0,0.0
238,200.0,0.0,0.0,0.0,1.0,3.0,0.0
