,mean,ci_lower,ci_upper
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.02,0.0,0.009499999999999887
62,0.05,0.0,1.0
63,0.15,0.0,2.0
64,0.24,0.0,2.0
65,0.22,0.0,2.0
66,0.31,0.0,2.0
67,0.41,0.0,3.0
68,0.65,0.0,3.4749999999999943
69,0.85,0.0,3.4749999999999943
70,0.75,0.0,5.0
71,1.09,0.0,4.474999999999994
72,1.37,0.0,6.0
73,1.46,0.0,4.474999999999994
74,1.4,0.0,5.0
75,1.84,0.0,6.0
76,1.94,0.0,7.0
77,2.43,0.0,7.0
78,2.5,0.0,7.0
79,2.52,0.0,7.0
80,3.06,0.0,9.0
81,3.34,0.0,8.474999999999994
82,3.88,1.0,9.474999999999994
83,3.56,0.0,9.0
84,4.28,1.0,9.0
85,5.21,1.0,10.0
86,5.29,1.0,11.474999999999994
87,5.2,1.0,10.0
88,5.67,1.0,12.474999999999994
89,5.69,1.0,13.0
90,6.26,2.0,11.0
91,6.13,1.0,12.0
92,6.02,1.0,12.474999999999994
93,6.18,2.0,12.474999999999994
94,6.67,2.0,13.0
95,5.99,1.5,12.0
96,5.79,1.0,12.474999999999994
97,6.08,2.0,13.0
98,5.72,1.5,11.474999999999994
99,5.67,1.5,13.0
100,5.16,1.0,10.949999999999989
101,5.22,1.0,11.949999999999989
102,5.14,0.0,10.474999999999994
103,4.68,0.5,9.474999999999994
104,4.53,1.0,10.0
105,4.25,0.0,10.474999999999994
106,4.32,0.0,11.0
107,3.54,0.0,8.474999999999994
108,3.49,0.0,8.0
109,3.47,0.5,9.0
110,3.25,0.0,7.474999999999994
111,3.51,0.0,8.474999999999994
112,2.59,0.0,7.0
113,2.01,0.0,7.0
114,2.33,0.0,6.0
115,2.04,0.0,6.474999999999994
116,1.87,0.0,5.0
117,1.65,0.0,6.0
118,1.61,0.0,6.0
119,1.52,0.0,4.474999999999994
120,1.34,0.0,4.0
121,1.31,0.0,5.0
122,0.92,0.0,3.4749999999999943
123,0.99,0.0,3.4749999999999943
124,1.2,0.0,4.0
125,0.95,0.0,3.4749999999999943
126,0.9,0.0,4.0
127,0.87,0.0,3.4749999999999943
128,0.92,0.0,3.0
129,0.82,0.0,3.0
130,0.76,0.0,3.4749999999999943
131,0.61,0.0,3.0
132,0.79,0.0,3.4749999999999943
133,0.7,0.0,4.0
134,0.58,0.0,3.0
135,0.64,0.0,3.4749999999999943
136,0.5,0.0,2.0
137,0.6,0.0,3.0
138,0.41,0.0,2.0
139,0.53,0.0,2.4749999999999943
140,0.42,0.0,2.4749999999999943
141,0.61,0.0,3.4749999999999943
142,0.31,0.0,2.0
143,0.36,0.0,3.0
144,0.5,0.0,3.0
145,0.57,0.0,3.0
146,0.39,0.0,2.0
147,0.34,0.0,3.0
148,0.49,0.0,2.4749999999999943
149,0.42,0.0,3.0
150,0.44,0.0,2.4749999999999943
151,0.37,0.0,2.0
152,0.33,0.0,2.4749999999999943
153,0.39,0.0,2.4749999999999943
154,0.35,0.0,3.0
155,0.3,0.0,2.4749999999999943
156,0.24,0.0,1.4749999999999943
157,0.27,0.0,2.0
158,0.19,0.0,2.0
159,0.22,0.0,2.0
160,0.18,0.0,2.0
161,0.13,0.0,1.4749999999999943
162,0.23,0.0,3.0
163,0.17,0.0,1.4749999999999943
164,0.11,0.0,1.0
165,0.09,0.0,1.0
166,0.05,0.0,1.0
167,0.09,0.0,1.0
168,0.08,0.0,1.0
169,0.12,0.0,1.0
170,0.05,0.0,1.0
171,0.06,0.0,1.0
172,0.05,0.0,1.0
173,0.0,0.0,0.0
174,0.06,0.0,1.0
175,0.08,0.0,1.0
176,0.04,0.0,1.0
177,0.03,0.0,0.49074999999999447
178,0.05,0.0,1.0
179,0.04,0.0,1.0
180,0.04,0.0,0.4959999999999945
181,0.02,0.0,0.0
182,0.08,0.0,1.0
183,0.09,0.0,1.4749999999999943
184,0.02,0.0,0.009499999999999887
185,0.04,0.0,1.0
186,0.09,0.0,1.0
187,0.02,0.0,0.009499999999999887
188,0.06,0.0,1.0
189,0.07,0.0,1.0
190,0.09,0.0,1.0
191,0.08,0.0,1.0
