,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,4
79,5
80,6
81,7
82,8
83,10
84,16
85,18
86,21
87,26
88,31
89,36
90,40
91,42
92,44
93,50
94,52
95,56
96,60
97,62
98,65
99,67
100,75
101,79
102,80
103,81
104,82
105,84
106,88
107,89
108,92
109,95
110,97
111,98
112,98
113,102
114,103
115,105
116,107
117,107
118,108
119,108
120,108
121,110
122,111
123,113
124,114
125,114
126,114
127,115
128,115
129,116
130,117
131,117
132,118
133,121
134,123
135,124
136,124
137,125
138,125
139,126
140,126
141,126
142,126
143,128
144,128
145,129
146,130
147,130
148,131
149,132
150,134
151,134
152,135
153,135
154,136
155,136
156,136
157,136
158,136
159,136
160,136
161,136
162,136
163,136
164,136
165,136
166,136
167,136
168,136
169,136
170,136
171,136
172,136
173,136
174,136
175,136
176,137
177,137
178,137
179,137
180,137
181,137
182,137
183,137
184,137
185,137
186,137
187,137
188,137
189,137
190,137
191,137
192,137
193,137
194,137
195,137
196,137
197,137
198,137
199,137
200,137
201,137
202,137
203,137
204,137
205,137
206,137
207,137
208,137
209,137
210,137
211,137
212,137
213,137
214,137
215,137
216,137
217,137
218,137
219,137
220,137
221,137
222,137
223,137
224,137
225,137
226,137
227,137
228,137
229,137
230,137
231,137
232,137
233,137
234,137
235,137
236,137
237,137
238,137
