,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,6.0
70,6.0
71,6.0
72,6.0
73,6.0
74,6.0
75,7.0
76,6.0
77,7.0
78,7.0
79,11.0
80,13.0
81,15.0
82,18.0
83,27.0
84,26.0
85,27.0
86,26.0
87,27.0
88,31.0
89,29.0
90,51.0
91,51.0
92,53.0
93,54.0
94,56.0
95,53.0
96,57.0
97,57.0
98,57.0
99,56.0
100,55.0
101,54.0
102,53.0
103,55.0
104,37.0
105,38.0
106,36.0
107,37.0
108,38.0
109,48.0
110,40.0
111,35.0
112,36.0
113,38.0
114,36.0
115,33.0
116,23.0
117,27.0
118,34.0
119,34.0
120,32.0
121,31.0
122,31.0
123,30.0
124,27.0
125,13.0
126,11.0
127,11.0
128,10.0
129,10.0
130,10.0
131,10.0
132,12.0
133,12.0
134,13.0
135,14.0
136,12.0
137,12.0
138,11.0
139,11.0
140,11.0
141,10.0
142,9.0
143,9.0
144,9.0
145,9.0
146,3.0
147,3.0
148,3.0
149,3.0
150,3.0
151,2.0
152,2.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,0.0
212,0.0
213,0.0
214,0.0
215,1.0
216,2.0
217,2.0
218,2.0
219,2.0
220,2.0
221,3.0
222,2.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,0.0
229,0.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,0.0
238,0.0
