,mean,ci_lower,ci_upper
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.01,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.01,0.0,0.0
60,0.01,0.0,0.0
61,0.01,0.0,0.0
62,0.08,0.0,1.0
63,0.16,0.0,1.0
64,0.15,0.0,2.0
65,0.18,0.0,2.0
66,0.34,0.0,2.4749999999999943
67,0.39,0.0,3.0
68,0.29,0.0,2.0
69,0.43,0.0,2.0
70,0.61,0.0,3.0
71,0.64,0.0,3.4749999999999943
72,0.89,0.0,3.4749999999999943
73,1.01,0.0,4.0
74,1.31,0.0,4.0
75,1.42,0.0,4.474999999999994
76,1.53,0.0,4.474999999999994
77,1.64,0.0,5.0
78,1.77,0.0,5.0
79,2.18,0.0,6.474999999999994
80,2.25,0.0,7.0
81,2.04,0.0,6.0
82,2.33,0.0,6.0
83,2.41,0.0,6.0
84,2.46,0.0,6.474999999999994
85,2.89,0.0,8.474999999999994
86,3.05,0.0,9.0
87,2.57,0.0,6.0
88,2.4,0.0,6.474999999999994
89,2.78,0.0,7.0
90,2.52,0.0,6.0
91,2.21,0.0,6.0
92,2.44,0.0,6.0
93,2.37,0.0,6.0
94,1.88,0.0,5.0
95,1.8,0.0,4.474999999999994
96,1.89,0.0,5.0
97,1.72,0.0,4.474999999999994
98,1.72,0.0,5.474999999999994
99,1.9,0.0,6.0
100,1.74,0.0,5.0
101,1.52,0.0,5.0
102,1.65,0.0,5.474999999999994
103,1.61,0.0,5.0
104,1.25,0.0,4.0
105,1.58,0.0,5.0
106,1.53,0.0,4.0
107,1.45,0.0,4.474999999999994
108,1.33,0.0,5.0
109,1.23,0.0,5.0
110,1.34,0.0,5.474999999999994
111,1.0,0.0,5.0
112,0.93,0.0,3.4749999999999943
113,0.83,0.0,4.0
114,0.89,0.0,4.0
115,0.94,0.0,4.0
116,0.82,0.0,4.0
117,0.6,0.0,2.4749999999999943
118,0.75,0.0,3.4749999999999943
119,0.81,0.0,3.0
120,0.63,0.0,3.0
121,0.6,0.0,3.0
122,0.51,0.0,2.4749999999999943
123,0.67,0.0,3.0
124,0.5,0.0,2.0
125,0.49,0.0,3.0
126,0.61,0.0,3.4749999999999943
127,0.41,0.0,2.0
128,0.34,0.0,2.0
129,0.46,0.0,2.4749999999999943
130,0.39,0.0,3.0
131,0.29,0.0,2.0
132,0.3,0.0,2.0
133,0.47,0.0,2.0
134,0.36,0.0,2.0
135,0.38,0.0,2.4749999999999943
136,0.29,0.0,2.0
137,0.41,0.0,2.4749999999999943
138,0.23,0.0,2.0
139,0.31,0.0,2.0
140,0.29,0.0,2.0
141,0.29,0.0,2.0
142,0.23,0.0,1.4749999999999943
143,0.19,0.0,1.4749999999999943
144,0.31,0.0,2.0
145,0.33,0.0,2.4749999999999943
146,0.25,0.0,2.0
147,0.28,0.0,1.4749999999999943
148,0.28,0.0,2.0
149,0.38,0.0,2.0
150,0.29,0.0,2.0
151,0.25,0.0,2.0
152,0.27,0.0,2.4749999999999943
153,0.13,0.0,1.0
154,0.22,0.0,2.0
155,0.22,0.0,2.0
156,0.13,0.0,1.4749999999999943
157,0.14,0.0,1.0
158,0.06,0.0,1.0
159,0.08,0.0,1.0
160,0.07,0.0,1.0
161,0.1,0.0,1.0
162,0.06,0.0,1.0
163,0.08,0.0,1.0
164,0.05,0.0,1.0
165,0.03,0.0,0.49074999999999447
166,0.06,0.0,1.0
167,0.09,0.0,1.0
168,0.12,0.0,1.4749999999999943
169,0.04,0.0,0.4959999999999945
170,0.08,0.0,1.0
171,0.03,0.0,0.49074999999999447
172,0.07,0.0,1.0
173,0.05,0.0,1.0
174,0.12,0.0,1.0
175,0.11,0.0,1.0
176,0.08,0.0,1.0
177,0.05,0.0,1.0
178,0.16,0.0,2.4749999999999943
179,0.09,0.0,1.0
180,0.06,0.0,1.0
181,0.05,0.0,1.0
182,0.06,0.0,1.0
183,0.08,0.0,1.0
184,0.09,0.0,1.0
185,0.12,0.0,1.4749999999999943
186,0.1,0.0,1.0
187,0.11,0.0,1.0
188,0.12,0.0,1.0
189,0.04,0.0,1.0
190,0.05,0.0,1.0
191,0.04,0.0,1.0
192,0.08,0.0,1.0
193,0.11,0.0,1.0
194,0.09,0.0,1.0
195,0.04,0.0,1.0
