,num_contacts_traced,num_positive_contacts,contact_tracing_time,num_sympt_patients_traced,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,day,sim,prevalence,n_total,n_pos,pos_rate
0,10,0,90.75694444444444,1.0,86.04166666666667,11.0,1.0,90.0,0.0,0.2289562289562289,1192.0,152.0,0.0
1,4,0,186.50694444444449,0.0,182.0,8.0,1.0,186.0,0.0,0.0,1151.0,2.0,0.0
2,6,1,124.22222222222224,4.0,120.0,2.0,0.0,124.0,0.0,0.064516129032258,1120.0,26.0,16.666666666666664
3,10,1,70.07638888888889,0.0,67.84722222222223,18.0,0.0,70.0,0.0,0.0129310344827586,1093.0,12.0,10.0
4,11,0,91.17361111111111,1.0,88.0,12.0,2.0,91.0,0.0,0.2416107382550335,1195.0,158.0,0.0
5,6,0,80.00694444444444,0.0,72.1875,25.0,1.0,80.0,0.0,0.0722433460076045,1144.0,59.0,0.0
6,7,0,89.43055555555556,5.0,84.875,8.0,1.0,89.0,0.0,0.2315436241610738,1192.0,148.0,0.0
7,5,0,99.11111111111111,11.0,94.0,4.0,1.0,99.0,0.0,0.2111801242236025,1232.0,136.0,0.0
8,7,0,101.35416666666669,3.0,94.0,5.0,0.0,101.0,0.0,0.1910828025477707,1212.0,116.0,0.0
9,5,0,92.78472222222224,7.0,88.0,2.0,0.0,92.0,0.0,0.2615894039735099,1209.0,168.0,0.0
10,6,0,76.84027777777777,0.0,73.0,5.0,0.0,76.0,0.0,0.0281124497991967,1118.0,37.0,0.0
11,13,0,76.20833333333333,1.0,70.34027777777777,18.0,0.0,76.0,0.0,0.0281124497991967,1111.0,37.0,0.0
12,8,0,85.1875,4.0,82.0,4.0,0.0,85.0,0.0,0.1538461538461538,1151.0,101.0,0.0
13,10,1,94.56944444444444,5.0,88.0,7.0,1.0,94.0,0.0,0.2507836990595611,1223.0,165.0,10.0
14,10,0,140.38194444444446,0.0,133.51388888888889,23.0,1.0,140.0,0.0,0.032,1124.0,22.0,0.0
