,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
1,197.0,0.0,0.0,0.0,0.0,0.0,0.0
2,206.0,0.0,0.0,0.0,0.0,0.0,0.0
3,217.0,0.0,0.0,0.0,0.0,0.0,0.0
4,220.0,0.0,0.0,0.0,0.0,0.0,0.0
5,221.0,0.0,0.0,0.0,0.0,0.0,0.0
6,219.0,0.0,0.0,0.0,0.0,0.0,0.0
7,231.0,0.0,0.0,0.0,0.0,0.0,0.0
8,222.0,0.0,0.0,0.0,0.0,0.0,0.0
9,211.0,0.0,0.0,0.0,0.0,0.0,0.0
10,213.0,0.0,0.0,0.0,0.0,0.0,0.0
11,216.0,0.0,0.0,0.0,0.0,0.0,0.0
12,220.0,0.0,0.0,0.0,0.0,0.0,0.0
13,221.0,0.0,0.0,0.0,0.0,0.0,0.0
14,218.0,0.0,0.0,0.0,0.0,0.0,0.0
15,216.0,0.0,0.0,0.0,0.0,0.0,0.0
16,219.0,0.0,0.0,0.0,0.0,0.0,0.0
17,225.0,0.0,0.0,0.0,0.0,0.0,0.0
18,220.0,0.0,0.0,0.0,0.0,0.0,0.0
19,227.0,0.0,0.0,0.0,0.0,0.0,0.0
20,223.0,0.0,0.0,0.0,0.0,0.0,0.0
21,212.0,0.0,0.0,0.0,0.0,0.0,0.0
22,205.0,0.0,0.0,0.0,0.0,0.0,0.0
23,204.0,0.0,0.0,0.0,0.0,0.0,0.0
24,217.0,0.0,0.0,0.0,0.0,0.0,0.0
25,231.0,0.0,0.0,0.0,0.0,0.0,0.0
26,242.0,0.0,0.0,0.0,0.0,0.0,0.0
27,244.0,0.0,0.0,0.0,0.0,0.0,0.0
28,212.0,0.0,0.0,0.0,0.0,0.0,0.0
29,217.0,0.0,0.0,0.0,0.0,0.0,0.0
30,228.0,0.0,0.0,0.0,0.0,0.0,0.0
31,217.0,0.0,0.0,0.0,0.0,0.0,0.0
32,223.0,0.0,0.0,0.0,0.0,0.0,0.0
33,242.0,0.0,0.0,0.0,0.0,0.0,0.0
34,236.0,0.0,0.0,0.0,0.0,0.0,0.0
35,241.0,0.0,0.0,0.0,0.0,0.0,0.0
36,234.0,0.0,0.0,0.0,0.0,0.0,0.0
37,245.0,0.0,0.0,0.0,0.0,0.0,0.0
38,249.0,0.0,0.0,0.0,0.0,0.0,0.0
39,244.0,0.0,0.0,0.0,0.0,0.0,0.0
40,241.0,0.0,0.0,0.0,0.0,0.0,0.0
41,234.0,0.0,0.0,0.0,0.0,0.0,0.0
42,237.0,0.0,0.0,0.0,0.0,0.0,0.0
43,234.0,0.0,0.0,0.0,0.0,0.0,0.0
44,237.0,0.0,0.0,0.0,0.0,0.0,0.0
45,240.0,0.0,0.0,0.0,0.0,0.0,0.0
46,244.0,0.0,0.0,0.0,0.0,0.0,0.0
47,227.0,0.0,0.0,0.0,0.0,0.0,0.0
48,216.0,0.0,0.0,0.0,0.0,0.0,0.0
49,216.0,0.0,0.0,0.0,0.0,0.0,0.0
50,218.0,0.0,0.0,0.0,0.0,0.0,0.0
51,222.0,0.0,0.0,0.0,0.0,0.0,0.0
52,237.0,0.0,0.0,0.0,0.0,0.0,0.0
53,237.0,0.0,0.0,0.0,0.0,0.0,0.0
54,242.0,0.0,0.0,0.0,0.0,0.0,0.0
55,236.0,0.0,0.0,0.0,0.0,0.0,0.0
56,230.0,0.0,0.0,0.0,0.0,0.0,0.0
57,234.0,0.0,0.0,0.0,0.0,0.0,0.0
58,217.0,0.0,0.0,0.0,0.0,0.0,0.0
59,211.0,0.0,0.0,0.0,1.0,0.0,0.0
60,209.0,0.0,0.0,0.0,1.0,0.0,0.0
61,223.0,0.0,0.0,0.0,1.0,0.0,0.0
62,231.0,0.0,0.0,0.0,1.0,0.0,0.0
63,216.0,0.0,0.0,0.0,1.0,0.0,0.0
64,216.0,0.0,0.0,0.0,1.0,0.0,0.0
65,220.0,0.0,0.0,0.0,1.0,0.0,0.0
66,232.0,0.0,0.0,0.0,1.0,0.0,0.0
67,224.0,0.0,0.0,0.0,1.0,0.0,0.0
68,212.0,0.0,0.0,0.0,1.0,0.0,0.0
69,217.0,1.0,0.0,0.0,1.0,0.0,0.0
70,214.0,1.0,0.0,0.0,1.0,0.0,0.0
71,224.0,1.0,0.0,0.0,1.0,0.0,0.0
72,224.0,0.0,1.0,0.0,1.0,0.0,0.0
73,217.0,0.0,1.0,0.0,1.0,0.0,0.0
74,208.0,2.0,0.0,0.0,1.0,0.0,1.0
75,218.0,1.0,0.0,0.0,1.0,0.0,1.0
76,222.0,3.0,0.0,0.0,1.0,0.0,1.0
77,231.0,3.0,3.0,0.0,3.0,0.0,1.0
78,238.0,3.0,3.0,0.0,4.0,0.0,1.0
79,245.0,8.0,4.0,0.0,7.0,0.0,1.0
80,232.0,11.0,6.0,0.0,8.0,0.0,2.0
81,230.0,10.0,5.0,0.0,11.0,0.0,3.0
82,241.0,8.0,8.0,0.0,13.0,0.0,5.0
83,234.0,11.0,12.0,0.0,15.0,0.0,4.0
84,258.0,9.0,14.0,0.0,19.0,0.0,4.0
85,263.0,7.0,16.0,0.0,21.0,0.0,2.0
86,254.0,8.0,20.0,0.0,23.0,0.0,1.0
87,243.0,6.0,22.0,0.0,27.0,1.0,1.0
88,248.0,6.0,21.0,0.0,30.0,2.0,1.0
89,250.0,4.0,24.0,0.0,38.0,3.0,1.0
90,235.0,5.0,23.0,0.0,39.0,4.0,1.0
91,228.0,7.0,22.0,0.0,43.0,5.0,1.0
92,222.0,5.0,24.0,0.0,48.0,4.0,1.0
93,230.0,7.0,23.0,0.0,47.0,8.0,2.0
94,224.0,10.0,24.0,0.0,51.0,11.0,0.0
