,transmission_time,incubation_time,infection_time,disease_state
0,9270,763,8928,State.EXPOSED
1,9272,761,8928,State.EXPOSED
2,9297,736,8928,State.EXPOSED
3,9362,806,9272,State.EXPOSED
4,9424,609,8928,State.EXPOSED
5,9672,217,9424,State.EXPOSED
6,9720,169,9424,State.EXPOSED
7,9784,105,9424,State.EXPOSED
8,9937,703,9672,State.EXPOSED
9,10216,257,9784,State.EXPOSED
10,10218,255,9784,State.EXPOSED
11,10264,376,9672,State.EXPOSED
12,10332,523,10224,State.EXPOSED
13,10393,296,10264,State.EXPOSED
14,10422,608,9936,State.EXPOSED
15,10920,,10512,State.ASYMPTOMATIC
16,10922,279,10422,State.EXPOSED
17,11042,635,10922,State.EXPOSED
18,11285,955,11042,State.EXPOSED
19,11394,846,11042,State.EXPOSED
20,11425,952,11285,State.EXPOSED
21,11448,929,11285,State.EXPOSED
22,11466,774,11042,State.EXPOSED
23,11474,766,11042,State.EXPOSED
24,11488,666,11425,State.EXPOSED
25,11498,,11088,State.ASYMPTOMATIC
26,11552,602,11425,State.EXPOSED
27,11552,1050,11232,State.EXPOSED
28,11652,591,11520,State.EXPOSED
29,11696,458,11425,State.EXPOSED
30,11721,605,11498,State.EXPOSED
31,11808,,11520,State.ASYMPTOMATIC
32,11816,285,11520,State.EXPOSED
33,11834,492,11498,State.EXPOSED
34,11834,50,11552,State.EXPOSED
35,11864,917,11466,State.EXPOSED
36,11884,646,11376,State.EXPOSED
37,11896,,11721,State.ASYMPTOMATIC
38,11928,,11664,State.ASYMPTOMATIC
39,11936,308,11552,State.EXPOSED
40,12026,300,11498,State.EXPOSED
41,12048,390,11816,State.EXPOSED
42,12064,374,11816,State.EXPOSED
43,12064,,11928,State.ASYMPTOMATIC
44,12073,567,11652,State.EXPOSED
45,12097,341,11816,State.EXPOSED
46,12144,591,11808,State.EXPOSED
47,12153,677,11952,State.EXPOSED
48,12160,670,11952,State.EXPOSED
49,12169,492,12026,State.EXPOSED
50,12176,,11896,State.ASYMPTOMATIC
51,12184,551,11808,State.EXPOSED
52,12232,12,11552,State.EXPOSED
53,12240,158,11808,State.EXPOSED
54,12250,95,11884,State.EXPOSED
55,12290,371,12026,State.EXPOSED
56,12304,526,11952,State.EXPOSED
57,12312,,11896,State.ASYMPTOMATIC
58,12320,,11896,State.ASYMPTOMATIC
59,12352,608,12160,State.EXPOSED
60,12401,444,12250,State.EXPOSED
61,12402,326,11812,State.EXPOSED
62,12457,506,12184,State.EXPOSED
63,12459,202,12026,State.EXPOSED
64,12488,643,12384,State.EXPOSED
65,12488,135,12290,State.EXPOSED
66,12504,227,12096,State.EXPOSED
67,12561,494,12304,State.EXPOSED
68,12579,381,12160,State.EXPOSED
69,12602,719,12457,State.EXPOSED
70,12632,514,12064,State.EXPOSED
71,12648,498,12064,State.EXPOSED
72,12649,311,12160,State.EXPOSED
73,12672,7,12384,State.EXPOSED
74,12684,681,12240,State.EXPOSED
75,12700,260,12160,State.EXPOSED
76,12700,355,12304,State.EXPOSED
77,12720,243,12184,State.EXPOSED
78,12745,678,12488,State.EXPOSED
79,12795,282,12384,State.EXPOSED
80,12816,455,12632,State.EXPOSED
81,12819,57,12384,State.EXPOSED
82,12825,496,12457,State.EXPOSED
83,12840,792,12528,State.EXPOSED
84,12872,551,12488,State.EXPOSED
85,12904,367,12632,State.EXPOSED
86,12953,368,12457,State.EXPOSED
87,12954,639,12684,State.EXPOSED
88,13057,536,12684,State.EXPOSED
89,13104,,12795,State.MILD
90,13108,954,12745,State.EXPOSED
91,13116,440,12700,State.EXPOSED
92,13121,407,12825,State.EXPOSED
93,13129,427,12700,State.EXPOSED
94,13144,482,12672,State.EXPOSED
95,13170,163,12816,State.EXPOSED
96,13200,411,12960,State.EXPOSED
97,13233,378,12960,State.EXPOSED
98,13233,,12960,State.ASYMPTOMATIC
99,13240,1117,12953,State.EXPOSED
100,13248,385,12954,State.EXPOSED
101,13258,368,12672,State.EXPOSED
102,13281,352,12954,State.EXPOSED
103,13289,456,13057,State.EXPOSED
104,13352,203,13121,State.EXPOSED
105,13368,,12960,State.ASYMPTOMATIC
106,13385,226,12960,State.EXPOSED
107,13392,581,13289,State.EXPOSED
108,13440,269,12904,State.EXPOSED
109,13444,420,13385,State.EXPOSED
110,13448,101,13200,State.EXPOSED
111,13494,748,13104,State.EXPOSED
112,13504,51,13121,State.EXPOSED
113,13516,0,12916,State.SEVERE
114,13554,538,13108,State.EXPOSED
115,13560,386,13248,State.EXPOSED
116,13560,744,13368,State.EXPOSED
117,13610,118,13281,State.EXPOSED
118,13661,431,13108,State.EXPOSED
119,13664,693,12953,State.EXPOSED
120,13673,,12960,State.ASYMPTOMATIC
121,13709,383,13108,State.EXPOSED
122,13776,528,13368,State.EXPOSED
123,13936,,13776,State.ASYMPTOMATIC
124,14088,,13776,State.ASYMPTOMATIC
125,14160,349,13936,State.EXPOSED
126,14202,21,13610,State.EXPOSED
127,14210,305,13968,State.EXPOSED
128,14312,548,13968,State.EXPOSED
129,14333,,14210,State.ASYMPTOMATIC
130,14344,,14088,State.ASYMPTOMATIC
131,14416,93,13936,State.EXPOSED
132,14454,476,14160,State.EXPOSED
133,14576,1191,14416,State.EXPOSED
134,14628,844,14344,State.EXPOSED
135,14754,718,14344,State.EXPOSED
136,14769,703,14344,State.EXPOSED
137,14809,,14400,State.ASYMPTOMATIC
138,14905,434,14628,State.EXPOSED
139,14952,,14400,State.ASYMPTOMATIC
140,15177,295,14400,State.EXPOSED
141,15216,362,14952,State.EXPOSED
142,15242,336,14952,State.EXPOSED
143,15264,0,14844,State.MILD
144,15345,936,15242,State.EXPOSED
145,15465,348,15345,State.EXPOSED
146,15480,,15177,State.ASYMPTOMATIC
147,15732,26,15408,State.EXPOSED
148,15929,748,15480,State.EXPOSED
149,15940,898,15696,State.EXPOSED
150,16109,729,15696,State.EXPOSED
151,16113,,15552,State.ASYMPTOMATIC
152,16227,611,15696,State.EXPOSED
153,16464,130,15840,State.EXPOSED
154,16522,663,16128,State.EXPOSED
155,16536,649,16128,State.EXPOSED
156,16673,478,16464,State.EXPOSED
157,16779,,16227,State.ASYMPTOMATIC
158,16824,444,16536,State.EXPOSED
159,16900,369,16560,State.EXPOSED
160,16926,343,16560,State.EXPOSED
161,17042,227,16560,State.EXPOSED
162,17094,530,16824,State.EXPOSED
163,17209,463,16926,State.EXPOSED
164,17280,0,16690,State.SEVERE
165,17642,218,17209,State.EXPOSED
166,17748,174,17280,State.EXPOSED
167,28344,259,28080,State.EXPOSED
168,28480,123,28080,State.EXPOSED
