,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,2
79,2
80,3
81,4
82,4
83,5
84,8
85,10
86,10
87,13
88,15
89,17
90,21
91,22
92,28
93,38
94,44
95,46
96,47
97,48
98,49
99,49
100,52
101,52
102,54
103,56
104,58
105,58
106,60
107,61
108,65
109,66
110,69
111,70
112,71
113,71
114,72
115,72
116,72
117,73
118,74
119,74
120,74
121,75
122,75
123,76
124,77
125,78
126,79
127,79
128,82
129,86
130,88
131,89
132,90
133,91
134,92
135,92
136,94
137,94
138,95
139,95
140,95
141,95
142,95
143,95
144,95
145,95
146,95
147,95
148,95
149,95
150,95
151,95
152,96
153,97
154,99
155,99
156,99
157,101
158,102
159,102
160,102
161,102
162,102
163,102
164,102
165,102
166,102
167,102
168,102
169,102
170,102
171,102
172,102
173,102
174,102
175,102
176,102
177,102
178,102
179,102
180,102
181,102
182,102
183,102
184,102
185,102
186,102
187,102
188,102
189,102
190,102
191,102
192,102
193,102
194,102
195,102
196,102
197,103
198,103
199,103
200,103
201,103
202,103
203,103
204,103
205,103
206,103
207,103
208,103
209,103
210,103
211,103
212,103
213,103
214,103
215,103
216,103
217,103
218,103
219,103
220,103
221,103
222,103
223,103
224,103
225,103
226,103
227,103
228,103
229,103
230,103
231,103
232,103
233,103
234,103
235,103
236,103
237,103
238,103
