,transmission_time,incubation_time,infection_time,disease_state
0,9243,903,9072,State.EXPOSED
1,9840,599,9504,State.EXPOSED
2,10226,741,9936,State.EXPOSED
3,10272,833,10080,State.EXPOSED
4,10401,465,10226,State.EXPOSED
5,10409,457,10226,State.EXPOSED
6,10440,221,10272,State.EXPOSED
7,10656,311,9936,State.EXPOSED
8,10841,,10401,State.ASYMPTOMATIC
9,11128,1308,10800,State.EXPOSED
10,11244,1192,10800,State.EXPOSED
11,11272,608,11128,State.EXPOSED
12,11352,528,11128,State.EXPOSED
13,11377,503,11128,State.EXPOSED
14,11408,75,11088,State.EXPOSED
15,11521,278,11244,State.EXPOSED
16,11544,615,11272,State.EXPOSED
17,11832,1057,11520,State.EXPOSED
18,11833,603,11520,State.EXPOSED
19,11994,328,11664,State.EXPOSED
20,12027,,11664,State.ASYMPTOMATIC
21,12032,0,11680,State.MILD
22,12160,0,11870,State.MILD
23,12208,,11833,State.ASYMPTOMATIC
24,12216,0,11680,State.MILD
25,12226,,11808,State.ASYMPTOMATIC
26,12228,280,11952,State.EXPOSED
27,12252,342,11952,State.EXPOSED
28,12312,,11832,State.ASYMPTOMATIC
29,12361,,12027,State.ASYMPTOMATIC
30,12390,656,12240,State.EXPOSED
31,12413,633,12240,State.EXPOSED
32,12464,793,12312,State.EXPOSED
33,12480,882,12208,State.EXPOSED
34,12482,357,12240,State.EXPOSED
35,12505,857,12208,State.EXPOSED
36,12521,318,12240,State.EXPOSED
37,12553,,12027,State.ASYMPTOMATIC
38,12558,488,12240,State.EXPOSED
39,12586,527,12413,State.EXPOSED
40,12617,865,12226,State.EXPOSED
41,12650,313,12480,State.EXPOSED
42,12690,197,12528,State.EXPOSED
43,12722,391,12413,State.EXPOSED
44,12722,535,12312,State.EXPOSED
45,12752,745,12384,State.EXPOSED
46,12761,685,12617,State.EXPOSED
47,12769,734,12505,State.EXPOSED
48,12786,327,12413,State.EXPOSED
49,12794,319,12413,State.EXPOSED
50,12800,163,12480,State.EXPOSED
51,12833,279,12553,State.EXPOSED
52,12872,986,12586,State.EXPOSED
53,12896,622,12521,State.EXPOSED
54,12897,549,12617,State.EXPOSED
55,12904,954,12586,State.EXPOSED
56,12906,952,12586,State.EXPOSED
57,12920,432,12769,State.EXPOSED
58,12936,371,12672,State.EXPOSED
59,12938,253,12558,State.EXPOSED
60,12964,149,12413,State.EXPOSED
61,12968,144,12553,State.EXPOSED
62,12978,,12816,State.ASYMPTOMATIC
63,13017,429,12617,State.EXPOSED
64,13040,818,12586,State.EXPOSED
65,13048,338,12722,State.EXPOSED
66,13084,735,12978,State.EXPOSED
67,13096,,12968,State.ASYMPTOMATIC
68,13104,203,12672,State.EXPOSED
69,13152,51,12906,State.EXPOSED
70,13153,127,12786,State.EXPOSED
71,13162,,12528,State.ASYMPTOMATIC
72,13177,642,12978,State.EXPOSED
73,13185,261,12617,State.EXPOSED
74,13200,607,12936,State.EXPOSED
75,13204,615,12978,State.EXPOSED
76,13232,431,12816,State.EXPOSED
77,13254,,12816,State.ASYMPTOMATIC
78,13272,,13104,State.ASYMPTOMATIC
79,13360,303,12816,State.EXPOSED
80,13368,63,13040,State.EXPOSED
81,13433,373,13162,State.EXPOSED
82,13448,171,13248,State.EXPOSED
83,13452,,13104,State.ASYMPTOMATIC
84,13465,,13104,State.ASYMPTOMATIC
85,13470,1028,13177,State.EXPOSED
86,13473,333,13162,State.EXPOSED
87,13490,200,13104,State.EXPOSED
88,13491,199,13104,State.EXPOSED
89,13505,301,13162,State.EXPOSED
90,13512,,13204,State.ASYMPTOMATIC
91,13585,827,13232,State.EXPOSED
92,13585,,13104,State.ASYMPTOMATIC
93,13592,906,13177,State.EXPOSED
94,13636,,13204,State.ASYMPTOMATIC
95,13650,,13505,State.ASYMPTOMATIC
96,13661,,13084,State.ASYMPTOMATIC
97,13681,444,13536,State.EXPOSED
98,13710,,13536,State.ASYMPTOMATIC
99,13722,311,13536,State.EXPOSED
100,13784,0,13383,State.MILD
101,13794,0,13172,State.SEVERE
102,13824,134,13448,State.EXPOSED
103,13824,885,13592,State.EXPOSED
104,13826,661,13254,State.EXPOSED
105,13841,284,13536,State.EXPOSED
106,13849,276,13536,State.EXPOSED
107,13860,63,13433,State.EXPOSED
108,13865,1090,13636,State.EXPOSED
109,13881,0,13404,State.SEVERE
110,13890,747,13680,State.EXPOSED
111,13897,801,13585,State.EXPOSED
112,13928,781,13592,State.EXPOSED
113,13944,765,13592,State.EXPOSED
114,13945,1010,13636,State.EXPOSED
115,13969,500,13722,State.EXPOSED
116,13984,49,13536,State.EXPOSED
117,13993,962,13636,State.EXPOSED
118,14001,32,13536,State.EXPOSED
119,14040,658,13585,State.EXPOSED
120,14073,816,13945,State.EXPOSED
121,14106,351,13928,State.EXPOSED
122,14142,420,13865,State.EXPOSED
123,14153,857,13969,State.EXPOSED
124,14154,,13824,State.ASYMPTOMATIC
125,14184,,13881,State.ASYMPTOMATIC
126,14216,241,13928,State.EXPOSED
127,14240,217,13928,State.EXPOSED
128,14264,445,13592,State.EXPOSED
129,14298,712,13969,State.EXPOSED
130,14336,656,14001,State.EXPOSED
131,14340,,13968,State.ASYMPTOMATIC
132,14369,88,13928,State.EXPOSED
133,14384,73,13928,State.EXPOSED
134,14401,575,13968,State.EXPOSED
135,14410,566,13968,State.EXPOSED
136,14441,636,14142,State.EXPOSED
137,14442,568,13969,State.EXPOSED
138,14562,,14264,State.ASYMPTOMATIC
139,14640,468,14401,State.EXPOSED
140,14641,809,14442,State.EXPOSED
141,14691,417,14401,State.EXPOSED
142,14720,,14240,State.ASYMPTOMATIC
143,14745,363,14401,State.EXPOSED
