,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,2
71,2
72,2
73,4
74,6
75,9
76,10
77,12
78,13
79,18
80,20
81,22
82,23
83,23
84,25
85,29
86,31
87,32
88,32
89,35
90,37
91,42
92,45
93,50
94,54
95,63
96,67
97,71
98,80
99,86
100,94
101,102
102,110
103,111
104,113
105,118
106,121
107,126
108,127
109,129
110,131
111,135
112,141
113,142
114,143
115,143
116,144
117,145
118,146
119,146
120,147
121,150
122,151
123,151
124,151
125,151
126,151
127,151
128,152
129,152
130,152
131,152
132,154
133,156
134,156
135,156
136,156
137,156
138,156
139,156
140,156
141,156
142,157
143,157
144,157
145,157
146,157
147,157
148,157
149,157
150,157
151,159
152,160
153,160
154,160
155,160
156,161
157,161
158,161
159,161
160,161
161,161
162,161
163,161
164,161
165,161
166,162
167,162
168,162
169,162
170,162
171,162
172,162
173,162
174,162
175,162
176,162
177,162
178,162
179,162
180,162
181,162
182,162
183,162
184,162
185,162
186,162
187,162
188,162
189,162
190,162
191,162
192,162
193,162
194,162
195,162
196,162
197,162
198,162
199,162
200,162
201,163
202,163
203,163
204,163
205,163
206,163
207,163
208,163
209,163
210,163
211,163
212,163
213,163
214,163
215,163
216,163
217,163
218,163
219,163
220,163
221,163
222,163
223,163
224,163
225,163
226,163
227,163
228,163
229,163
230,164
231,164
232,164
233,164
234,164
235,164
236,164
237,165
238,167
