,transmission_time,incubation_time,infection_time,disease_state
0,8360,170,8218,State.EXPOSED
1,8537,372,8360,State.EXPOSED
2,8808,101,8360,State.EXPOSED
3,8824,85,8360,State.EXPOSED
4,9000,718,8824,State.EXPOSED
5,9120,598,8824,State.EXPOSED
6,9192,526,8824,State.EXPOSED
7,9192,526,8824,State.EXPOSED
8,9216,502,8824,State.EXPOSED
9,9264,1197,9120,State.EXPOSED
10,9264,1197,9120,State.EXPOSED
11,9288,1173,9120,State.EXPOSED
12,9304,286,9000,State.EXPOSED
13,9329,396,9192,State.EXPOSED
14,9384,657,9304,State.EXPOSED
15,9472,253,9192,State.EXPOSED
16,9480,432,9288,State.EXPOSED
17,9488,424,9288,State.EXPOSED
18,9642,,9360,State.ASYMPTOMATIC
19,9672,240,9288,State.EXPOSED
20,9745,337,9192,State.EXPOSED
21,9816,96,9288,State.EXPOSED
22,9841,504,9472,State.EXPOSED
23,9857,488,9472,State.EXPOSED
24,9888,,9360,State.ASYMPTOMATIC
25,9897,130,9480,State.EXPOSED
26,9993,683,9857,State.EXPOSED
27,10017,428,9841,State.EXPOSED
28,10086,143,9672,State.EXPOSED
29,10128,317,9841,State.EXPOSED
30,10152,524,9857,State.EXPOSED
31,10170,506,9857,State.EXPOSED
32,10252,311,10086,State.EXPOSED
33,10260,1088,9936,State.EXPOSED
34,10272,404,9857,State.EXPOSED
35,10297,525,10152,State.EXPOSED
36,10297,266,10086,State.EXPOSED
37,10321,242,10086,State.EXPOSED
38,10336,,10080,State.ASYMPTOMATIC
39,10392,,10252,State.ASYMPTOMATIC
40,10424,,10128,State.ASYMPTOMATIC
41,10465,658,10272,State.EXPOSED
42,10488,159,10224,State.EXPOSED
43,10505,142,10224,State.EXPOSED
44,10513,328,10170,State.EXPOSED
45,10616,175,10321,State.EXPOSED
46,10649,192,10170,State.EXPOSED
47,10664,,10513,State.ASYMPTOMATIC
48,10688,450,10392,State.EXPOSED
49,10752,386,10392,State.EXPOSED
50,10752,371,10272,State.EXPOSED
51,10776,15,10321,State.EXPOSED
52,10792,296,10616,State.EXPOSED
53,10803,417,10649,State.EXPOSED
54,10834,386,10649,State.EXPOSED
55,10864,,10664,State.ASYMPTOMATIC
56,10865,252,10776,State.EXPOSED
57,10873,383,10424,State.EXPOSED
58,10936,152,10616,State.EXPOSED
59,11019,98,10776,State.EXPOSED
60,11032,,10864,State.ASYMPTOMATIC
61,11097,123,10649,State.EXPOSED
62,11106,406,10803,State.EXPOSED
63,11130,382,10803,State.EXPOSED
64,11136,162,10656,State.EXPOSED
65,11137,342,10944,State.EXPOSED
66,11169,654,10834,State.EXPOSED
67,11237,242,10944,State.EXPOSED
68,11250,0,10809,State.SEVERE
69,11298,782,10944,State.EXPOSED
70,11308,925,11136,State.EXPOSED
71,11376,646,11032,State.EXPOSED
72,11385,0,10809,State.SEVERE
73,11401,495,11097,State.EXPOSED
74,11412,838,11130,State.EXPOSED
75,11417,751,11106,State.EXPOSED
76,11474,422,11097,State.EXPOSED
77,11505,391,11097,State.EXPOSED
78,11561,689,11130,State.EXPOSED
79,11568,108,11298,State.EXPOSED
80,11577,99,11298,State.EXPOSED
81,11646,835,11474,State.EXPOSED
