,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,208.0,0.0,0.0,0.0,0.0,0.0,0.0
1,189.0,0.0,0.0,0.0,0.0,0.0,0.0
2,184.0,0.0,0.0,0.0,0.0,0.0,0.0
3,189.0,0.0,0.0,0.0,0.0,0.0,0.0
4,211.0,0.0,0.0,0.0,0.0,0.0,0.0
5,227.0,0.0,0.0,0.0,0.0,0.0,0.0
6,229.0,0.0,0.0,0.0,0.0,0.0,0.0
7,233.0,0.0,0.0,0.0,0.0,0.0,0.0
8,227.0,0.0,0.0,0.0,0.0,0.0,0.0
9,252.0,0.0,0.0,0.0,0.0,0.0,0.0
10,252.0,0.0,0.0,0.0,0.0,0.0,0.0
11,242.0,0.0,0.0,0.0,0.0,0.0,0.0
12,234.0,0.0,0.0,0.0,0.0,0.0,0.0
13,223.0,0.0,0.0,0.0,0.0,0.0,0.0
14,222.0,0.0,0.0,0.0,0.0,0.0,0.0
15,237.0,0.0,0.0,0.0,0.0,0.0,0.0
16,235.0,0.0,0.0,0.0,0.0,0.0,0.0
17,241.0,0.0,0.0,0.0,0.0,0.0,0.0
18,232.0,0.0,0.0,0.0,0.0,0.0,0.0
19,244.0,0.0,0.0,0.0,0.0,0.0,0.0
20,247.0,0.0,0.0,0.0,0.0,0.0,0.0
21,231.0,0.0,0.0,0.0,0.0,0.0,0.0
22,219.0,0.0,0.0,0.0,0.0,0.0,0.0
23,212.0,0.0,0.0,0.0,0.0,0.0,0.0
24,199.0,0.0,0.0,0.0,0.0,0.0,0.0
25,191.0,0.0,0.0,0.0,0.0,0.0,0.0
26,201.0,0.0,0.0,0.0,0.0,0.0,0.0
27,219.0,0.0,0.0,0.0,0.0,0.0,0.0
28,227.0,0.0,0.0,0.0,0.0,0.0,0.0
29,233.0,0.0,0.0,0.0,0.0,0.0,0.0
30,231.0,0.0,0.0,0.0,0.0,0.0,0.0
31,239.0,0.0,0.0,0.0,0.0,0.0,0.0
32,219.0,0.0,0.0,0.0,0.0,0.0,0.0
33,223.0,0.0,0.0,0.0,0.0,0.0,0.0
34,236.0,0.0,0.0,0.0,0.0,0.0,0.0
35,238.0,0.0,0.0,0.0,0.0,0.0,0.0
36,242.0,0.0,0.0,0.0,0.0,0.0,0.0
37,250.0,0.0,0.0,0.0,0.0,0.0,0.0
38,237.0,0.0,0.0,0.0,0.0,0.0,0.0
39,233.0,0.0,0.0,0.0,0.0,0.0,0.0
40,238.0,0.0,0.0,0.0,0.0,0.0,0.0
41,236.0,0.0,0.0,0.0,0.0,0.0,0.0
42,229.0,0.0,0.0,0.0,0.0,0.0,0.0
43,224.0,0.0,0.0,0.0,0.0,0.0,0.0
44,219.0,0.0,0.0,0.0,0.0,0.0,0.0
45,211.0,0.0,0.0,0.0,0.0,0.0,0.0
46,223.0,0.0,0.0,0.0,0.0,0.0,0.0
47,244.0,0.0,0.0,0.0,0.0,0.0,0.0
48,246.0,0.0,0.0,0.0,0.0,0.0,0.0
49,245.0,0.0,0.0,0.0,0.0,0.0,0.0
50,241.0,0.0,0.0,0.0,0.0,0.0,0.0
51,234.0,0.0,0.0,0.0,0.0,0.0,0.0
52,225.0,0.0,0.0,0.0,0.0,0.0,0.0
53,232.0,0.0,0.0,0.0,0.0,0.0,0.0
54,239.0,0.0,0.0,0.0,0.0,0.0,0.0
55,254.0,0.0,0.0,0.0,0.0,0.0,0.0
56,257.0,0.0,0.0,0.0,0.0,0.0,0.0
57,260.0,0.0,0.0,0.0,0.0,0.0,0.0
58,250.0,0.0,0.0,0.0,0.0,0.0,0.0
59,237.0,0.0,0.0,0.0,1.0,0.0,0.0
60,223.0,0.0,0.0,0.0,1.0,0.0,0.0
61,233.0,0.0,0.0,0.0,1.0,0.0,0.0
62,229.0,0.0,0.0,0.0,1.0,0.0,0.0
63,238.0,0.0,0.0,0.0,1.0,0.0,0.0
64,228.0,0.0,0.0,0.0,1.0,0.0,0.0
65,238.0,0.0,0.0,0.0,1.0,0.0,0.0
66,249.0,0.0,0.0,0.0,1.0,0.0,0.0
67,240.0,1.0,0.0,0.0,1.0,0.0,0.0
68,227.0,0.0,0.0,0.0,1.0,0.0,0.0
69,217.0,0.0,0.0,0.0,1.0,0.0,0.0
70,208.0,1.0,0.0,0.0,1.0,0.0,0.0
71,202.0,1.0,0.0,0.0,1.0,0.0,0.0
72,201.0,1.0,0.0,0.0,1.0,0.0,0.0
73,215.0,1.0,0.0,0.0,1.0,0.0,0.0
74,210.0,0.0,0.0,0.0,1.0,0.0,0.0
75,213.0,1.0,0.0,0.0,1.0,0.0,0.0
76,202.0,3.0,0.0,0.0,1.0,0.0,0.0
77,220.0,2.0,3.0,0.0,3.0,0.0,0.0
78,212.0,3.0,4.0,0.0,4.0,0.0,1.0
79,209.0,4.0,5.0,0.0,7.0,0.0,2.0
80,216.0,6.0,7.0,0.0,8.0,0.0,3.0
81,217.0,7.0,4.0,0.0,10.0,0.0,3.0
82,210.0,8.0,7.0,0.0,12.0,0.0,3.0
83,205.0,5.0,13.0,0.0,14.0,0.0,3.0
84,221.0,7.0,13.0,0.0,16.0,1.0,3.0
85,224.0,7.0,15.0,0.0,18.0,1.0,4.0
86,228.0,7.0,19.0,0.0,20.0,1.0,4.0
87,218.0,6.0,22.0,0.0,25.0,0.0,5.0
88,227.0,8.0,21.0,0.0,28.0,0.0,4.0
89,232.0,11.0,20.0,0.0,35.0,3.0,4.0
90,225.0,9.0,19.0,0.0,35.0,5.0,5.0
91,214.0,12.0,19.0,0.0,41.0,5.0,5.0
92,209.0,10.0,21.0,0.0,48.0,6.0,6.0
93,202.0,9.0,24.0,0.0,47.0,7.0,3.0
94,201.0,11.0,26.0,0.0,51.0,6.0,4.0
95,213.0,8.0,24.0,0.0,52.0,7.0,4.0
96,214.0,8.0,19.0,0.0,50.0,9.0,4.0
97,216.0,11.0,15.0,0.0,50.0,9.0,3.0
98,194.0,15.0,11.0,0.0,48.0,10.0,4.0
99,195.0,12.0,16.0,0.0,51.0,9.0,3.0
100,210.0,10.0,17.0,0.0,50.0,10.0,3.0
101,208.0,10.0,15.0,0.0,48.0,11.0,1.0
102,205.0,12.0,12.0,0.0,48.0,6.0,6.0
103,207.0,9.0,11.0,0.0,48.0,5.0,4.0
104,174.0,11.0,9.0,0.0,51.0,4.0,5.0
105,185.0,11.0,8.0,0.0,49.0,5.0,7.0
106,191.0,18.0,11.0,0.0,47.0,7.0,4.0
107,182.0,17.0,10.0,0.0,45.0,9.0,4.0
108,190.0,10.0,12.0,0.0,45.0,7.0,3.0
109,188.0,10.0,9.0,0.0,43.0,8.0,3.0
110,192.0,8.0,6.0,0.0,42.0,8.0,3.0
111,200.0,11.0,4.0,0.0,40.0,9.0,3.0
112,195.0,11.0,4.0,0.0,37.0,8.0,4.0
113,199.0,10.0,5.0,0.0,33.0,7.0,4.0
114,210.0,8.0,4.0,0.0,32.0,7.0,3.0
