,transmission_time,incubation_time,infection_time,disease_state
0,10128,222,9648,State.EXPOSED
1,10344,672,10080,State.EXPOSED
2,10356,660,10080,State.EXPOSED
3,10393,373,10128,State.EXPOSED
4,10448,318,10128,State.EXPOSED
5,10488,528,10080,State.EXPOSED
6,10488,1091,10356,State.EXPOSED
7,10488,278,10128,State.EXPOSED
8,10489,,10224,State.ASYMPTOMATIC
9,10536,230,10128,State.EXPOSED
10,10584,458,10344,State.EXPOSED
11,10608,330,10488,State.EXPOSED
12,10609,749,10368,State.EXPOSED
13,10650,,10224,State.ASYMPTOMATIC
14,10656,282,10488,State.EXPOSED
15,10712,54,10128,State.EXPOSED
16,10785,794,10356,State.EXPOSED
17,10793,382,10650,State.EXPOSED
18,10800,487,10656,State.EXPOSED
19,10803,631,10393,State.EXPOSED
20,10853,,10489,State.ASYMPTOMATIC
21,10865,173,10448,State.EXPOSED
22,10882,273,10584,State.EXPOSED
23,10905,430,10608,State.EXPOSED
24,10923,630,10793,State.EXPOSED
25,10932,243,10650,State.EXPOSED
26,10968,319,10656,State.EXPOSED
27,11008,1161,10712,State.EXPOSED
28,11069,1376,10923,State.EXPOSED
29,11088,199,10656,State.EXPOSED
30,11117,764,10944,State.EXPOSED
31,11145,10,10584,State.EXPOSED
32,11169,,10803,State.ASYMPTOMATIC
33,11177,191,10882,State.EXPOSED
34,11187,181,10882,State.EXPOSED
35,11202,597,10944,State.EXPOSED
36,11209,294,11008,State.EXPOSED
37,11209,,10932,State.ASYMPTOMATIC
38,11209,,10905,State.ASYMPTOMATIC
39,11232,649,10944,State.EXPOSED
40,11232,649,10944,State.EXPOSED
41,11257,296,10793,State.EXPOSED
42,11273,,10803,State.ASYMPTOMATIC
43,11273,280,10793,State.EXPOSED
44,11289,1276,11145,State.EXPOSED
45,11297,1268,11145,State.EXPOSED
46,11297,256,10793,State.EXPOSED
47,11298,589,11117,State.EXPOSED
48,11304,429,10853,State.EXPOSED
49,11356,1089,10923,State.EXPOSED
50,11376,505,10944,State.EXPOSED
51,11380,501,10944,State.EXPOSED
52,11408,,10968,State.ASYMPTOMATIC
53,11425,1140,11145,State.EXPOSED
54,11448,629,11177,State.EXPOSED
55,11449,1116,11145,State.EXPOSED
56,11496,,10932,State.ASYMPTOMATIC
57,11520,,11304,State.ASYMPTOMATIC
58,11521,864,11273,State.EXPOSED
59,11537,479,11376,State.EXPOSED
60,11538,499,11273,State.EXPOSED
61,11568,,11448,State.ASYMPTOMATIC
62,11569,876,11297,State.EXPOSED
63,11574,871,11297,State.EXPOSED
64,11617,249,11376,State.EXPOSED
65,11657,209,11376,State.EXPOSED
66,11665,720,11273,State.EXPOSED
67,11720,,11298,State.ASYMPTOMATIC
68,11721,1013,11297,State.EXPOSED
69,11724,623,11568,State.EXPOSED
70,11810,275,11232,State.EXPOSED
71,11820,240,11520,State.EXPOSED
72,11832,228,11520,State.EXPOSED
73,11849,122,11665,State.EXPOSED
74,11860,487,11568,State.EXPOSED
75,11872,239,11449,State.EXPOSED
76,11873,535,11657,State.EXPOSED
77,11886,851,11664,State.EXPOSED
78,11897,511,11657,State.EXPOSED
79,11928,90,11496,State.EXPOSED
80,11929,44,11521,State.EXPOSED
81,11944,199,11720,State.EXPOSED
82,11957,601,11820,State.EXPOSED
83,11977,166,11720,State.EXPOSED
84,12012,725,11664,State.EXPOSED
85,12017,391,11657,State.EXPOSED
86,12048,290,11808,State.EXPOSED
87,12065,343,11657,State.EXPOSED
88,12075,333,11657,State.EXPOSED
89,12096,462,11820,State.EXPOSED
90,12097,177,11860,State.EXPOSED
91,12120,0,11567,State.SEVERE
92,12128,504,11849,State.EXPOSED
93,12138,,11832,State.ASYMPTOMATIC
94,12145,317,11724,State.EXPOSED
95,12161,283,11897,State.EXPOSED
96,12170,560,11886,State.EXPOSED
97,12184,260,11897,State.EXPOSED
98,12248,415,11808,State.EXPOSED
99,12268,6,11860,State.EXPOSED
100,12288,156,11897,State.EXPOSED
101,12290,440,11886,State.EXPOSED
102,12290,1344,12170,State.EXPOSED
103,12297,994,12012,State.EXPOSED
104,12321,1146,12096,State.EXPOSED
105,12328,719,11952,State.EXPOSED
106,12328,116,11897,State.EXPOSED
107,12329,46,12017,State.EXPOSED
108,12330,961,12012,State.EXPOSED
109,12338,370,12240,State.EXPOSED
110,12402,1232,12170,State.EXPOSED
111,12424,352,12128,State.EXPOSED
112,12426,1208,12170,State.EXPOSED
113,12456,837,12290,State.EXPOSED
114,12456,837,12290,State.EXPOSED
115,12456,320,12128,State.EXPOSED
116,12457,,12321,State.ASYMPTOMATIC
117,12472,304,12128,State.EXPOSED
118,12488,459,12096,State.EXPOSED
119,12488,429,12328,State.EXPOSED
120,12489,172,11952,State.EXPOSED
121,12496,,12065,State.ASYMPTOMATIC
122,12496,,11929,State.ASYMPTOMATIC
123,12505,343,12297,State.EXPOSED
124,12537,,12329,State.ASYMPTOMATIC
125,12552,0,12085,State.MILD
126,12560,362,12184,State.EXPOSED
127,12570,215,12240,State.EXPOSED
128,12577,728,12145,State.EXPOSED
129,12581,464,12290,State.EXPOSED
130,12624,298,12184,State.EXPOSED
131,12625,,12321,State.ASYMPTOMATIC
132,12625,223,12297,State.EXPOSED
133,12627,,12138,State.ASYMPTOMATIC
134,12633,,12329,State.ASYMPTOMATIC
135,12641,836,12528,State.EXPOSED
136,12649,,12488,State.ASYMPTOMATIC
137,12652,56,12240,State.EXPOSED
138,12652,393,12290,State.EXPOSED
139,12664,283,12096,State.EXPOSED
140,12676,369,12290,State.EXPOSED
141,12688,202,12402,State.EXPOSED
142,12712,132,12424,State.EXPOSED
143,12728,,12384,State.ASYMPTOMATIC
144,12736,,12248,State.ASYMPTOMATIC
145,12760,275,12472,State.EXPOSED
146,12761,582,12672,State.EXPOSED
147,12777,,12488,State.ASYMPTOMATIC
148,12801,118,12528,State.EXPOSED
149,12816,32,12297,State.EXPOSED
150,12819,,12384,State.ASYMPTOMATIC
151,12842,611,12537,State.EXPOSED
152,12864,429,12290,State.EXPOSED
153,12880,463,12672,State.EXPOSED
154,12882,99,12736,State.EXPOSED
155,12889,146,12472,State.EXPOSED
156,12894,11,12384,State.EXPOSED
157,12897,84,12736,State.EXPOSED
158,12918,,12625,State.ASYMPTOMATIC
159,12961,390,12712,State.EXPOSED
160,12976,,12816,State.ASYMPTOMATIC
161,13001,,12652,State.ASYMPTOMATIC
162,13008,0,12483,State.MILD
163,13010,37,12577,State.EXPOSED
164,13035,,12761,State.ASYMPTOMATIC
165,13050,911,12528,State.EXPOSED
166,13057,,12652,State.ASYMPTOMATIC
167,13104,,12560,State.ASYMPTOMATIC
168,13128,715,12961,State.EXPOSED
169,13129,694,12880,State.EXPOSED
170,13152,339,12976,State.EXPOSED
171,13154,,13035,State.ASYMPTOMATIC
172,13177,300,12581,State.EXPOSED
173,13185,882,12842,State.EXPOSED
174,13233,,12652,State.ASYMPTOMATIC
175,13250,593,12961,State.EXPOSED
176,13296,957,13185,State.EXPOSED
177,13320,933,13185,State.EXPOSED
178,13321,22,12672,State.EXPOSED
179,13344,,13104,State.ASYMPTOMATIC
180,13352,,12633,State.ASYMPTOMATIC
181,13393,416,13129,State.EXPOSED
182,13393,1258,13104,State.EXPOSED
183,13416,0,12877,State.MILD
184,13432,391,12880,State.EXPOSED
185,13433,1103,13248,State.EXPOSED
186,13440,,13035,State.ASYMPTOMATIC
187,13466,128,13250,State.EXPOSED
188,13489,228,13010,State.EXPOSED
189,13512,,13104,State.ASYMPTOMATIC
190,13513,671,13321,State.EXPOSED
191,13545,716,13001,State.EXPOSED
192,13545,991,13248,State.EXPOSED
193,13568,28,13248,State.EXPOSED
194,13570,1081,13104,State.EXPOSED
195,13592,592,13321,State.EXPOSED
196,13613,103,13248,State.EXPOSED
197,13659,557,13545,State.EXPOSED
198,13672,512,13321,State.EXPOSED
199,13681,431,13320,State.EXPOSED
200,13689,495,13321,State.EXPOSED
201,13692,,13392,State.ASYMPTOMATIC
202,13728,507,13008,State.EXPOSED
203,13728,1104,13392,State.EXPOSED
204,13731,1101,13392,State.EXPOSED
205,13733,1099,13392,State.EXPOSED
206,13746,507,13185,State.EXPOSED
207,13769,549,13296,State.EXPOSED
208,13784,0,13330,State.MILD
