,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,2.0
66,2.0
67,2.0
68,4.0
69,4.0
70,4.0
71,9.0
72,7.0
73,7.0
74,12.0
75,10.0
76,10.0
77,19.0
78,14.0
79,14.0
80,27.0
81,22.0
82,22.0
83,27.0
84,18.0
85,19.0
86,34.0
87,21.0
88,21.0
89,42.0
90,37.0
91,37.0
92,49.0
93,34.0
94,34.0
95,41.0
96,20.0
97,20.0
98,31.0
99,18.0
100,18.0
101,28.0
102,21.0
103,21.0
104,29.0
105,18.0
106,18.0
107,27.0
108,17.0
109,17.0
110,24.0
111,16.0
112,16.0
113,20.0
114,11.0
115,11.0
116,14.0
117,7.0
118,7.0
119,8.0
120,4.0
121,4.0
122,6.0
123,3.0
124,3.0
125,10.0
126,9.0
127,9.0
128,12.0
129,10.0
130,10.0
131,11.0
132,4.0
133,4.0
134,7.0
135,4.0
136,4.0
137,5.0
138,4.0
139,4.0
140,4.0
141,1.0
142,1.0
143,2.0
144,1.0
145,1.0
146,3.0
147,3.0
148,3.0
149,4.0
150,3.0
151,3.0
152,4.0
153,2.0
154,2.0
155,2.0
156,1.0
157,1.0
158,1.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,0.0
193,0.0
194,3.0
195,3.0
196,3.0
197,9.0
198,9.0
199,9.0
200,9.0
201,6.0
202,6.0
203,6.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,2.0
219,2.0
220,2.0
221,4.0
222,4.0
223,4.0
224,4.0
225,2.0
226,2.0
227,2.0
228,0.0
229,0.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,0.0
238,0.0
