,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
1,221.0,0.0,0.0,0.0,0.0,0.0,0.0
2,229.0,0.0,0.0,0.0,0.0,0.0,0.0
3,230.0,0.0,0.0,0.0,0.0,0.0,0.0
4,248.0,0.0,0.0,0.0,0.0,0.0,0.0
5,250.0,0.0,0.0,0.0,0.0,0.0,0.0
6,236.0,0.0,0.0,0.0,0.0,0.0,0.0
7,228.0,0.0,0.0,0.0,0.0,0.0,0.0
8,229.0,0.0,0.0,0.0,0.0,0.0,0.0
9,232.0,0.0,0.0,0.0,0.0,0.0,0.0
10,220.0,0.0,0.0,0.0,0.0,0.0,0.0
11,219.0,0.0,0.0,0.0,0.0,0.0,0.0
12,221.0,0.0,0.0,0.0,0.0,0.0,0.0
13,224.0,0.0,0.0,0.0,0.0,0.0,0.0
14,238.0,0.0,0.0,0.0,0.0,0.0,0.0
15,228.0,0.0,0.0,0.0,0.0,0.0,0.0
16,225.0,0.0,0.0,0.0,0.0,0.0,0.0
17,220.0,0.0,0.0,0.0,0.0,0.0,0.0
18,232.0,0.0,0.0,0.0,0.0,0.0,0.0
19,233.0,0.0,0.0,0.0,0.0,0.0,0.0
20,247.0,0.0,0.0,0.0,0.0,0.0,0.0
21,255.0,0.0,0.0,0.0,0.0,0.0,0.0
22,251.0,0.0,0.0,0.0,0.0,0.0,0.0
23,241.0,0.0,0.0,0.0,0.0,0.0,0.0
24,253.0,0.0,0.0,0.0,0.0,0.0,0.0
25,252.0,0.0,0.0,0.0,0.0,0.0,0.0
26,245.0,0.0,0.0,0.0,0.0,0.0,0.0
27,236.0,0.0,0.0,0.0,0.0,0.0,0.0
28,227.0,0.0,0.0,0.0,0.0,0.0,0.0
29,225.0,0.0,0.0,0.0,0.0,0.0,0.0
30,233.0,0.0,0.0,0.0,0.0,0.0,0.0
31,227.0,0.0,0.0,0.0,0.0,0.0,0.0
32,234.0,0.0,0.0,0.0,0.0,0.0,0.0
33,240.0,0.0,0.0,0.0,0.0,0.0,0.0
34,240.0,0.0,0.0,0.0,0.0,0.0,0.0
35,249.0,0.0,0.0,0.0,0.0,0.0,0.0
36,246.0,0.0,0.0,0.0,0.0,0.0,0.0
37,242.0,0.0,0.0,0.0,0.0,0.0,0.0
38,238.0,0.0,0.0,0.0,0.0,0.0,0.0
39,235.0,0.0,0.0,0.0,0.0,0.0,0.0
40,238.0,0.0,0.0,0.0,0.0,0.0,0.0
41,232.0,0.0,0.0,0.0,0.0,0.0,0.0
42,234.0,0.0,0.0,0.0,0.0,0.0,0.0
43,250.0,0.0,0.0,0.0,0.0,0.0,0.0
44,260.0,0.0,0.0,0.0,0.0,0.0,0.0
45,252.0,0.0,0.0,0.0,0.0,0.0,0.0
46,243.0,0.0,0.0,0.0,0.0,0.0,0.0
47,236.0,0.0,0.0,0.0,0.0,0.0,0.0
48,230.0,0.0,0.0,0.0,0.0,0.0,0.0
49,242.0,0.0,0.0,0.0,0.0,0.0,0.0
50,251.0,0.0,0.0,0.0,0.0,0.0,0.0
51,250.0,0.0,0.0,0.0,0.0,0.0,0.0
52,252.0,0.0,0.0,0.0,0.0,0.0,0.0
53,258.0,0.0,0.0,0.0,0.0,0.0,0.0
54,277.0,0.0,0.0,0.0,0.0,0.0,0.0
55,277.0,0.0,0.0,0.0,0.0,0.0,0.0
56,249.0,0.0,0.0,0.0,0.0,0.0,0.0
57,241.0,0.0,0.0,0.0,0.0,0.0,0.0
58,241.0,0.0,0.0,0.0,0.0,0.0,0.0
59,243.0,0.0,0.0,0.0,1.0,0.0,0.0
60,238.0,0.0,0.0,0.0,1.0,0.0,0.0
61,227.0,0.0,0.0,0.0,1.0,0.0,0.0
62,225.0,0.0,0.0,0.0,1.0,0.0,0.0
63,226.0,0.0,0.0,0.0,1.0,0.0,0.0
64,226.0,0.0,0.0,0.0,1.0,0.0,0.0
65,229.0,1.0,0.0,0.0,1.0,0.0,0.0
66,250.0,0.0,0.0,0.0,2.0,0.0,0.0
67,257.0,0.0,0.0,0.0,2.0,0.0,0.0
68,252.0,0.0,0.0,0.0,2.0,0.0,0.0
69,246.0,0.0,0.0,0.0,2.0,0.0,0.0
70,240.0,0.0,0.0,0.0,2.0,0.0,0.0
71,235.0,1.0,0.0,0.0,2.0,0.0,0.0
72,236.0,1.0,0.0,0.0,2.0,0.0,0.0
73,238.0,0.0,0.0,0.0,2.0,0.0,0.0
74,235.0,1.0,0.0,0.0,2.0,0.0,0.0
75,224.0,1.0,0.0,0.0,2.0,0.0,0.0
76,219.0,2.0,0.0,0.0,2.0,0.0,0.0
77,222.0,3.0,3.0,0.0,4.0,0.0,0.0
78,209.0,2.0,3.0,0.0,5.0,0.0,0.0
79,217.0,2.0,4.0,0.0,8.0,0.0,1.0
80,216.0,2.0,6.0,0.0,9.0,1.0,1.0
81,205.0,0.0,4.0,0.0,11.0,1.0,1.0
82,214.0,1.0,5.0,0.0,13.0,1.0,0.0
83,215.0,2.0,9.0,0.0,15.0,1.0,0.0
84,211.0,1.0,9.0,0.0,17.0,2.0,0.0
85,217.0,1.0,12.0,0.0,19.0,1.0,0.0
86,214.0,2.0,16.0,0.0,20.0,1.0,1.0
87,216.0,1.0,18.0,0.0,25.0,2.0,0.0
88,206.0,3.0,17.0,0.0,28.0,3.0,1.0
89,198.0,4.0,20.0,0.0,35.0,3.0,1.0
90,204.0,3.0,20.0,0.0,36.0,3.0,1.0
91,222.0,2.0,20.0,0.0,39.0,5.0,1.0
92,219.0,3.0,23.0,0.0,45.0,5.0,2.0
93,228.0,2.0,25.0,0.0,44.0,7.0,1.0
94,230.0,1.0,28.0,0.0,48.0,6.0,0.0
95,217.0,2.0,23.0,0.0,49.0,8.0,1.0
96,210.0,1.0,18.0,0.0,47.0,10.0,1.0
97,216.0,1.0,13.0,0.0,48.0,11.0,1.0
98,222.0,0.0,13.0,0.0,46.0,8.0,3.0
99,240.0,0.0,15.0,0.0,49.0,8.0,3.0
100,253.0,0.0,14.0,0.0,48.0,11.0,3.0
101,248.0,0.0,10.0,0.0,46.0,13.0,0.0
102,248.0,0.0,7.0,0.0,45.0,9.0,0.0
103,224.0,0.0,6.0,0.0,45.0,7.0,0.0
104,224.0,2.0,7.0,0.0,49.0,4.0,1.0
105,217.0,1.0,7.0,0.0,45.0,6.0,0.0
106,226.0,1.0,9.0,0.0,45.0,6.0,0.0
107,225.0,1.0,9.0,0.0,43.0,7.0,0.0
108,231.0,1.0,7.0,0.0,42.0,7.0,0.0
109,229.0,1.0,5.0,0.0,40.0,8.0,0.0
110,226.0,1.0,2.0,0.0,39.0,8.0,0.0
111,225.0,0.0,5.0,0.0,38.0,8.0,0.0
112,219.0,0.0,4.0,0.0,34.0,8.0,0.0
113,223.0,0.0,4.0,0.0,30.0,7.0,0.0
114,222.0,0.0,3.0,0.0,29.0,7.0,0.0
115,229.0,0.0,2.0,0.0,27.0,7.0,0.0
116,225.0,1.0,3.0,0.0,24.0,6.0,1.0
117,220.0,1.0,4.0,0.0,21.0,8.0,1.0
118,218.0,0.0,5.0,0.0,21.0,7.0,0.0
119,213.0,1.0,5.0,0.0,21.0,8.0,1.0
120,204.0,1.0,3.0,0.0,19.0,8.0,0.0
121,210.0,1.0,2.0,0.0,20.0,9.0,0.0
122,231.0,3.0,1.0,0.0,19.0,8.0,0.0
123,233.0,3.0,1.0,0.0,17.0,9.0,0.0
124,219.0,3.0,0.0,0.0,16.0,9.0,0.0
125,232.0,4.0,0.0,0.0,14.0,10.0,0.0
126,254.0,3.0,1.0,0.0,12.0,10.0,0.0
127,244.0,2.0,1.0,0.0,11.0,8.0,0.0
128,236.0,1.0,0.0,0.0,10.0,7.0,0.0
129,250.0,1.0,0.0,0.0,10.0,7.0,0.0
130,248.0,0.0,1.0,0.0,9.0,7.0,0.0
131,244.0,0.0,1.0,0.0,9.0,7.0,0.0
132,239.0,0.0,1.0,0.0,9.0,7.0,0.0
133,226.0,0.0,1.0,0.0,7.0,8.0,0.0
134,227.0,0.0,0.0,0.0,6.0,9.0,0.0
135,237.0,0.0,0.0,0.0,6.0,9.0,0.0
136,249.0,0.0,0.0,0.0,6.0,8.0,0.0
