,transmission_time,incubation_time,infection_time,disease_state
0,9472,95,9072,State.EXPOSED
1,9696,232,9472,State.EXPOSED
2,9769,159,9472,State.EXPOSED
3,9865,63,9472,State.EXPOSED
4,9889,39,9472,State.EXPOSED
5,10585,226,10368,State.EXPOSED
6,10586,225,10368,State.EXPOSED
7,10661,426,10586,State.EXPOSED
8,10753,541,10585,State.EXPOSED
9,10776,518,10585,State.EXPOSED
10,10976,318,10585,State.EXPOSED
11,11080,214,10585,State.EXPOSED
12,11178,63,10944,State.EXPOSED
13,11225,947,11080,State.EXPOSED
14,11297,770,11225,State.EXPOSED
15,11410,698,11178,State.EXPOSED
16,11458,650,11178,State.EXPOSED
17,11498,569,11225,State.EXPOSED
18,11560,507,11225,State.EXPOSED
19,11584,483,11225,State.EXPOSED
20,11648,419,11225,State.EXPOSED
21,12048,516,11808,State.EXPOSED
22,12328,323,12048,State.EXPOSED
23,12384,467,12096,State.EXPOSED
24,12392,459,12096,State.EXPOSED
25,12426,425,12096,State.EXPOSED
26,12444,1039,12096,State.EXPOSED
27,12459,1024,12096,State.EXPOSED
28,12528,123,12048,State.EXPOSED
29,12584,1179,12392,State.EXPOSED
30,12681,562,12528,State.EXPOSED
31,12795,109,12459,State.EXPOSED
32,12817,87,12459,State.EXPOSED
33,12848,915,12392,State.EXPOSED
34,12856,702,12672,State.EXPOSED
35,12865,39,12459,State.EXPOSED
36,12867,37,12459,State.EXPOSED
37,12912,256,12384,State.EXPOSED
38,12960,0,12434,State.SEVERE
39,13114,,12960,State.ASYMPTOMATIC
40,13205,85,12960,State.EXPOSED
41,13266,,12960,State.ASYMPTOMATIC
42,13281,,12960,State.ASYMPTOMATIC
43,13336,919,13248,State.EXPOSED
44,13362,1330,13114,State.EXPOSED
45,13434,0,13215,State.SEVERE
46,13492,975,13205,State.EXPOSED
47,13538,929,13205,State.EXPOSED
48,13542,,13266,State.ASYMPTOMATIC
49,13584,343,13281,State.EXPOSED
50,13609,898,13336,State.EXPOSED
51,13680,247,13281,State.EXPOSED
52,13690,777,13205,State.EXPOSED
53,13704,223,13281,State.EXPOSED
54,13714,753,13205,State.EXPOSED
55,13728,779,13336,State.EXPOSED
56,13758,694,13392,State.EXPOSED
57,13776,731,13336,State.EXPOSED
58,13831,636,13205,State.EXPOSED
59,14040,0,13270,State.MILD
60,14193,327,13824,State.EXPOSED
61,15486,623,15264,State.EXPOSED
62,15489,620,15264,State.EXPOSED
63,15544,719,15264,State.EXPOSED
64,15553,948,15489,State.EXPOSED
65,15651,850,15489,State.EXPOSED
66,15721,156,15553,State.EXPOSED
67,15749,752,15489,State.EXPOSED
68,15870,7,15553,State.EXPOSED
69,15872,5,15553,State.EXPOSED
70,15938,388,15651,State.EXPOSED
71,15953,548,15489,State.EXPOSED
72,16056,670,15938,State.EXPOSED
73,16328,584,15872,State.EXPOSED
74,17168,0,16803,State.MILD
75,22816,436,22608,State.EXPOSED
76,22960,554,22816,State.EXPOSED
77,23104,522,22960,State.EXPOSED
78,23112,514,22960,State.EXPOSED
