,Num_contacts,num_contacts_traced,num_positive_contacts,num_sympt_patients_traced,contact_tracing_time,tracing_round,hcw_id,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,hcws_put_on_ppe,patients_put_in_isolation
0,16,3,0,1,93.83333333333333,1,158,88.0,23,2,5,10
1,17,6,0,1,116.50694444444444,1,107,108.84722222222223,14,0,5,3
2,15,7,0,1,89.04861111111111,1,100,83.0,23,0,4,10
3,8,5,0,1,117.13888888888889,1,70,108.0,7,0,5,0
4,16,9,0,0,127.27777777777777,1,114,120.35416666666667,4,0,6,7
5,20,12,1,1,152.76388888888889,1,103,149.6875,26,0,5,14
6,17,9,0,0,108.96527777777777,1,94,101.58333333333333,21,0,4,9
7,19,8,1,0,76.05555555555556,1,64,72.0,12,0,3,13
8,18,8,1,0,73.26388888888889,1,77,71.0,25,0,6,9
9,11,2,0,9,100.96527777777777,1,99,96.0,1,0,2,0
10,12,4,1,1,216.02083333333334,1,33,211.68055555555554,26,1,4,2
11,15,8,0,1,85.52083333333333,1,36,79.36805555555556,24,0,4,9
12,16,7,0,0,96.42361111111111,1,61,90.50694444444444,10,0,7,7
13,17,5,0,0,145.41666666666666,1,8,136.0,12,0,4,7
14,13,7,0,0,88.93055555555556,1,185,85.0,22,0,5,7
15,17,8,0,0,93.61111111111111,1,22,88.77083333333333,17,1,6,7
16,15,8,3,1,214.66666666666666,1,126,212.01388888888889,26,0,6,7
17,7,4,0,3,92.23611111111111,1,45,87.0,5,0,4,0
18,17,11,0,0,92.125,1,10,86.0,13,0,5,9
19,19,8,1,0,92.75,1,123,90.0,25,1,6,9
20,13,6,0,7,93.375,1,68,88.84027777777777,2,0,6,0
21,9,5,0,4,88.59027777777777,1,101,82.0,3,0,5,0
22,21,10,0,0,68.40972222222223,1,6,65.52083333333333,20,0,6,9
23,6,4,0,1,128.09027777777777,1,39,124.0,3,0,3,0
24,19,7,1,0,185.58333333333334,1,174,181.17361111111111,23,1,1,6
25,19,8,1,1,92.25694444444444,1,97,88.85416666666667,11,1,6,5
26,18,7,2,0,87.71527777777777,1,193,80.0,10,2,5,9
27,1,1,0,0,142.77777777777777,1,188,140.0,7,0,1,0
28,12,5,0,1,130.54166666666666,1,118,128.0625,5,0,1,5
29,16,6,0,0,83.46527777777777,1,60,81.20138888888889,13,1,5,6
30,18,8,0,0,83.69444444444444,1,117,79.0,18,0,5,10
31,7,3,0,4,87.43055555555556,1,1334,79.11111111111111,3,0,3,0
32,5,5,1,0,76.99305555555556,1,1367,72.0,7,0,5,0
33,16,9,1,1,93.52777777777777,1,1237,90.91666666666667,11,0,5,3
34,3,3,0,0,123.1875,1,1294,120.0,6,0,3,0
35,10,2,0,8,94.84722222222223,1,1568,87.0,4,0,2,0
36,16,8,2,0,84.65277777777777,1,1178,82.0,23,0,6,7
37,10,7,0,3,98.61805555555556,1,1351,94.3125,6,0,5,0
38,2,2,0,0,219.02083333333334,1,1148,212.28472222222223,5,0,2,0
39,17,11,1,0,110.05555555555556,1,1653,106.97916666666667,21,1,6,8
40,20,6,0,1,219.10416666666666,1,1409,214.10416666666666,26,1,4,7
41,3,3,0,0,75.29166666666667,1,1037,72.0,1,0,3,0
42,12,3,1,0,113.3125,1,1110,109.0625,21,2,3,4
43,17,10,1,0,111.125,1,1676,102.83333333333333,15,0,6,8
44,9,3,0,6,92.94444444444444,1,1467,87.0,4,0,3,0
45,15,9,0,0,122.3125,1,1420,114.625,28,0,6,6
46,16,9,0,0,82.15972222222223,1,1659,79.45833333333333,24,1,6,1
47,13,5,0,3,81.40972222222223,1,1461,75.84027777777777,18,0,3,0
48,15,3,0,0,88.77777777777777,1,1093,81.875,10,2,3,2
49,16,9,1,0,111.02777777777777,1,1124,102.88888888888889,21,1,3,7
50,18,7,1,1,129.91666666666666,1,1583,125.29166666666667,20,1,3,8
51,8,2,0,6,96.13888888888889,1,1679,89.0,1,0,2,0
52,7,7,0,0,179.61805555555554,1,1752,170.0,8,0,7,0
53,15,4,0,1,114.56944444444444,1,1434,109.06944444444444,14,1,2,6
54,5,2,0,0,104.93055555555556,1,1663,96.0,9,0,2,2
55,20,5,0,3,80.88194444444444,1,1457,73.17361111111111,18,2,2,4
56,18,9,1,1,91.97222222222223,1,1594,87.0,27,0,6,10
57,17,7,0,1,111.55555555555556,1,1587,109.0,12,0,5,11
58,8,1,0,0,83.0,1,1372,79.0,9,0,1,3
59,16,8,0,0,143.88194444444446,1,1150,138.33333333333334,12,0,5,9
60,18,6,0,1,115.23611111111111,1,1453,111.04166666666667,14,0,4,6
61,17,7,0,0,92.45138888888889,1,1668,90.27777777777777,18,1,2,2
62,5,4,0,1,80.50694444444444,1,1330,76.0,3,0,4,0
63,7,4,0,3,86.45833333333333,1,1489,81.56944444444444,8,0,4,0
64,20,8,0,0,153.54861111111111,1,1360,144.0,24,0,5,11
65,16,8,0,0,214.89583333333334,1,1140,203.0,17,0,4,9
66,17,5,0,0,109.84027777777777,1,1050,107.0,14,1,4,8
67,2,2,0,0,80.40972222222223,1,1647,75.0625,1,0,2,0
68,18,9,2,0,185.30555555555554,1,1395,179.11805555555554,23,1,10,7
69,18,6,0,0,91.25,1,1619,88.0,19,0,5,7
