,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,1.0
68,1.0
69,2.0
70,3.0
71,3.0
72,4.0
73,5.0
74,6.0
75,8.0
76,9.0
77,9.0
78,9.0
79,10.0
80,13.0
81,13.0
82,14.0
83,14.0
84,13.0
85,17.0
86,19.0
87,18.0
88,19.0
89,20.0
90,29.0
91,33.0
92,32.0
93,32.0
94,33.0
95,33.0
96,34.0
97,26.0
98,25.0
99,28.0
100,24.0
101,23.0
102,20.0
103,16.0
104,17.0
105,16.0
106,12.0
107,15.0
108,13.0
109,17.0
110,19.0
111,19.0
112,21.0
113,20.0
114,18.0
115,20.0
116,17.0
117,16.0
118,13.0
119,10.0
120,12.0
121,12.0
122,10.0
123,9.0
124,8.0
125,11.0
126,11.0
127,8.0
128,10.0
129,11.0
130,11.0
131,12.0
132,10.0
133,10.0
134,10.0
135,7.0
136,9.0
137,9.0
138,7.0
139,6.0
140,5.0
141,5.0
142,5.0
143,1.0
144,1.0
145,2.0
146,3.0
147,3.0
148,2.0
149,2.0
150,2.0
151,2.0
152,1.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,2.0
190,2.0
191,2.0
192,2.0
193,2.0
194,2.0
195,2.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,2.0
216,2.0
217,2.0
218,2.0
219,3.0
220,4.0
221,4.0
222,2.0
223,3.0
224,5.0
225,5.0
226,5.0
227,6.0
228,6.0
229,6.0
230,5.0
231,3.0
232,3.0
233,2.0
234,0.0
235,1.0
236,1.0
237,2.0
238,3.0
