,transmission_time,incubation_time,infection_time,disease_state
0,10125,,9792,State.ASYMPTOMATIC
1,10248,,9792,State.ASYMPTOMATIC
2,10613,266,10224,State.EXPOSED
3,10785,94,10224,State.EXPOSED
4,11249,384,10944,State.EXPOSED
5,11331,,10800,State.ASYMPTOMATIC
6,11344,,10800,State.ASYMPTOMATIC
7,11425,446,11249,State.EXPOSED
8,11472,1257,11376,State.EXPOSED
9,11499,317,11232,State.EXPOSED
10,11513,,11331,State.ASYMPTOMATIC
11,11514,568,11376,State.EXPOSED
12,11561,310,11249,State.EXPOSED
13,11576,279,11425,State.EXPOSED
14,11585,286,11249,State.EXPOSED
15,11592,766,11232,State.EXPOSED
16,11600,1164,11576,State.EXPOSED
17,11628,454,11376,State.EXPOSED
18,11631,1098,11376,State.EXPOSED
19,11648,1081,11376,State.EXPOSED
20,11672,579,11344,State.EXPOSED
21,11760,969,11376,State.EXPOSED
22,11760,491,11344,State.EXPOSED
23,11760,269,11499,State.EXPOSED
24,11764,439,11514,State.EXPOSED
25,11768,256,11232,State.EXPOSED
26,11768,314,11376,State.EXPOSED
27,11785,297,11376,State.EXPOSED
28,11793,582,11520,State.EXPOSED
29,11793,,11472,State.ASYMPTOMATIC
30,11811,985,11513,State.EXPOSED
31,11824,427,11344,State.EXPOSED
32,11832,419,11344,State.EXPOSED
33,11849,947,11513,State.EXPOSED
34,11856,375,11592,State.EXPOSED
35,11880,371,11344,State.EXPOSED
36,11881,915,11513,State.EXPOSED
37,11907,468,11520,State.EXPOSED
38,11929,446,11520,State.EXPOSED
39,11936,439,11520,State.EXPOSED
40,11954,625,11648,State.EXPOSED
41,11961,431,11793,State.EXPOSED
42,11969,486,11793,State.EXPOSED
43,11985,418,11808,State.EXPOSED
44,11992,870,11768,State.EXPOSED
45,11993,586,11648,State.EXPOSED
46,11994,702,11672,State.EXPOSED
47,12027,176,11514,State.EXPOSED
48,12057,318,11520,State.EXPOSED
49,12077,558,11907,State.EXPOSED
50,12081,1130,11760,State.EXPOSED
51,12099,432,11954,State.EXPOSED
52,12113,290,11664,State.EXPOSED
53,12146,433,11648,State.EXPOSED
54,12153,385,11880,State.EXPOSED
55,12160,536,11672,State.EXPOSED
56,12176,489,11929,State.EXPOSED
57,12193,220,11952,State.EXPOSED
58,12208,303,11936,State.EXPOSED
59,12218,237,11793,State.EXPOSED
60,12221,414,11907,State.EXPOSED
61,12225,188,11952,State.EXPOSED
62,12240,163,11808,State.EXPOSED
63,12252,279,11954,State.EXPOSED
64,12256,147,11664,State.EXPOSED
65,12268,263,11954,State.EXPOSED
66,12279,,11961,State.ASYMPTOMATIC
67,12312,220,11952,State.EXPOSED
68,12345,16,12057,State.EXPOSED
69,12360,1,12057,State.EXPOSED
70,12402,653,12096,State.EXPOSED
71,12457,,11952,State.ASYMPTOMATIC
72,12464,,12160,State.MILD
73,12465,,11881,State.ASYMPTOMATIC
74,12477,55,11952,State.EXPOSED
75,12627,529,12384,State.EXPOSED
76,12649,335,12218,State.EXPOSED
77,12669,447,12528,State.EXPOSED
78,12688,,12096,State.ASYMPTOMATIC
79,12711,268,12402,State.EXPOSED
80,12729,764,12240,State.EXPOSED
81,12770,820,12672,State.EXPOSED
82,12816,577,12688,State.EXPOSED
83,12834,0,12332,State.SEVERE
84,12841,,12528,State.ASYMPTOMATIC
85,12848,878,12649,State.EXPOSED
86,12920,806,12649,State.EXPOSED
87,12962,539,12711,State.EXPOSED
88,12972,330,12816,State.EXPOSED
89,12985,352,12770,State.EXPOSED
90,13059,,12960,State.ASYMPTOMATIC
91,13059,531,12672,State.EXPOSED
92,13082,255,12770,State.EXPOSED
93,13104,397,12711,State.EXPOSED
94,13112,190,12816,State.EXPOSED
95,13128,,12960,State.ASYMPTOMATIC
96,13161,,12960,State.ASYMPTOMATIC
97,13169,168,12770,State.EXPOSED
98,13226,,12960,State.ASYMPTOMATIC
99,13282,20,12816,State.EXPOSED
100,13296,760,13112,State.EXPOSED
101,13344,111,13059,State.EXPOSED
102,13384,,13104,State.ASYMPTOMATIC
103,13393,731,13226,State.EXPOSED
104,13465,1069,13161,State.EXPOSED
105,13496,251,13128,State.EXPOSED
106,13515,609,13226,State.EXPOSED
107,13553,571,13226,State.EXPOSED
108,13564,560,13226,State.EXPOSED
109,13587,947,13161,State.EXPOSED
110,13600,269,13392,State.EXPOSED
111,13613,921,13161,State.EXPOSED
112,13635,557,13384,State.EXPOSED
113,13664,231,13392,State.EXPOSED
114,13672,520,13384,State.EXPOSED
115,13673,451,13226,State.EXPOSED
116,13688,734,13344,State.EXPOSED
117,13786,950,13613,State.EXPOSED
118,13808,263,13465,State.EXPOSED
119,13824,1046,13553,State.EXPOSED
120,13825,299,13226,State.EXPOSED
121,13826,551,13393,State.EXPOSED
122,13832,457,13600,State.EXPOSED
123,13840,915,13688,State.EXPOSED
124,13849,528,13393,State.EXPOSED
125,13865,512,13393,State.EXPOSED
126,13874,580,13826,State.EXPOSED
127,13888,0,13249,State.MILD
128,13936,191,13496,State.EXPOSED
129,13941,186,13496,State.EXPOSED
130,13948,788,13613,State.EXPOSED
131,13969,348,13832,State.EXPOSED
132,13976,1042,13840,State.EXPOSED
133,13984,886,13553,State.EXPOSED
134,13992,878,13553,State.EXPOSED
135,14064,,13515,State.ASYMPTOMATIC
136,14137,,13976,State.ASYMPTOMATIC
137,14144,611,13688,State.EXPOSED
138,14152,603,13688,State.EXPOSED
139,14233,165,14005,State.EXPOSED
140,14240,615,13968,State.EXPOSED
141,14256,409,13968,State.EXPOSED
142,14262,607,13969,State.EXPOSED
143,14274,391,13968,State.EXPOSED
144,14281,384,13968,State.EXPOSED
145,14304,,13968,State.ASYMPTOMATIC
146,14346,621,13968,State.EXPOSED
147,14353,738,14281,State.EXPOSED
148,14368,487,13968,State.EXPOSED
149,14380,711,14281,State.EXPOSED
150,14382,473,13968,State.EXPOSED
151,14424,,13976,State.ASYMPTOMATIC
152,14425,1402,14256,State.EXPOSED
153,14454,176,13874,State.EXPOSED
154,14490,251,14274,State.EXPOSED
155,14548,1279,14256,State.EXPOSED
156,14550,1277,14256,State.EXPOSED
157,14608,,14424,State.ASYMPTOMATIC
158,14625,481,14346,State.EXPOSED
159,14679,,14382,State.ASYMPTOMATIC
160,14866,1120,14544,State.EXPOSED
161,15016,970,14544,State.EXPOSED
162,15138,578,14866,State.EXPOSED
163,15216,633,14976,State.EXPOSED
164,15384,306,15222,State.EXPOSED
165,15492,141,14976,State.EXPOSED
166,15672,0,15246,State.MILD
167,15933,,15696,State.ASYMPTOMATIC
168,15987,488,15696,State.EXPOSED
169,16011,464,15696,State.EXPOSED
170,16073,782,15933,State.EXPOSED
171,16208,647,15933,State.EXPOSED
172,16360,489,15984,State.EXPOSED
173,16372,341,16073,State.EXPOSED
174,16394,,15987,State.MILD
175,16496,,15984,State.ASYMPTOMATIC
176,16609,496,16272,State.EXPOSED
177,16640,,16360,State.ASYMPTOMATIC
178,16658,,16208,State.ASYMPTOMATIC
179,16729,,16360,State.ASYMPTOMATIC
180,16744,702,16609,State.EXPOSED
181,16809,841,16496,State.EXPOSED
182,16849,,16744,State.ASYMPTOMATIC
183,16857,793,16496,State.EXPOSED
184,16864,1180,16729,State.EXPOSED
185,17082,,16640,State.ASYMPTOMATIC
186,17121,,16809,State.ASYMPTOMATIC
187,17133,420,16704,State.EXPOSED
188,17153,955,16857,State.EXPOSED
189,17168,876,16729,State.EXPOSED
190,17200,450,16496,State.EXPOSED
191,17264,,16809,State.ASYMPTOMATIC
192,17304,593,17136,State.EXPOSED
193,17376,243,17133,State.EXPOSED
194,17528,91,17133,State.EXPOSED
195,17600,970,17304,State.EXPOSED
196,17608,108,17200,State.EXPOSED
197,17609,107,17200,State.EXPOSED
198,17632,938,17304,State.EXPOSED
199,17657,874,17609,State.EXPOSED
200,17680,890,17304,State.EXPOSED
201,17754,143,17136,State.EXPOSED
202,17880,427,17600,State.EXPOSED
203,17984,244,17680,State.EXPOSED
204,18072,146,17632,State.EXPOSED
205,18073,145,17632,State.EXPOSED
206,31705,172,31104,State.EXPOSED
207,31712,165,31104,State.EXPOSED
208,32848,,32688,State.ASYMPTOMATIC
209,33129,,32688,State.ASYMPTOMATIC
