,transmission_time,incubation_time,infection_time,disease_state
0,8712,0,8127,State.SEVERE
1,10074,253,9504,State.EXPOSED
2,10656,265,10224,State.EXPOSED
3,10664,257,10224,State.EXPOSED
4,10848,439,10656,State.EXPOSED
5,11088,794,10848,State.EXPOSED
6,11106,530,10944,State.EXPOSED
7,11151,136,10656,State.EXPOSED
8,11265,555,11088,State.EXPOSED
9,11454,,11106,State.ASYMPTOMATIC
10,11490,552,11088,State.EXPOSED
11,11525,,11265,State.ASYMPTOMATIC
12,11537,283,11088,State.EXPOSED
13,11548,,10944,State.ASYMPTOMATIC
14,11621,421,11088,State.EXPOSED
15,11716,499,11621,State.EXPOSED
16,11765,96,11548,State.EXPOSED
17,11786,270,11537,State.EXPOSED
18,11809,11,11088,State.EXPOSED
19,11835,380,11621,State.EXPOSED
20,11883,,11520,State.ASYMPTOMATIC
21,11949,,11664,State.ASYMPTOMATIC
22,11952,397,11808,State.EXPOSED
23,11969,246,11621,State.EXPOSED
24,11979,504,11520,State.EXPOSED
25,12021,440,11716,State.EXPOSED
26,12026,435,11716,State.EXPOSED
27,12027,831,11808,State.EXPOSED
28,12033,182,11621,State.EXPOSED
29,12042,419,11716,State.EXPOSED
30,12096,418,11952,State.EXPOSED
31,12120,,12096,State.ASYMPTOMATIC
32,12176,842,12042,State.EXPOSED
33,12216,309,11786,State.EXPOSED
34,12219,190,11883,State.EXPOSED
35,12241,781,12033,State.EXPOSED
36,12292,117,11883,State.EXPOSED
37,12294,670,11952,State.EXPOSED
38,12338,231,12026,State.EXPOSED
39,12344,691,12216,State.EXPOSED
40,12392,630,12033,State.EXPOSED
41,12401,168,12026,State.EXPOSED
42,12410,1470,12241,State.EXPOSED
43,12414,1047,11835,State.EXPOSED
44,12416,606,12033,State.EXPOSED
45,12425,597,12033,State.EXPOSED
46,12459,791,12292,State.EXPOSED
47,12462,502,11952,State.EXPOSED
48,12465,1415,12241,State.EXPOSED
49,12473,297,12240,State.EXPOSED
50,12481,50,12219,State.EXPOSED
51,12516,461,12240,State.EXPOSED
52,12552,712,12392,State.EXPOSED
53,12648,195,12416,State.EXPOSED
54,12664,600,12392,State.EXPOSED
55,12678,520,12410,State.EXPOSED
56,12688,92,12240,State.EXPOSED
57,12712,68,12240,State.EXPOSED
58,12720,530,12292,State.EXPOSED
59,12720,544,12392,State.EXPOSED
60,12736,,12672,State.ASYMPTOMATIC
61,12760,10,12240,State.EXPOSED
62,12872,401,12465,State.EXPOSED
63,12913,38,12648,State.EXPOSED
64,12916,302,12672,State.EXPOSED
65,12920,,12664,State.ASYMPTOMATIC
66,12930,1094,12516,State.EXPOSED
67,12968,369,12736,State.EXPOSED
68,13011,1341,12672,State.EXPOSED
69,13040,,12760,State.MILD
70,13041,183,12916,State.EXPOSED
71,13056,162,12672,State.EXPOSED
72,13153,427,12720,State.EXPOSED
73,13161,419,12720,State.EXPOSED
74,13256,0,12726,State.MILD
75,13256,380,12920,State.EXPOSED
76,13408,27,12968,State.EXPOSED
77,13474,647,13248,State.EXPOSED
78,13474,169,12960,State.EXPOSED
79,13481,162,12960,State.EXPOSED
80,13498,883,13474,State.EXPOSED
81,13512,,13248,State.ASYMPTOMATIC
82,13561,507,13536,State.EXPOSED
83,13563,,13153,State.ASYMPTOMATIC
84,13577,601,13481,State.EXPOSED
85,13728,0,13394,State.MILD
86,13761,553,13536,State.EXPOSED
87,13812,,13498,State.ASYMPTOMATIC
88,13832,0,13394,State.MILD
89,13842,312,13577,State.EXPOSED
90,13882,,13474,State.ASYMPTOMATIC
91,13932,1207,13680,State.EXPOSED
92,13953,,13812,State.ASYMPTOMATIC
93,13984,84,13536,State.EXPOSED
94,14018,296,13536,State.EXPOSED
95,14032,367,13761,State.EXPOSED
96,14049,265,13536,State.EXPOSED
97,14115,116,13680,State.EXPOSED
98,14187,1479,13953,State.EXPOSED
99,14322,,14187,State.ASYMPTOMATIC
100,14344,,14187,State.ASYMPTOMATIC
101,14367,136,13932,State.EXPOSED
102,14689,311,14322,State.EXPOSED
103,14704,,14544,State.ASYMPTOMATIC
104,14737,263,14322,State.EXPOSED
105,14825,175,14322,State.EXPOSED
106,14988,,14544,State.ASYMPTOMATIC
107,15207,529,14737,State.EXPOSED
108,15424,330,14976,State.EXPOSED
109,15440,314,14976,State.EXPOSED
110,15501,196,15207,State.EXPOSED
111,15544,411,15440,State.EXPOSED
112,15579,235,15120,State.EXPOSED
113,15629,68,15207,State.EXPOSED
114,15645,52,15207,State.EXPOSED
115,15696,118,15120,State.EXPOSED
116,15944,615,15696,State.EXPOSED
117,15981,302,15544,State.EXPOSED
118,16072,663,15840,State.EXPOSED
119,16122,592,15944,State.EXPOSED
120,16144,407,15984,State.EXPOSED
121,16176,559,15840,State.EXPOSED
122,16233,481,15944,State.EXPOSED
123,16240,474,15944,State.EXPOSED
124,16258,456,15944,State.EXPOSED
125,16289,262,15984,State.EXPOSED
126,16356,1262,16176,State.EXPOSED
127,16361,785,16233,State.EXPOSED
128,16377,451,15984,State.EXPOSED
129,16394,752,16233,State.EXPOSED
130,16404,424,15984,State.EXPOSED
131,16408,420,15984,State.EXPOSED
132,16416,135,15984,State.EXPOSED
133,16425,126,15984,State.EXPOSED
134,16448,103,15984,State.EXPOSED
135,16474,608,16258,State.EXPOSED
136,16491,1145,16122,State.EXPOSED
137,16506,882,16128,State.EXPOSED
138,16513,1123,16122,State.EXPOSED
139,16528,612,16072,State.EXPOSED
140,16544,1074,16176,State.EXPOSED
141,16557,271,15984,State.EXPOSED
142,16560,580,16072,State.EXPOSED
143,16584,445,16408,State.EXPOSED
144,16602,1034,16122,State.EXPOSED
145,16635,,16491,State.ASYMPTOMATIC
146,16680,,16404,State.ASYMPTOMATIC
147,16704,436,16072,State.EXPOSED
148,16708,374,16258,State.EXPOSED
149,16722,497,16602,State.EXPOSED
150,16768,,16506,State.ASYMPTOMATIC
151,16850,520,16560,State.EXPOSED
152,16865,505,16560,State.EXPOSED
153,16866,,16704,State.ASYMPTOMATIC
154,16881,338,16602,State.EXPOSED
155,16980,465,16704,State.EXPOSED
156,17004,366,16560,State.EXPOSED
157,17008,362,16560,State.EXPOSED
158,17009,210,16602,State.EXPOSED
159,17114,600,16865,State.EXPOSED
160,17257,657,16980,State.EXPOSED
161,17282,,17004,State.ASYMPTOMATIC
162,17352,439,17008,State.EXPOSED
163,17405,509,16980,State.EXPOSED
164,17705,426,17282,State.EXPOSED
165,18352,298,18288,State.EXPOSED
166,18648,2,18288,State.EXPOSED
167,19200,559,19008,State.EXPOSED
