,Num_contacts,num_contacts_traced,num_positive_contacts,num_sympt_patients_traced,contact_tracing_time,tracing_round,hcw_id,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,hcws_put_on_ppe,patients_put_in_isolation
0,26,16,0,0,69.5625,1,1565,65.0,21,0,0,0
1,32,17,2,0,69.69444444444444,1,1107,67.11805555555556,19,0,0,0
2,33,19,2,0,71.26388888888889,1,1256,62.0,19,0,0,0
3,14,7,0,0,72.42361111111111,1,1543,66.0,9,0,0,0
4,40,27,3,0,72.86111111111111,1,1542,65.72916666666667,12,0,0,0
5,44,26,1,0,72.86805555555556,1,48,70.0,12,1,0,0
6,26,17,1,0,72.86805555555556,1,138,70.79166666666667,19,1,0,0
7,36,18,2,0,72.97222222222223,1,170,67.0,24,0,0,0
8,27,14,1,0,74.99305555555556,1,1588,71.0,20,0,0,0
9,40,26,0,0,75.0,1,1364,73.0,28,1,0,0
10,26,17,0,1,75.04861111111111,1,178,74.0,4,0,0,0
11,26,16,2,0,75.1875,1,1227,70.27777777777777,5,0,0,0
12,7,7,0,0,75.53472222222223,1,1048,74.0,1,0,0,0
13,31,20,2,0,75.76388888888889,1,184,73.4375,11,0,0,0
14,26,15,3,0,76.39583333333333,1,1382,71.55555555555556,22,0,0,0
15,7,7,1,0,76.67361111111111,1,1089,73.45833333333333,2,0,0,0
16,8,8,0,0,76.68055555555556,1,79,71.0,2,1,0,0
17,13,12,0,1,77.02777777777777,1,1539,74.0,8,0,0,0
18,26,18,3,1,77.14583333333333,1,1064,74.72222222222223,21,0,0,0
19,10,10,0,1,77.34722222222223,1,190,73.0,3,0,0,0
20,13,13,0,0,78.34027777777777,1,1660,75.0,9,0,0,0
21,41,23,3,0,78.9375,1,1222,74.0,12,0,0,0
22,32,19,1,0,78.9375,1,1258,78.0,20,1,0,0
23,29,18,1,0,79.64583333333333,1,1540,76.0,10,0,0,0
24,25,16,5,0,81.13194444444444,1,1513,76.0,17,0,0,0
25,11,11,0,1,81.15972222222223,1,1458,76.0,4,0,0,0
26,29,12,1,0,81.20833333333333,1,1564,77.0,28,0,0,0
27,31,18,4,0,83.18055555555556,1,1129,79.45138888888889,17,0,0,0
28,29,18,3,0,83.1875,1,37,79.35416666666667,17,2,0,0
29,32,20,3,0,83.1875,1,105,78.51388888888889,17,2,0,0
30,32,20,3,1,83.36805555555556,1,1274,81.0,8,0,0,0
31,40,25,1,0,83.41666666666667,1,39,76.0,22,0,0,0
32,31,18,0,0,83.42361111111111,1,1360,74.0,13,0,0,0
33,40,25,3,1,83.61805555555556,1,1576,81.11805555555556,17,0,0,0
34,31,19,3,1,83.61805555555556,1,1485,81.0625,17,1,0,0
35,12,11,2,4,84.09722222222223,1,199,79.0,6,0,0,0
36,11,11,0,1,84.13194444444444,1,22,80.0,1,0,0,0
37,24,15,2,0,84.61111111111111,1,1491,79.0,9,0,0,0
38,20,14,0,0,84.61111111111111,1,1186,82.47916666666667,9,1,0,0
39,21,12,1,0,84.61111111111111,1,1096,83.54166666666667,9,2,0,0
40,30,20,2,1,84.85416666666667,1,1421,81.5625,10,0,0,0
41,16,14,1,4,85.25,1,50,81.875,6,0,0,0
42,32,19,4,0,85.52777777777777,1,1502,78.10416666666667,14,0,0,0
43,29,18,1,0,85.96527777777777,1,118,82.04166666666667,12,0,0,0
44,28,15,0,0,87.0625,1,110,85.0,25,0,0,0
45,14,14,0,4,87.13194444444444,1,1423,83.0,2,0,0,0
46,17,16,0,4,87.48611111111111,1,1510,83.0,1,0,0,0
47,10,9,4,0,87.68055555555556,1,1674,82.70833333333333,5,0,0,0
48,13,11,2,1,87.6875,1,1478,80.0,5,1,0,0
49,12,12,0,3,87.72916666666667,1,1666,86.0,1,0,0,0
50,11,11,0,5,88.0625,1,1662,83.0,3,0,0,0
51,34,20,1,5,88.15972222222223,1,1315,83.44444444444444,7,0,0,0
52,34,21,1,1,88.60416666666667,1,1562,84.55555555555556,9,0,0,0
53,32,21,4,0,89.31944444444444,1,154,84.16666666666667,10,0,0,0
54,34,21,2,0,89.31944444444444,1,1529,82.06944444444444,10,2,0,0
55,34,21,2,0,89.31944444444444,1,1371,88.0,10,2,0,0
56,31,19,5,1,90.67361111111111,1,1615,85.67361111111111,15,0,0,0
57,38,24,4,2,90.67361111111111,1,1066,85.84027777777777,8,1,0,0
58,30,21,1,1,90.70833333333333,1,197,84.0,11,0,0,0
59,39,20,1,0,91.125,1,1625,85.34027777777777,9,0,0,0
60,24,14,0,2,91.125,1,1135,88.0,9,1,0,0
61,12,12,0,7,91.80555555555556,1,62,89.0,2,0,0,0
62,1,1,0,0,91.85416666666667,1,1421,81.5625,26,0,0,0
63,21,18,1,4,92.71527777777777,1,1146,91.0,8,1,0,0
64,31,19,3,0,92.98611111111111,1,1232,83.0,24,0,0,0
65,30,17,2,0,92.98611111111111,1,1080,87.50694444444444,24,1,0,0
66,32,19,8,1,93.58333333333333,1,1162,89.22222222222223,15,0,0,0
67,46,24,7,1,93.58333333333333,1,1206,87.0,18,2,0,0
68,30,14,3,0,93.59027777777777,1,90,89.35416666666667,18,1,0,0
69,33,19,3,1,93.59027777777777,1,1338,89.22916666666667,9,2,0,0
70,18,15,1,5,93.6875,1,1022,90.0,7,0,0,0
71,19,17,0,6,93.69444444444444,1,206,92.22916666666667,7,1,0,0
72,32,21,3,0,93.69444444444444,1,1068,89.0,21,0,0,0
73,26,20,2,1,93.70138888888889,1,1431,93.10416666666667,21,1,0,0
74,28,20,5,0,94.13888888888889,1,61,92.0,24,0,0,0
75,29,21,4,0,94.13888888888889,1,1101,92.16666666666667,24,1,0,0
76,47,27,7,0,94.36805555555556,1,1503,86.50694444444444,12,0,0,0
77,32,20,6,0,94.36805555555556,1,1522,89.625,15,3,0,0
78,46,30,5,0,94.375,1,167,90.34027777777777,28,3,0,0
79,38,26,6,0,94.375,1,7,93.35416666666667,15,1,0,0
80,29,19,5,0,94.375,1,115,92.41666666666667,15,3,0,0
81,33,32,1,8,94.375,1,1414,93.16666666666667,12,1,0,0
82,37,25,2,3,94.45833333333333,1,1469,89.5,13,0,0,0
83,29,16,1,0,94.46527777777777,1,1376,92.41666666666667,13,1,0,0
84,29,18,3,2,94.5625,1,1091,90.0,25,0,0,0
85,33,17,2,0,94.56944444444444,1,111,93.04166666666667,25,2,0,0
86,30,15,1,0,94.56944444444444,1,155,92.125,25,2,0,0
87,44,26,2,0,94.56944444444444,1,1673,91.0,25,1,0,0
88,29,17,4,0,94.65277777777777,1,56,88.0,23,0,0,0
89,27,14,2,0,94.65277777777777,1,1497,91.66666666666667,23,1,0,0
90,22,15,2,3,95.0,1,87,93.0,5,0,0,0
91,28,21,5,0,95.97222222222223,1,1718,92.66666666666667,15,0,0,0
92,43,29,5,0,96.375,1,1450,94.50694444444444,20,0,0,0
93,36,17,3,0,96.38194444444444,1,63,91.0,25,2,0,0
94,30,15,2,0,96.38194444444444,1,1263,93.34722222222223,25,2,0,0
95,32,19,6,0,97.49305555555556,1,1302,93.11111111111111,18,0,0,0
96,34,26,6,4,97.49305555555556,1,1007,96.17361111111111,18,1,0,0
97,27,22,3,4,97.49305555555556,1,1596,95.77777777777777,8,1,0,0
98,31,19,3,4,97.5,1,1026,95.0,1,2,0,0
99,40,23,3,5,97.5,1,1272,95.10416666666667,4,2,0,0
100,22,19,2,8,97.875,1,1142,95.0625,7,0,0,0
101,21,17,1,7,97.875,1,1359,94.0,7,2,0,0
102,1,1,0,0,98.125,1,1625,85.34027777777777,9,0,0,0
103,22,17,1,4,98.25694444444444,1,1640,93.0,5,0,0,0
104,29,18,3,1,98.5,1,83,92.0,23,0,0,0
105,28,14,4,0,98.76388888888889,1,3,96.0,16,0,0,0
106,27,14,1,0,98.76388888888889,1,1354,96.77777777777777,16,2,0,0
107,39,21,3,2,98.76388888888889,1,1433,93.16666666666667,16,2,0,0
108,41,29,10,0,99.13194444444444,1,1254,92.0,28,0,0,0
109,27,16,5,0,99.13888888888889,1,171,94.54166666666667,28,2,0,0
110,30,17,5,0,99.13888888888889,1,1006,98.5,28,2,0,0
111,1,1,0,0,100.58333333333333,1,90,89.35416666666667,18,0,0,0
112,27,17,0,0,101.38194444444444,1,196,96.0,21,0,0,0
113,1,1,0,0,101.45833333333333,1,1376,92.41666666666667,13,0,0,0
114,24,21,0,12,101.66666666666667,1,1063,94.0,2,0,0,0
115,33,19,2,0,102.49305555555556,1,121,99.0,13,0,0,0
116,41,23,0,7,102.49305555555556,1,1115,94.22916666666667,2,1,0,0
117,27,20,1,4,103.125,1,1248,97.0,7,0,0,0
118,36,19,0,1,103.13194444444444,1,28,95.4375,11,1,0,0
119,25,13,3,0,103.14583333333333,1,151,98.84722222222223,26,0,0,0
120,1,1,0,0,103.375,1,1263,93.34722222222223,25,0,0,0
121,26,12,2,0,103.5625,1,1479,94.55555555555556,28,0,0,0
122,31,17,2,0,104.04166666666667,1,1081,98.29166666666667,28,0,0,0
123,26,15,6,2,104.20833333333333,1,1106,98.11111111111111,8,0,0,0
124,29,19,6,0,104.20833333333333,1,1075,100.04166666666667,26,2,0,0
125,30,20,6,0,104.20833333333333,1,1268,102.125,26,2,0,0
126,23,17,0,5,104.31944444444444,1,1124,91.11111111111111,8,0,0,0
127,27,20,10,1,105.46527777777777,1,1197,101.44444444444444,26,0,0,0
128,38,26,6,1,105.46527777777777,1,1259,101.64583333333333,19,3,0,0
129,29,21,7,1,105.46527777777777,1,1243,101.38888888888889,26,3,0,0
130,37,27,6,1,105.46527777777777,1,1641,105.33333333333333,26,3,0,0
131,26,16,0,3,105.96527777777777,1,1584,96.38888888888889,6,0,0,0
132,19,16,2,3,106.875,1,1123,96.61111111111111,7,0,0,0
133,21,15,3,2,107.38194444444444,1,1241,98.0,7,0,0,0
134,27,23,1,2,107.38888888888889,1,1226,104.0,27,1,0,0
135,22,16,2,1,107.68055555555556,1,1180,102.0,5,0,0,0
136,18,14,0,6,107.83333333333333,1,1713,104.0,3,0,0,0
137,28,15,3,1,110.13194444444444,1,1475,103.94444444444444,26,0,0,0
138,29,20,1,0,110.33333333333333,1,1229,105.11111111111111,19,0,0,0
139,16,15,0,8,110.86805555555556,1,1198,101.0,2,0,0,0
140,27,14,4,0,110.91666666666667,1,1671,108.10416666666667,21,0,0,0
141,42,27,2,0,110.92361111111111,1,53,107.02083333333333,28,2,0,0
142,26,14,2,0,110.92361111111111,1,1736,110.25,21,2,0,0
143,28,14,3,0,113.47916666666667,1,42,111.54166666666667,21,0,0,0
144,28,15,1,0,113.47916666666667,1,1762,108.5625,21,2,0,0
145,29,15,1,0,113.47916666666667,1,1120,110.45833333333333,21,2,0,0
146,12,9,0,1,114.66666666666667,1,1585,106.61111111111111,8,0,0,0
147,23,19,1,4,118.17361111111111,1,1794,114.0,3,0,0,0
148,15,12,0,6,118.17361111111111,1,1323,112.0,3,1,0,0
149,47,34,0,4,118.8125,1,1132,113.0,22,0,0,0
150,14,13,0,4,120.95138888888889,1,38,107.33333333333333,1,0,0,0
151,20,19,0,3,122.93055555555556,1,1675,112.0,2,0,0,0
152,41,24,1,0,124.00694444444444,1,1429,117.0,19,0,0,0
153,19,14,1,0,124.0625,1,1484,119.0,9,0,0,0
154,25,16,0,0,124.06944444444444,1,124,122.5625,9,1,0,0
155,27,17,1,0,125.31944444444444,1,249,121.0,19,0,0,0
156,31,28,0,1,126.42361111111111,1,1388,119.0,15,0,0,0
157,23,15,0,0,129.43055555555554,1,1679,126.0,2,0,0,0
158,28,17,1,0,129.47222222222223,1,1085,125.0,18,0,0,0
159,6,6,1,0,135.74305555555554,1,1514,131.0,8,0,0,0
160,12,12,0,0,135.74305555555554,1,1780,133.20833333333334,8,1,0,0
161,17,16,1,1,141.63888888888889,1,1040,140.04166666666666,1,0,0,0
162,13,12,0,0,141.64583333333334,1,1004,137.0,1,1,0,0
163,41,26,0,0,148.09722222222223,1,1225,143.0,13,0,0,0
164,32,17,0,0,156.53472222222223,1,1169,151.0,19,0,0,0
165,26,15,0,0,164.24305555555554,1,1804,155.55555555555554,3,0,0,0
166,16,9,0,0,177.70138888888889,1,1636,174.0,5,0,0,0
167,33,22,0,0,212.64583333333334,1,17,204.0,4,0,0,0
168,25,14,0,0,214.625,1,1397,210.0,2,0,0,0
169,28,17,4,1,219.86111111111111,1,1667,217.28472222222223,10,0,0,0
170,44,27,3,1,219.86805555555554,1,156,217.04166666666666,4,1,0,0
171,35,21,1,0,220.18055555555554,1,166,213.0,24,0,0,0
172,34,22,0,0,225.02777777777777,1,1742,216.84722222222223,10,0,0,0
173,30,16,1,0,235.8125,1,85,229.0,16,0,0,0
