,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,2
69,2
70,2
71,4
72,5
73,5
74,6
75,6
76,7
77,11
78,12
79,13
80,14
81,15
82,17
83,19
84,21
85,21
86,21
87,24
88,27
89,27
90,31
91,33
92,34
93,34
94,36
95,37
96,40
97,40
98,40
99,42
100,44
101,45
102,51
103,54
104,55
105,57
106,58
107,60
108,62
109,66
110,69
111,70
112,71
113,73
114,78
115,79
116,80
117,82
118,84
119,84
120,86
121,86
122,87
123,87
124,87
125,88
126,88
127,88
128,88
129,89
130,89
131,89
132,89
133,89
134,89
135,89
136,89
137,89
138,89
139,89
140,89
141,89
142,89
143,90
144,90
145,90
146,90
147,90
148,90
149,90
150,90
151,90
152,90
153,90
154,90
155,90
156,90
157,90
158,90
159,90
160,90
161,90
162,90
163,90
164,90
165,90
166,90
167,90
168,90
169,90
170,90
171,90
172,90
173,90
174,90
175,90
176,90
177,90
178,90
179,90
180,90
181,90
182,90
183,90
184,90
185,90
186,91
187,91
188,92
189,92
190,92
191,92
192,92
193,92
194,92
195,92
196,92
197,92
198,92
199,92
200,92
201,92
202,92
203,92
204,92
205,92
206,92
207,92
208,92
209,92
210,92
211,92
212,92
213,92
214,92
215,92
216,93
217,93
218,93
219,93
220,93
221,94
222,94
223,94
224,94
225,94
226,95
227,95
228,96
229,97
230,97
231,97
232,99
233,99
234,101
235,101
236,102
237,102
238,102
