,transmission_time,incubation_time,infection_time,disease_state
0,9804,200,9360,State.EXPOSED
1,10233,128,9936,State.EXPOSED
2,10737,29,10512,State.EXPOSED
3,10852,848,10656,State.EXPOSED
4,10875,825,10656,State.EXPOSED
5,10890,810,10656,State.EXPOSED
6,10896,772,10737,State.EXPOSED
7,10998,1353,10800,State.EXPOSED
8,11010,1341,10800,State.EXPOSED
9,11049,46,10512,State.EXPOSED
10,11153,280,10852,State.EXPOSED
11,11160,283,10944,State.EXPOSED
12,11164,41,10712,State.EXPOSED
13,11209,224,10852,State.EXPOSED
14,11217,216,10852,State.EXPOSED
15,11259,516,11088,State.EXPOSED
16,11259,174,10852,State.EXPOSED
17,11281,152,10852,State.EXPOSED
18,11337,96,10852,State.EXPOSED
19,11385,509,11232,State.EXPOSED
20,11393,501,11232,State.EXPOSED
21,11400,375,11088,State.EXPOSED
22,11451,215,11153,State.EXPOSED
23,11499,120,10944,State.EXPOSED
24,11536,691,11232,State.EXPOSED
25,11544,433,11259,State.EXPOSED
26,11568,0,11064,State.SEVERE
27,11585,81,11153,State.EXPOSED
28,11664,269,11259,State.EXPOSED
29,11694,283,11259,State.EXPOSED
30,11704,523,11232,State.EXPOSED
31,11705,189,11232,State.EXPOSED
32,11713,570,11393,State.EXPOSED
33,11745,538,11393,State.EXPOSED
34,11760,463,11337,State.EXPOSED
35,11787,436,11337,State.EXPOSED
36,11800,362,11536,State.EXPOSED
37,11840,456,11585,State.EXPOSED
38,11889,605,11704,State.EXPOSED
39,12024,252,11664,State.EXPOSED
40,12024,647,11889,State.EXPOSED
41,12209,,11800,State.ASYMPTOMATIC
42,12296,375,11889,State.EXPOSED
43,12351,,12096,State.ASYMPTOMATIC
44,12384,0,11683,State.SEVERE
45,12471,689,12024,State.EXPOSED
46,12512,577,12096,State.EXPOSED
47,12600,704,12296,State.EXPOSED
48,12624,680,12296,State.EXPOSED
49,12696,899,12384,State.EXPOSED
50,12776,659,12528,State.EXPOSED
51,12798,63,12384,State.EXPOSED
52,12833,,12384,State.ASYMPTOMATIC
53,13080,,12624,State.ASYMPTOMATIC
54,13144,,12816,State.ASYMPTOMATIC
55,13311,457,13104,State.EXPOSED
56,13360,,13144,State.ASYMPTOMATIC
57,13385,54,12833,State.EXPOSED
58,13420,19,12833,State.EXPOSED
59,13505,597,13080,State.EXPOSED
60,13530,254,12960,State.EXPOSED
61,13584,0,13194,State.MILD
62,13584,,13104,State.ASYMPTOMATIC
63,13664,0,13194,State.MILD
64,13683,674,13420,State.EXPOSED
65,13704,152,13248,State.EXPOSED
66,13733,,13505,State.ASYMPTOMATIC
67,13761,329,13392,State.EXPOSED
68,13767,323,13392,State.EXPOSED
69,13770,,13505,State.ASYMPTOMATIC
70,13851,,13248,State.ASYMPTOMATIC
71,13853,,13505,State.ASYMPTOMATIC
72,13878,212,13392,State.EXPOSED
73,13888,590,13584,State.EXPOSED
74,13896,582,13584,State.EXPOSED
75,13947,,13664,State.ASYMPTOMATIC
76,13952,526,13584,State.EXPOSED
77,13962,739,13824,State.EXPOSED
78,13995,157,13536,State.EXPOSED
79,14009,143,13536,State.EXPOSED
80,14016,462,13584,State.EXPOSED
81,14088,390,13584,State.EXPOSED
82,14112,508,13680,State.EXPOSED
83,14184,655,13896,State.EXPOSED
84,14188,651,13896,State.EXPOSED
85,14216,776,13824,State.EXPOSED
86,14226,1028,13952,State.EXPOSED
87,14232,760,13824,State.EXPOSED
88,14403,573,14216,State.EXPOSED
89,14409,295,13824,State.EXPOSED
90,14481,495,14216,State.EXPOSED
91,14616,504,14481,State.EXPOSED
92,14689,741,14409,State.EXPOSED
93,14784,,14544,State.ASYMPTOMATIC
94,14812,,14544,State.ASYMPTOMATIC
95,14834,262,14544,State.EXPOSED
96,14844,101,14403,State.EXPOSED
97,14859,237,14544,State.EXPOSED
98,14882,374,14616,State.EXPOSED
99,14908,348,14616,State.EXPOSED
100,14944,532,14784,State.EXPOSED
101,14979,117,14544,State.EXPOSED
102,15017,460,14834,State.EXPOSED
103,15099,,14944,State.ASYMPTOMATIC
104,15111,351,14688,State.EXPOSED
105,15246,,14944,State.ASYMPTOMATIC
106,15600,452,15408,State.EXPOSED
107,15678,453,15264,State.EXPOSED
108,15792,1301,15678,State.EXPOSED
109,15897,155,15408,State.EXPOSED
110,15912,140,15408,State.EXPOSED
111,15920,132,15408,State.EXPOSED
112,15937,1156,15678,State.EXPOSED
113,16074,801,15840,State.EXPOSED
114,16208,667,15840,State.EXPOSED
115,16209,666,15840,State.EXPOSED
116,16287,418,16128,State.EXPOSED
117,16303,86,16074,State.EXPOSED
118,16456,438,16287,State.EXPOSED
119,16569,898,16416,State.EXPOSED
120,16584,1411,16303,State.EXPOSED
121,16589,1406,16303,State.EXPOSED
122,16704,148,16456,State.EXPOSED
123,16713,573,16584,State.EXPOSED
124,16794,,16589,State.ASYMPTOMATIC
125,16809,1012,16713,State.EXPOSED
126,16849,437,16584,State.EXPOSED
127,16849,618,16416,State.EXPOSED
128,16890,396,16584,State.EXPOSED
129,17032,435,16416,State.EXPOSED
130,17034,252,16584,State.EXPOSED
131,17040,781,16713,State.EXPOSED
132,17096,,16809,State.ASYMPTOMATIC
133,17816,,17424,State.ASYMPTOMATIC
134,17928,622,17568,State.EXPOSED
135,18000,1091,17816,State.EXPOSED
136,18072,478,17568,State.EXPOSED
137,18076,474,17568,State.EXPOSED
138,18077,473,17568,State.EXPOSED
139,18104,414,17856,State.EXPOSED
140,18144,268,17856,State.EXPOSED
141,18176,915,17816,State.EXPOSED
142,18208,409,17928,State.EXPOSED
143,18224,595,18072,State.EXPOSED
144,18240,377,17928,State.EXPOSED
145,18240,552,18104,State.EXPOSED
146,18264,528,18104,State.EXPOSED
147,18314,478,18104,State.EXPOSED
148,18324,88,17856,State.EXPOSED
149,18376,416,18104,State.EXPOSED
150,18401,255,18076,State.EXPOSED
151,18408,209,17928,State.EXPOSED
152,18448,,18000,State.ASYMPTOMATIC
153,18603,681,18176,State.EXPOSED
154,18648,523,18376,State.EXPOSED
155,18711,466,18240,State.EXPOSED
156,18813,358,18376,State.EXPOSED
157,18968,,18648,State.ASYMPTOMATIC
158,19144,,18648,State.ASYMPTOMATIC
159,19552,416,18968,State.EXPOSED
160,22192,484,22032,State.EXPOSED
161,22488,188,22032,State.EXPOSED
162,24465,816,24336,State.EXPOSED
163,25589,,25056,State.ASYMPTOMATIC
164,25690,367,25589,State.EXPOSED
165,27282,674,26928,State.EXPOSED
166,30736,261,30384,State.EXPOSED
167,30866,131,30384,State.EXPOSED
168,30891,712,30672,State.EXPOSED
169,31009,594,30672,State.EXPOSED
170,31025,578,30672,State.EXPOSED
171,31088,421,30816,State.EXPOSED
172,31182,421,30672,State.EXPOSED
173,31185,418,30672,State.EXPOSED
174,31232,277,30816,State.EXPOSED
175,31329,0,30812,State.SEVERE
176,31344,165,30816,State.EXPOSED
177,31440,,31232,State.ASYMPTOMATIC
178,31600,682,31440,State.EXPOSED
179,31736,424,31600,State.EXPOSED
180,32024,,31736,State.ASYMPTOMATIC
181,32256,1529,32024,State.EXPOSED
182,32553,736,32256,State.EXPOSED
183,32706,583,32256,State.EXPOSED
184,32712,577,32256,State.EXPOSED
185,32849,440,32256,State.EXPOSED
186,33123,406,32553,State.EXPOSED
187,33128,701,32849,State.EXPOSED
188,34305,456,33840,State.EXPOSED
