,peak transmission
0,14.0
1,13.0
2,15.0
3,16.0
4,14.0
5,12.0
6,13.0
7,14.0
8,14.0
9,17.0
10,10.0
11,13.0
12,21.0
13,15.0
14,10.0
15,16.0
16,15.0
17,13.0
18,9.0
19,9.0
20,11.0
21,14.0
22,14.0
23,13.0
24,13.0
25,13.0
26,11.0
27,18.0
28,12.0
29,14.0
30,12.0
31,12.0
32,12.0
33,14.0
34,16.0
35,17.0
36,23.0
37,17.0
38,15.0
39,14.0
40,13.0
41,13.0
42,11.0
43,13.0
44,12.0
45,12.0
46,18.0
47,10.0
48,12.0
49,12.0
50,12.0
51,14.0
52,12.0
53,10.0
54,14.0
55,13.0
56,16.0
57,12.0
58,13.0
59,13.0
60,18.0
61,13.0
62,10.0
63,12.0
64,16.0
65,15.0
66,15.0
67,15.0
68,15.0
69,11.0
70,8.0
71,14.0
72,17.0
73,11.0
74,15.0
75,15.0
76,9.0
77,15.0
78,9.0
79,13.0
80,13.0
81,10.0
82,14.0
83,13.0
84,14.0
85,14.0
86,14.0
87,16.0
88,15.0
89,11.0
90,11.0
91,15.0
92,14.0
93,11.0
94,12.0
95,15.0
96,10.0
97,12.0
98,20.0
99,10.0
