,transmission_time,incubation_time,infection_time,disease_state
0,10058,457,9792,State.EXPOSED
1,10059,456,9792,State.EXPOSED
2,10145,318,10059,State.EXPOSED
3,10233,230,10059,State.EXPOSED
4,10280,673,10145,State.EXPOSED
5,10385,835,10280,State.EXPOSED
6,10552,59,10233,State.EXPOSED
7,10590,363,10145,State.EXPOSED
8,10664,776,10385,State.EXPOSED
9,10721,232,10145,State.EXPOSED
10,10730,511,10512,State.EXPOSED
11,10749,492,10512,State.EXPOSED
12,10754,466,10280,State.EXPOSED
13,10865,766,10721,State.EXPOSED
14,11013,65,10590,State.EXPOSED
15,11018,60,10590,State.EXPOSED
16,11025,,10800,State.ASYMPTOMATIC
17,11043,236,10754,State.EXPOSED
18,11058,512,10800,State.EXPOSED
19,11081,489,10800,State.EXPOSED
20,11139,561,10944,State.EXPOSED
21,11162,481,10865,State.EXPOSED
22,11185,94,10754,State.EXPOSED
23,11322,779,11139,State.EXPOSED
24,11361,404,11058,State.EXPOSED
25,11368,1116,11018,State.EXPOSED
26,11424,424,11013,State.EXPOSED
27,11425,624,11162,State.EXPOSED
28,11429,560,11088,State.EXPOSED
29,11432,669,11139,State.EXPOSED
30,11481,757,11232,State.EXPOSED
31,11512,972,11018,State.EXPOSED
32,11520,112,11185,State.EXPOSED
33,11536,96,11185,State.EXPOSED
34,11578,518,11425,State.EXPOSED
35,11585,516,11139,State.EXPOSED
36,11601,500,11139,State.EXPOSED
37,11608,876,11018,State.EXPOSED
38,11637,931,11368,State.EXPOSED
39,11666,366,11361,State.EXPOSED
40,11745,351,11425,State.EXPOSED
41,11770,262,11361,State.EXPOSED
42,11825,,11376,State.ASYMPTOMATIC
43,11849,,11536,State.ASYMPTOMATIC
44,11859,638,11608,State.EXPOSED
45,11864,881,11664,State.EXPOSED
46,11865,935,11601,State.EXPOSED
47,11880,957,11808,State.EXPOSED
48,11881,215,11425,State.EXPOSED
49,11881,616,11608,State.EXPOSED
50,11928,310,11232,State.EXPOSED
51,11929,399,11770,State.EXPOSED
52,11955,662,11881,State.EXPOSED
53,11964,613,11664,State.EXPOSED
54,11978,822,11601,State.EXPOSED
55,11985,47,11361,State.EXPOSED
56,12003,29,11361,State.EXPOSED
57,12008,88,11425,State.EXPOSED
58,12009,0,11459,State.SEVERE
59,12033,734,11881,State.EXPOSED
60,12041,704,11664,State.EXPOSED
61,12048,280,11770,State.EXPOSED
62,12054,559,11880,State.EXPOSED
63,12097,290,11929,State.EXPOSED
64,12114,0,11700,State.SEVERE
65,12120,364,11985,State.EXPOSED
66,12144,0,11562,State.MILD
67,12146,691,11808,State.EXPOSED
68,12162,280,11664,State.EXPOSED
69,12162,526,11865,State.EXPOSED
70,12171,595,11928,State.EXPOSED
71,12173,269,11664,State.EXPOSED
72,12176,579,12008,State.EXPOSED
73,12176,244,11859,State.EXPOSED
74,12184,504,11865,State.EXPOSED
75,12192,516,11952,State.EXPOSED
76,12216,302,11637,State.EXPOSED
77,12216,390,11864,State.EXPOSED
78,12217,491,11952,State.EXPOSED
79,12218,169,11929,State.EXPOSED
80,12225,388,11880,State.EXPOSED
81,12232,559,12192,State.EXPOSED
82,12240,337,11952,State.EXPOSED
83,12256,350,11864,State.EXPOSED
84,12257,619,11978,State.EXPOSED
85,12258,319,11952,State.EXPOSED
86,12268,530,12041,State.EXPOSED
87,12316,482,12041,State.EXPOSED
88,12327,934,12171,State.EXPOSED
89,12336,622,11849,State.EXPOSED
90,12337,695,12146,State.EXPOSED
91,12381,526,12216,State.EXPOSED
92,12385,,11955,State.ASYMPTOMATIC
93,12390,619,12096,State.EXPOSED
94,12400,206,11864,State.EXPOSED
95,12408,0,11765,State.MILD
96,12416,,11952,State.ASYMPTOMATIC
97,12417,,11952,State.ASYMPTOMATIC
98,12423,109,11952,State.EXPOSED
99,12438,868,12240,State.EXPOSED
100,12465,111,12162,State.EXPOSED
101,12471,217,11865,State.EXPOSED
102,12482,768,12218,State.EXPOSED
103,12488,303,12192,State.EXPOSED
104,12492,1309,12216,State.EXPOSED
105,12507,284,12192,State.EXPOSED
106,12512,279,12192,State.EXPOSED
107,12513,349,12240,State.EXPOSED
108,12528,,12003,State.ASYMPTOMATIC
109,12528,823,12257,State.EXPOSED
110,12530,737,12268,State.EXPOSED
111,12558,,12256,State.ASYMPTOMATIC
112,12601,281,12258,State.EXPOSED
113,12602,704,12240,State.EXPOSED
114,12609,404,12384,State.EXPOSED
115,12615,128,12240,State.EXPOSED
116,12625,,12337,State.ASYMPTOMATIC
117,12627,171,12041,State.EXPOSED
118,12657,645,12417,State.EXPOSED
119,12672,595,12268,State.EXPOSED
120,12687,1418,12528,State.EXPOSED
121,12704,588,12385,State.EXPOSED
122,12712,1393,12528,State.EXPOSED
123,12714,1183,12482,State.EXPOSED
124,12720,546,12438,State.EXPOSED
125,12722,,12316,State.ASYMPTOMATIC
126,12738,97,12425,State.EXPOSED
127,12744,517,12171,State.EXPOSED
128,12746,1151,12482,State.EXPOSED
129,12747,559,12240,State.EXPOSED
130,12772,478,12218,State.EXPOSED
131,12792,539,12602,State.EXPOSED
132,12794,475,12627,State.EXPOSED
133,12796,,12609,State.ASYMPTOMATIC
134,12810,0,12113,State.SEVERE
135,12816,1289,12528,State.EXPOSED
136,12817,229,12722,State.EXPOSED
137,12817,1288,12528,State.EXPOSED
138,12824,278,12672,State.EXPOSED
139,12846,1259,12528,State.EXPOSED
140,12849,430,12384,State.EXPOSED
141,12857,342,12794,State.EXPOSED
142,12857,,12609,State.ASYMPTOMATIC
143,12872,,12256,State.ASYMPTOMATIC
144,12880,133,12384,State.EXPOSED
145,12891,1132,12672,State.EXPOSED
146,12894,1129,12672,State.EXPOSED
147,12916,823,12772,State.EXPOSED
148,12921,694,12528,State.EXPOSED
149,12928,687,12528,State.EXPOSED
150,12936,,12316,State.ASYMPTOMATIC
151,12961,863,12704,State.EXPOSED
152,13013,36,12507,State.EXPOSED
153,13025,102,12738,State.EXPOSED
154,13032,,12816,State.ASYMPTOMATIC
155,13049,150,12794,State.EXPOSED
156,13064,77,12720,State.EXPOSED
157,13065,455,12792,State.EXPOSED
158,13066,204,12657,State.EXPOSED
159,13073,447,12792,State.EXPOSED
160,13081,263,12817,State.EXPOSED
161,13083,477,12817,State.EXPOSED
162,13086,167,12810,State.EXPOSED
163,13086,812,12528,State.EXPOSED
164,13105,583,12824,State.EXPOSED
165,13105,36,12720,State.EXPOSED
166,13110,,12857,State.ASYMPTOMATIC
167,13113,784,12482,State.EXPOSED
168,13128,36,12816,State.EXPOSED
169,13131,671,12849,State.EXPOSED
170,13144,187,12602,State.EXPOSED
171,13168,520,12824,State.EXPOSED
172,13169,570,12772,State.EXPOSED
173,13177,590,12746,State.EXPOSED
174,13200,320,12792,State.EXPOSED
175,13201,334,13081,State.EXPOSED
176,13201,319,12792,State.EXPOSED
177,13217,934,12921,State.EXPOSED
178,13224,,12720,State.MILD
179,13225,601,13065,State.EXPOSED
180,13226,309,13081,State.EXPOSED
181,13227,187,12960,State.EXPOSED
182,13227,53,12916,State.EXPOSED
183,13229,51,12916,State.EXPOSED
184,13236,178,12960,State.EXPOSED
185,13256,868,13113,State.EXPOSED
186,13266,29,12816,State.EXPOSED
187,13273,529,12849,State.EXPOSED
188,13281,14,12816,State.EXPOSED
189,13284,518,12849,State.EXPOSED
190,13289,,13049,State.ASYMPTOMATIC
191,13302,288,13104,State.EXPOSED
192,13337,253,13104,State.EXPOSED
193,13344,176,12792,State.EXPOSED
194,13360,466,13065,State.EXPOSED
195,13369,289,13032,State.EXPOSED
196,13376,619,12936,State.EXPOSED
197,13377,281,13032,State.EXPOSED
198,13377,774,12921,State.EXPOSED
199,13396,273,13083,State.EXPOSED
200,13400,225,13131,State.EXPOSED
201,13400,402,12849,State.EXPOSED
202,13401,257,13032,State.EXPOSED
203,13401,742,13281,State.EXPOSED
204,13418,,13273,State.ASYMPTOMATIC
205,13424,656,13110,State.EXPOSED
206,13425,233,13032,State.EXPOSED
207,13442,216,13032,State.EXPOSED
208,13443,522,13217,State.EXPOSED
209,13449,,12960,State.ASYMPTOMATIC
210,13488,,13344,State.ASYMPTOMATIC
211,13490,540,13086,State.EXPOSED
212,13490,164,13177,State.EXPOSED
213,13492,538,13086,State.EXPOSED
214,13504,174,13400,State.EXPOSED
215,13505,149,13177,State.EXPOSED
216,13506,157,13392,State.EXPOSED
217,13513,452,13217,State.EXPOSED
218,13536,411,13105,State.EXPOSED
219,13537,543,13110,State.EXPOSED
220,13557,730,13401,State.EXPOSED
221,13557,,13248,State.ASYMPTOMATIC
222,13561,,13049,State.ASYMPTOMATIC
223,13562,,13337,State.ASYMPTOMATIC
224,13563,724,13401,State.EXPOSED
225,13568,,13401,State.ASYMPTOMATIC
226,13568,512,13110,State.EXPOSED
227,13575,,13105,State.ASYMPTOMATIC
228,13577,710,13401,State.EXPOSED
229,13578,502,13110,State.EXPOSED
230,13587,70,13201,State.EXPOSED
231,13592,767,13360,State.EXPOSED
232,13601,215,13302,State.EXPOSED
233,13610,597,13443,State.EXPOSED
234,13611,843,13229,State.EXPOSED
235,13617,,13013,State.ASYMPTOMATIC
236,13624,735,13360,State.EXPOSED
237,13626,523,13449,State.EXPOSED
238,13647,474,13369,State.EXPOSED
239,13648,,13344,State.ASYMPTOMATIC
240,13649,472,13369,State.EXPOSED
241,13658,,13201,State.MILD
242,13685,,13248,State.ASYMPTOMATIC
243,13689,976,13418,State.EXPOSED
244,13705,375,13110,State.EXPOSED
245,13707,499,13396,State.EXPOSED
246,13710,496,13396,State.EXPOSED
247,13712,439,13536,State.EXPOSED
248,13713,903,13490,State.EXPOSED
249,13740,333,13442,State.EXPOSED
250,13744,407,13536,State.EXPOSED
251,13752,,13424,State.ASYMPTOMATIC
252,13755,444,13611,State.EXPOSED
253,13758,58,13302,State.EXPOSED
254,13761,178,13617,State.EXPOSED
255,13768,381,13449,State.EXPOSED
256,13776,238,13648,State.EXPOSED
257,13779,47,13065,State.EXPOSED
258,13800,,13504,State.ASYMPTOMATIC
259,13801,,13337,State.ASYMPTOMATIC
260,13802,557,13360,State.EXPOSED
261,13827,972,13689,State.EXPOSED
262,13872,279,13536,State.EXPOSED
263,13896,761,13649,State.EXPOSED
264,13897,473,13561,State.EXPOSED
265,13904,,13424,State.ASYMPTOMATIC
266,13905,105,13610,State.EXPOSED
267,13905,587,13592,State.EXPOSED
268,13913,579,13592,State.EXPOSED
269,13926,995,13658,State.EXPOSED
270,13937,73,13610,State.EXPOSED
271,13946,64,13610,State.EXPOSED
272,13947,457,13801,State.EXPOSED
273,13968,194,13425,State.EXPOSED
274,13969,,13712,State.ASYMPTOMATIC
275,13970,724,13578,State.EXPOSED
276,13985,356,13557,State.EXPOSED
277,13992,349,13557,State.EXPOSED
278,13998,421,13713,State.EXPOSED
279,14000,126,13800,State.EXPOSED
280,14009,361,13561,State.EXPOSED
281,14016,384,13626,State.EXPOSED
282,14019,473,13592,State.EXPOSED
283,14019,54,13442,State.EXPOSED
284,14019,494,13705,State.EXPOSED
285,14033,459,13592,State.EXPOSED
286,14034,261,13904,State.EXPOSED
287,14041,615,13707,State.EXPOSED
288,14041,671,13985,State.EXPOSED
289,14048,274,13624,State.EXPOSED
290,14056,645,13752,State.EXPOSED
291,14065,592,13649,State.EXPOSED
292,14068,116,13680,State.EXPOSED
293,14080,300,13513,State.EXPOSED
294,14082,322,13801,State.EXPOSED
295,14088,833,13658,State.EXPOSED
296,14096,,13647,State.ASYMPTOMATIC
297,14105,299,13801,State.EXPOSED
298,14153,721,13824,State.EXPOSED
299,14157,717,13824,State.EXPOSED
300,14163,237,13626,State.EXPOSED
301,14163,279,13758,State.EXPOSED
302,14169,410,14041,State.EXPOSED
303,14176,60,13744,State.EXPOSED
304,14177,413,13905,State.EXPOSED
305,14177,524,13752,State.EXPOSED
306,14188,0,13653,State.SEVERE
307,14192,1,13761,State.EXPOSED
308,14193,102,13904,State.EXPOSED
309,14209,,13946,State.ASYMPTOMATIC
310,14209,195,13801,State.EXPOSED
311,14211,302,13705,State.EXPOSED
