,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,2
72,3
73,5
74,5
75,6
76,6
77,8
78,9
79,10
80,12
81,15
82,17
83,22
84,27
85,30
86,36
87,41
88,44
89,47
90,51
91,57
92,59
93,63
94,66
95,71
96,74
97,76
98,79
99,85
100,87
101,89
102,91
103,93
104,96
105,102
106,104
107,106
108,107
109,111
110,112
111,115
112,119
113,119
114,124
115,127
116,129
117,131
118,136
119,139
120,140
121,142
122,144
123,146
124,146
125,147
126,148
127,148
128,152
129,152
130,152
131,152
132,152
133,153
134,154
135,156
136,156
137,157
138,157
139,157
140,157
141,159
142,159
143,159
144,159
145,159
146,161
147,161
148,162
149,162
150,162
151,163
152,164
153,165
154,165
155,165
156,165
157,166
158,167
159,167
160,168
161,168
162,168
163,169
164,170
165,170
166,170
167,170
168,171
169,172
170,173
171,173
172,173
173,173
174,173
175,173
176,173
177,173
178,173
179,173
180,174
181,174
182,175
183,178
184,178
185,179
186,179
187,179
188,180
189,181
190,184
191,184
192,184
193,184
194,185
195,185
196,186
197,186
198,186
199,186
200,187
201,187
202,187
203,187
204,187
205,187
206,187
207,187
208,187
209,187
210,187
211,187
212,187
213,187
214,187
215,187
216,187
217,187
218,187
219,187
220,187
221,187
222,187
223,187
224,187
225,187
226,187
227,187
228,187
229,187
230,187
231,187
232,187
233,187
234,187
235,187
236,187
237,187
238,187
