,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,2.0
69,2.0
70,3.0
71,5.0
72,9.0
73,13.0
74,16.0
75,28.0
76,30.0
77,38.0
78,42.0
79,49.0
80,52.0
81,61.0
82,69.0
83,71.0
84,70.0
85,70.0
86,70.0
87,76.0
88,77.0
89,72.0
90,76.0
91,70.0
92,72.0
93,72.0
94,74.0
95,79.0
96,79.0
97,83.0
98,87.0
99,82.0
100,85.0
101,85.0
102,86.0
103,86.0
104,88.0
105,88.0
106,89.0
107,88.0
108,80.0
109,76.0
110,72.0
111,63.0
112,57.0
113,46.0
114,42.0
115,38.0
116,35.0
117,29.0
118,25.0
119,21.0
120,16.0
121,19.0
122,20.0
123,20.0
124,19.0
125,14.0
126,15.0
127,17.0
128,17.0
129,19.0
130,19.0
131,17.0
132,16.0
133,11.0
134,11.0
135,12.0
136,10.0
137,11.0
138,10.0
139,8.0
140,8.0
141,6.0
142,6.0
143,4.0
144,4.0
145,3.0
146,3.0
147,2.0
148,2.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,2.0
225,2.0
226,3.0
227,4.0
228,5.0
229,5.0
230,5.0
231,6.0
232,6.0
233,5.0
234,6.0
235,6.0
236,5.0
237,6.0
238,7.0
