,occupied_bed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,3.0
73,3.0
74,2.0
75,2.0
76,2.0
77,7.0
78,8.0
79,12.0
80,16.0
81,20.0
82,21.0
83,27.0
84,30.0
85,35.0
86,41.0
87,50.0
88,56.0
89,64.0
90,64.0
91,73.0
92,79.0
93,83.0
94,91.0
95,92.0
96,87.0
97,83.0
98,82.0
99,82.0
100,84.0
101,83.0
102,81.0
103,73.0
104,74.0
105,76.0
106,76.0
107,80.0
108,81.0
109,76.0
110,73.0
111,67.0
112,66.0
113,59.0
114,56.0
115,53.0
116,52.0
117,45.0
118,45.0
119,43.0
120,43.0
121,42.0
122,41.0
123,40.0
124,38.0
125,36.0
126,37.0
127,34.0
128,30.0
129,29.0
130,28.0
131,28.0
132,25.0
133,25.0
134,24.0
135,25.0
136,26.0
137,26.0
138,23.0
139,21.0
140,20.0
141,19.0
142,16.0
143,16.0
144,15.0
145,15.0
146,13.0
147,13.0
148,13.0
149,13.0
150,12.0
151,11.0
152,11.0
153,9.0
154,9.0
155,9.0
156,9.0
157,9.0
158,9.0
159,8.0
160,7.0
161,7.0
162,7.0
163,7.0
164,7.0
165,6.0
166,6.0
167,5.0
168,4.0
169,4.0
170,4.0
171,4.0
172,4.0
173,4.0
174,5.0
175,5.0
176,4.0
177,4.0
178,5.0
179,5.0
180,6.0
181,6.0
182,6.0
183,5.0
184,5.0
185,5.0
186,5.0
187,5.0
188,6.0
189,6.0
190,7.0
191,8.0
192,10.0
193,10.0
194,9.0
195,9.0
196,9.0
197,9.0
198,9.0
199,8.0
200,7.0
201,7.0
202,6.0
203,6.0
204,7.0
205,7.0
206,7.0
207,7.0
208,7.0
209,6.0
210,6.0
211,6.0
212,6.0
213,6.0
214,5.0
215,5.0
216,6.0
217,6.0
218,6.0
219,6.0
220,6.0
221,6.0
222,6.0
223,6.0
224,6.0
225,6.0
226,5.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,3.0
233,3.0
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
