,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
1,213.0,0.0,0.0,0.0,0.0,0.0,0.0
2,212.0,0.0,0.0,0.0,0.0,0.0,0.0
3,211.0,0.0,0.0,0.0,0.0,0.0,0.0
4,213.0,0.0,0.0,0.0,0.0,0.0,0.0
5,214.0,0.0,0.0,0.0,0.0,0.0,0.0
6,217.0,0.0,0.0,0.0,0.0,0.0,0.0
7,218.0,0.0,0.0,0.0,0.0,0.0,0.0
8,221.0,0.0,0.0,0.0,0.0,0.0,0.0
9,227.0,0.0,0.0,0.0,0.0,0.0,0.0
10,239.0,0.0,0.0,0.0,0.0,0.0,0.0
11,243.0,0.0,0.0,0.0,0.0,0.0,0.0
12,242.0,0.0,0.0,0.0,0.0,0.0,0.0
13,240.0,0.0,0.0,0.0,0.0,0.0,0.0
14,237.0,0.0,0.0,0.0,0.0,0.0,0.0
15,239.0,0.0,0.0,0.0,0.0,0.0,0.0
16,229.0,0.0,0.0,0.0,0.0,0.0,0.0
17,230.0,0.0,0.0,0.0,0.0,0.0,0.0
18,229.0,0.0,0.0,0.0,0.0,0.0,0.0
19,238.0,0.0,0.0,0.0,0.0,0.0,0.0
20,221.0,0.0,0.0,0.0,0.0,0.0,0.0
21,221.0,0.0,0.0,0.0,0.0,0.0,0.0
22,237.0,0.0,0.0,0.0,0.0,0.0,0.0
23,225.0,0.0,0.0,0.0,0.0,0.0,0.0
24,215.0,0.0,0.0,0.0,0.0,0.0,0.0
25,214.0,0.0,0.0,0.0,0.0,0.0,0.0
26,214.0,0.0,0.0,0.0,0.0,0.0,0.0
27,230.0,0.0,0.0,0.0,0.0,0.0,0.0
28,221.0,0.0,0.0,0.0,0.0,0.0,0.0
29,220.0,0.0,0.0,0.0,0.0,0.0,0.0
30,217.0,0.0,0.0,0.0,0.0,0.0,0.0
31,236.0,0.0,0.0,0.0,0.0,0.0,0.0
32,228.0,0.0,0.0,0.0,0.0,0.0,0.0
33,221.0,0.0,0.0,0.0,0.0,0.0,0.0
34,220.0,0.0,0.0,0.0,0.0,0.0,0.0
35,216.0,0.0,0.0,0.0,0.0,0.0,0.0
36,201.0,0.0,0.0,0.0,0.0,0.0,0.0
37,209.0,0.0,0.0,0.0,0.0,0.0,0.0
38,207.0,0.0,0.0,0.0,0.0,0.0,0.0
39,196.0,0.0,0.0,0.0,0.0,0.0,0.0
40,212.0,0.0,0.0,0.0,0.0,0.0,0.0
41,216.0,0.0,0.0,0.0,0.0,0.0,0.0
42,227.0,0.0,0.0,0.0,0.0,0.0,0.0
43,225.0,0.0,0.0,0.0,0.0,0.0,0.0
44,211.0,0.0,0.0,0.0,0.0,0.0,0.0
45,225.0,0.0,0.0,0.0,0.0,0.0,0.0
46,228.0,0.0,0.0,0.0,0.0,0.0,0.0
47,237.0,0.0,0.0,0.0,0.0,0.0,0.0
48,221.0,0.0,0.0,0.0,0.0,0.0,0.0
49,237.0,0.0,0.0,0.0,0.0,0.0,0.0
50,235.0,0.0,0.0,0.0,0.0,0.0,0.0
51,244.0,0.0,0.0,0.0,0.0,0.0,0.0
52,247.0,0.0,0.0,0.0,0.0,0.0,0.0
53,229.0,0.0,0.0,0.0,0.0,0.0,0.0
54,228.0,0.0,0.0,0.0,0.0,0.0,0.0
55,224.0,0.0,0.0,0.0,0.0,0.0,0.0
56,218.0,0.0,0.0,0.0,0.0,0.0,0.0
57,219.0,0.0,0.0,0.0,0.0,0.0,0.0
58,214.0,0.0,0.0,0.0,0.0,0.0,0.0
59,226.0,0.0,0.0,0.0,1.0,0.0,0.0
60,223.0,0.0,0.0,0.0,1.0,0.0,0.0
61,231.0,0.0,0.0,0.0,1.0,0.0,0.0
62,250.0,0.0,0.0,0.0,1.0,0.0,0.0
63,257.0,0.0,0.0,0.0,1.0,0.0,0.0
64,247.0,0.0,0.0,0.0,1.0,0.0,0.0
65,231.0,1.0,0.0,0.0,1.0,0.0,0.0
66,223.0,0.0,1.0,0.0,1.0,0.0,0.0
67,234.0,0.0,1.0,0.0,1.0,0.0,0.0
68,231.0,1.0,0.0,0.0,1.0,0.0,0.0
69,234.0,1.0,0.0,0.0,1.0,0.0,0.0
70,242.0,1.0,0.0,0.0,1.0,0.0,0.0
71,252.0,1.0,0.0,0.0,1.0,0.0,0.0
72,258.0,1.0,0.0,0.0,1.0,0.0,0.0
73,250.0,2.0,0.0,0.0,1.0,0.0,0.0
74,243.0,2.0,1.0,0.0,1.0,0.0,0.0
75,231.0,5.0,1.0,0.0,1.0,0.0,0.0
76,220.0,5.0,2.0,0.0,1.0,0.0,0.0
77,232.0,4.0,5.0,0.0,3.0,0.0,0.0
78,237.0,6.0,5.0,0.0,4.0,0.0,0.0
79,240.0,5.0,7.0,0.0,8.0,0.0,1.0
80,229.0,7.0,8.0,0.0,9.0,0.0,2.0
81,206.0,9.0,6.0,0.0,11.0,0.0,3.0
82,221.0,9.0,7.0,0.0,13.0,0.0,3.0
83,229.0,8.0,10.0,0.0,15.0,0.0,3.0
84,222.0,10.0,12.0,0.0,18.0,0.0,4.0
85,203.0,13.0,15.0,0.0,21.0,0.0,5.0
86,204.0,12.0,17.0,0.0,23.0,2.0,5.0
87,202.0,19.0,20.0,0.0,28.0,1.0,7.0
88,203.0,22.0,22.0,0.0,30.0,1.0,8.0
89,212.0,21.0,24.0,0.0,35.0,4.0,9.0
90,207.0,20.0,23.0,0.0,36.0,4.0,9.0
91,200.0,18.0,23.0,0.0,40.0,5.0,7.0
92,204.0,23.0,22.0,0.0,46.0,9.0,6.0
93,192.0,21.0,25.0,0.0,46.0,11.0,6.0
94,196.0,23.0,26.0,0.0,51.0,10.0,7.0
95,193.0,16.0,26.0,0.0,52.0,9.0,6.0
96,193.0,17.0,26.0,0.0,50.0,8.0,6.0
97,195.0,11.0,20.0,0.0,51.0,9.0,3.0
98,210.0,9.0,15.0,0.0,50.0,11.0,4.0
99,221.0,12.0,19.0,0.0,53.0,9.0,6.0
100,232.0,18.0,18.0,0.0,52.0,10.0,6.0
101,229.0,16.0,17.0,0.0,52.0,11.0,5.0
102,221.0,14.0,16.0,0.0,51.0,6.0,5.0
103,212.0,15.0,13.0,0.0,50.0,8.0,5.0
104,232.0,12.0,16.0,0.0,54.0,8.0,5.0
105,229.0,13.0,16.0,0.0,52.0,7.0,5.0
106,221.0,11.0,16.0,0.0,52.0,8.0,8.0
107,202.0,9.0,19.0,0.0,50.0,8.0,9.0
108,208.0,14.0,16.0,0.0,48.0,9.0,5.0
109,227.0,12.0,14.0,0.0,47.0,8.0,7.0
110,227.0,7.0,9.0,0.0,45.0,10.0,6.0
111,227.0,6.0,9.0,0.0,45.0,9.0,6.0
112,239.0,4.0,6.0,0.0,42.0,7.0,5.0
113,252.0,5.0,5.0,0.0,39.0,6.0,4.0
114,238.0,8.0,5.0,0.0,38.0,4.0,5.0
115,243.0,9.0,5.0,0.0,35.0,5.0,6.0
116,249.0,6.0,7.0,0.0,30.0,7.0,4.0
117,262.0,3.0,9.0,0.0,28.0,9.0,3.0
118,256.0,3.0,8.0,0.0,27.0,12.0,4.0
119,249.0,2.0,6.0,0.0,27.0,13.0,3.0
120,249.0,2.0,4.0,0.0,26.0,12.0,3.0
121,251.0,2.0,4.0,0.0,24.0,15.0,2.0
122,241.0,0.0,3.0,0.0,21.0,16.0,1.0
123,227.0,1.0,3.0,0.0,19.0,17.0,1.0
124,233.0,1.0,1.0,0.0,19.0,16.0,1.0
125,239.0,1.0,0.0,0.0,17.0,17.0,1.0
126,235.0,0.0,0.0,0.0,17.0,15.0,1.0
127,247.0,0.0,0.0,0.0,15.0,15.0,0.0
128,235.0,0.0,0.0,0.0,15.0,13.0,0.0
129,250.0,0.0,0.0,0.0,14.0,13.0,0.0
130,251.0,0.0,0.0,0.0,13.0,12.0,0.0
131,238.0,0.0,0.0,0.0,12.0,11.0,0.0
132,226.0,0.0,0.0,0.0,11.0,12.0,0.0
133,227.0,0.0,0.0,0.0,10.0,12.0,0.0
134,225.0,0.0,0.0,0.0,9.0,13.0,0.0
135,238.0,0.0,0.0,0.0,9.0,11.0,0.0
136,220.0,0.0,0.0,0.0,9.0,9.0,0.0
137,216.0,0.0,0.0,0.0,10.0,8.0,0.0
138,217.0,0.0,0.0,0.0,10.0,8.0,0.0
139,213.0,0.0,0.0,0.0,9.0,9.0,0.0
140,232.0,0.0,0.0,0.0,9.0,9.0,0.0
141,232.0,0.0,0.0,0.0,8.0,7.0,0.0
142,233.0,0.0,0.0,0.0,7.0,7.0,0.0
143,238.0,0.0,0.0,0.0,6.0,8.0,0.0
144,243.0,0.0,1.0,0.0,6.0,8.0,0.0
145,245.0,0.0,0.0,0.0,5.0,9.0,0.0
146,246.0,0.0,0.0,0.0,5.0,9.0,0.0
147,222.0,0.0,0.0,0.0,5.0,9.0,0.0
148,235.0,0.0,1.0,0.0,4.0,8.0,0.0
149,248.0,0.0,1.0,0.0,3.0,8.0,0.0
150,245.0,0.0,1.0,0.0,3.0,7.0,0.0
151,244.0,0.0,1.0,0.0,3.0,7.0,0.0
152,240.0,0.0,1.0,0.0,2.0,7.0,0.0
153,249.0,0.0,1.0,0.0,2.0,7.0,0.0
154,247.0,0.0,0.0,0.0,2.0,7.0,0.0
155,237.0,0.0,1.0,0.0,2.0,7.0,0.0
156,248.0,0.0,1.0,0.0,2.0,7.0,0.0
157,237.0,0.0,1.0,0.0,2.0,7.0,0.0
158,228.0,0.0,1.0,0.0,2.0,6.0,0.0
159,240.0,0.0,0.0,0.0,2.0,6.0,0.0
160,236.0,0.0,0.0,0.0,1.0,7.0,0.0
161,246.0,0.0,0.0,0.0,1.0,7.0,0.0
162,242.0,0.0,0.0,0.0,1.0,7.0,0.0
163,238.0,0.0,0.0,0.0,1.0,7.0,0.0
164,257.0,0.0,0.0,0.0,1.0,6.0,0.0
165,258.0,0.0,0.0,0.0,1.0,6.0,0.0
166,258.0,0.0,0.0,0.0,1.0,6.0,0.0
167,248.0,0.0,0.0,0.0,0.0,5.0,0.0
168,234.0,0.0,0.0,0.0,0.0,5.0,0.0
169,244.0,0.0,0.0,0.0,0.0,5.0,0.0
170,263.0,0.0,0.0,0.0,0.0,5.0,0.0
171,257.0,0.0,0.0,0.0,0.0,4.0,0.0
172,271.0,0.0,0.0,0.0,0.0,4.0,0.0
173,264.0,0.0,0.0,0.0,0.0,4.0,0.0
174,263.0,0.0,0.0,0.0,0.0,4.0,0.0
175,258.0,0.0,0.0,0.0,0.0,4.0,0.0
176,262.0,0.0,0.0,0.0,0.0,4.0,0.0
177,254.0,0.0,0.0,0.0,0.0,4.0,0.0
178,254.0,0.0,0.0,0.0,0.0,4.0,0.0
179,261.0,0.0,0.0,0.0,0.0,4.0,0.0
180,270.0,0.0,0.0,0.0,0.0,4.0,0.0
181,262.0,0.0,0.0,0.0,0.0,4.0,0.0
182,254.0,0.0,0.0,0.0,0.0,4.0,0.0
183,245.0,0.0,0.0,0.0,0.0,4.0,0.0
184,230.0,0.0,0.0,0.0,0.0,4.0,0.0
185,241.0,0.0,0.0,0.0,0.0,4.0,0.0
186,242.0,0.0,0.0,0.0,0.0,4.0,0.0
187,249.0,0.0,0.0,0.0,0.0,4.0,0.0
188,250.0,0.0,0.0,0.0,0.0,4.0,0.0
189,243.0,0.0,0.0,0.0,0.0,4.0,0.0
190,248.0,0.0,0.0,0.0,0.0,4.0,0.0
191,255.0,0.0,0.0,0.0,0.0,4.0,0.0
192,246.0,0.0,0.0,0.0,0.0,4.0,0.0
193,239.0,0.0,0.0,0.0,0.0,4.0,0.0
194,254.0,0.0,0.0,0.0,0.0,4.0,0.0
195,262.0,0.0,0.0,0.0,0.0,4.0,0.0
196,250.0,0.0,0.0,0.0,0.0,4.0,0.0
197,244.0,0.0,0.0,0.0,0.0,4.0,0.0
198,245.0,0.0,0.0,0.0,0.0,4.0,0.0
199,239.0,0.0,0.0,0.0,0.0,4.0,0.0
200,239.0,0.0,0.0,0.0,0.0,4.0,0.0
201,239.0,0.0,0.0,0.0,0.0,4.0,0.0
202,234.0,0.0,0.0,0.0,0.0,4.0,0.0
203,234.0,0.0,0.0,0.0,0.0,4.0,0.0
204,226.0,0.0,1.0,0.0,0.0,4.0,0.0
205,226.0,0.0,1.0,0.0,0.0,4.0,0.0
206,236.0,0.0,1.0,0.0,0.0,4.0,0.0
207,241.0,2.0,1.0,0.0,0.0,4.0,0.0
208,250.0,2.0,1.0,0.0,0.0,4.0,0.0
209,251.0,1.0,1.0,0.0,0.0,4.0,1.0
210,258.0,0.0,1.0,0.0,0.0,4.0,1.0
211,258.0,0.0,1.0,0.0,0.0,4.0,1.0
212,249.0,0.0,0.0,0.0,0.0,5.0,1.0
213,229.0,0.0,0.0,0.0,0.0,4.0,1.0
214,226.0,1.0,0.0,0.0,0.0,4.0,1.0
215,218.0,1.0,0.0,0.0,0.0,4.0,1.0
216,235.0,0.0,0.0,0.0,1.0,4.0,1.0
217,234.0,0.0,0.0,0.0,1.0,4.0,0.0
218,237.0,0.0,0.0,0.0,1.0,4.0,0.0
219,251.0,0.0,0.0,0.0,1.0,4.0,0.0
220,252.0,0.0,0.0,0.0,1.0,4.0,0.0
221,247.0,0.0,0.0,0.0,1.0,4.0,0.0
222,245.0,0.0,0.0,0.0,1.0,4.0,0.0
223,257.0,0.0,0.0,0.0,1.0,4.0,0.0
224,256.0,0.0,0.0,0.0,1.0,4.0,0.0
225,253.0,0.0,0.0,0.0,1.0,4.0,0.0
226,249.0,0.0,0.0,0.0,0.0,4.0,0.0
227,220.0,0.0,0.0,0.0,0.0,4.0,0.0
228,238.0,0.0,0.0,0.0,0.0,4.0,0.0
229,228.0,1.0,0.0,0.0,0.0,4.0,0.0
230,228.0,1.0,0.0,0.0,0.0,4.0,0.0
231,238.0,2.0,0.0,0.0,0.0,3.0,0.0
232,240.0,0.0,1.0,0.0,0.0,3.0,0.0
233,227.0,0.0,1.0,0.0,0.0,3.0,0.0
234,218.0,0.0,1.0,0.0,0.0,3.0,0.0
235,222.0,0.0,1.0,0.0,0.0,3.0,0.0
236,225.0,0.0,1.0,0.0,0.0,3.0,0.0
237,213.0,0.0,1.0,0.0,0.0,3.0,0.0
238,221.0,0.0,1.0,0.0,0.0,3.0,0.0
