,transmission_time,incubation_time,infection_time,disease_state
0,9448,128,9216,State.EXPOSED
1,9561,15,9216,State.EXPOSED
2,9601,333,9448,State.EXPOSED
3,9624,310,9448,State.EXPOSED
4,9744,390,9601,State.EXPOSED
5,9793,141,9448,State.EXPOSED
6,9825,788,9504,State.EXPOSED
7,9832,102,9448,State.EXPOSED
8,9834,779,9504,State.EXPOSED
9,9912,581,9624,State.EXPOSED
10,9915,219,9601,State.EXPOSED
11,9985,1136,9915,State.EXPOSED
12,10016,,9825,State.ASYMPTOMATIC
13,10048,1073,9915,State.EXPOSED
14,10107,549,9793,State.EXPOSED
15,10254,,9832,State.ASYMPTOMATIC
16,10304,441,9912,State.EXPOSED
17,10329,539,10048,State.EXPOSED
18,10408,,9832,State.ASYMPTOMATIC
19,10417,,9936,State.ASYMPTOMATIC
20,10421,,9936,State.ASYMPTOMATIC
21,10457,1015,10304,State.EXPOSED
22,10464,458,10224,State.EXPOSED
23,10473,449,10224,State.EXPOSED
24,10473,395,10048,State.EXPOSED
25,10485,383,10048,State.EXPOSED
26,10496,426,10224,State.EXPOSED
27,10633,632,10464,State.EXPOSED
28,10656,,10254,State.ASYMPTOMATIC
29,10657,434,10457,State.EXPOSED
30,10755,331,10408,State.EXPOSED
31,10756,544,10633,State.EXPOSED
32,10756,2,10421,State.EXPOSED
33,10792,,10485,State.ASYMPTOMATIC
34,10802,284,10408,State.EXPOSED
35,10809,277,10408,State.EXPOSED
36,10824,,10421,State.MILD
37,10830,679,10656,State.EXPOSED
38,10857,229,10408,State.EXPOSED
39,10889,26,10656,State.EXPOSED
40,10902,,10485,State.ASYMPTOMATIC
41,10911,11,10224,State.EXPOSED
42,10922,595,10756,State.EXPOSED
43,10923,377,10633,State.EXPOSED
44,10938,579,10756,State.EXPOSED
45,10944,873,10512,State.EXPOSED
46,10962,855,10512,State.EXPOSED
47,11017,320,10756,State.EXPOSED
48,11055,245,10902,State.EXPOSED
49,11058,459,10756,State.EXPOSED
50,11065,235,10633,State.EXPOSED
51,11066,234,10902,State.EXPOSED
52,11073,227,10902,State.EXPOSED
53,11090,,10802,State.ASYMPTOMATIC
54,11092,417,10656,State.EXPOSED
55,11105,,10889,State.ASYMPTOMATIC
56,11208,942,11088,State.EXPOSED
57,11209,308,10756,State.EXPOSED
58,11256,973,11088,State.EXPOSED
59,11259,397,10824,State.EXPOSED
60,11281,,11092,State.ASYMPTOMATIC
61,11297,,10857,State.ASYMPTOMATIC
62,11304,328,10800,State.EXPOSED
63,11306,133,11017,State.EXPOSED
64,11337,,11058,State.ASYMPTOMATIC
65,11349,168,10756,State.EXPOSED
66,11403,826,11088,State.EXPOSED
67,11406,823,11088,State.EXPOSED
68,11424,545,11208,State.EXPOSED
69,11448,345,11256,State.EXPOSED
70,11466,388,11306,State.EXPOSED
71,11488,468,11065,State.EXPOSED
72,11514,636,11088,State.EXPOSED
73,11530,324,11306,State.EXPOSED
74,11536,420,11065,State.EXPOSED
75,11536,693,11088,State.EXPOSED
76,11536,433,11208,State.EXPOSED
77,11545,684,11088,State.EXPOSED
78,11560,923,11304,State.EXPOSED
79,11577,573,11232,State.EXPOSED
80,11578,572,11232,State.EXPOSED
81,11609,245,11306,State.EXPOSED
82,11632,161,11256,State.EXPOSED
83,11641,128,11349,State.EXPOSED
84,11649,120,11349,State.EXPOSED
85,11664,129,11256,State.EXPOSED
86,11681,220,11066,State.EXPOSED
87,11691,1308,11406,State.EXPOSED
88,11698,712,11536,State.EXPOSED
89,11721,,11466,State.ASYMPTOMATIC
90,11737,333,11578,State.EXPOSED
91,11744,1494,11664,State.EXPOSED
92,11752,581,11448,State.EXPOSED
93,11763,254,11514,State.EXPOSED
94,11768,249,11514,State.EXPOSED
95,11792,1,11256,State.EXPOSED
96,11792,490,11536,State.EXPOSED
97,11808,43,11536,State.EXPOSED
98,11810,1189,11406,State.EXPOSED
99,11816,321,11681,State.EXPOSED
100,11826,,11664,State.ASYMPTOMATIC
101,11874,603,11609,State.EXPOSED
102,11881,832,11691,State.EXPOSED
103,11881,452,11448,State.EXPOSED
104,11888,523,11808,State.EXPOSED
105,11897,436,11448,State.EXPOSED
106,11906,565,11698,State.EXPOSED
107,11913,800,11691,State.EXPOSED
108,11921,96,11514,State.EXPOSED
109,11956,114,11578,State.EXPOSED
110,11956,1329,11664,State.EXPOSED
111,11960,450,11536,State.EXPOSED
112,11977,213,11641,State.EXPOSED
113,11985,152,11681,State.EXPOSED
114,11985,,11560,State.ASYMPTOMATIC
115,11992,290,11536,State.EXPOSED
116,12002,332,11721,State.EXPOSED
117,12002,574,11424,State.EXPOSED
118,12015,309,11808,State.EXPOSED
119,12017,,11466,State.ASYMPTOMATIC
120,12048,386,11810,State.EXPOSED
121,12049,385,11810,State.EXPOSED
122,12063,145,11488,State.EXPOSED
123,12074,87,11763,State.EXPOSED
124,12081,937,11792,State.EXPOSED
125,12096,41,11681,State.EXPOSED
126,12097,93,11641,State.EXPOSED
127,12098,,11664,State.ASYMPTOMATIC
128,12104,307,11808,State.EXPOSED
129,12120,,11816,State.ASYMPTOMATIC
130,12130,517,11985,State.EXPOSED
131,12137,344,11956,State.EXPOSED
132,12160,180,11888,State.EXPOSED
133,12168,156,11808,State.EXPOSED
134,12176,519,12015,State.EXPOSED
135,12177,862,11881,State.EXPOSED
136,12185,1014,12002,State.EXPOSED
137,12186,390,11424,State.EXPOSED
138,12192,775,11960,State.EXPOSED
139,12207,1376,11906,State.EXPOSED
140,12220,647,12081,State.EXPOSED
141,12234,1169,12096,State.EXPOSED
142,12242,576,12098,State.EXPOSED
143,12249,441,12177,State.EXPOSED
144,12255,310,11977,State.EXPOSED
145,12257,154,11808,State.EXPOSED
146,12288,155,11737,State.EXPOSED
147,12288,751,11881,State.EXPOSED
148,12289,424,11691,State.EXPOSED
149,12289,,12096,State.ASYMPTOMATIC
150,12297,,11952,State.ASYMPTOMATIC
151,12298,397,12015,State.EXPOSED
152,12303,21,11808,State.EXPOSED
153,12306,389,12015,State.EXPOSED
154,12336,643,11952,State.EXPOSED
155,12336,1247,11906,State.EXPOSED
156,12341,1315,12063,State.EXPOSED
157,12368,404,11952,State.EXPOSED
158,12377,750,12048,State.EXPOSED
159,12384,301,11992,State.EXPOSED
160,12392,790,12097,State.EXPOSED
161,12400,585,12255,State.EXPOSED
162,12409,2,11808,State.EXPOSED
163,12409,92,11826,State.EXPOSED
164,12411,,11952,State.ASYMPTOMATIC
165,12414,580,12242,State.EXPOSED
166,12424,758,12097,State.EXPOSED
167,12425,56,11956,State.EXPOSED
168,12426,,11952,State.ASYMPTOMATIC
169,12429,753,12097,State.EXPOSED
170,12440,,12185,State.ASYMPTOMATIC
171,12441,40,11956,State.EXPOSED
172,12441,,12185,State.ASYMPTOMATIC
173,12450,306,12168,State.EXPOSED
174,12458,,12240,State.ASYMPTOMATIC
175,12481,922,12096,State.EXPOSED
176,12490,509,12234,State.EXPOSED
177,12496,1087,11906,State.EXPOSED
178,12505,261,12289,State.EXPOSED
179,12505,419,12298,State.EXPOSED
180,12512,891,12096,State.EXPOSED
181,12513,942,12306,State.EXPOSED
182,12514,485,12234,State.EXPOSED
183,12536,29,11977,State.EXPOSED
184,12544,441,12255,State.EXPOSED
185,12553,658,12257,State.EXPOSED
186,12568,852,12426,State.EXPOSED
187,12576,54,12392,State.EXPOSED
188,12577,,12240,State.ASYMPTOMATIC
189,12578,996,12303,State.EXPOSED
190,12584,990,12303,State.EXPOSED
191,12584,452,12288,State.EXPOSED
192,12586,613,12002,State.EXPOSED
193,12601,402,12176,State.EXPOSED
194,12603,452,12186,State.EXPOSED
195,12609,147,12168,State.EXPOSED
196,12632,,12392,State.MILD
197,12639,133,11952,State.EXPOSED
198,12640,504,12584,State.EXPOSED
199,12648,230,12440,State.EXPOSED
200,12664,463,12048,State.EXPOSED
201,12664,240,12207,State.EXPOSED
202,12665,8,12553,State.EXPOSED
203,12672,539,12257,State.EXPOSED
204,12674,746,12426,State.EXPOSED
205,12676,,12672,State.ASYMPTOMATIC
206,12688,,12425,State.ASYMPTOMATIC
207,12690,,11952,State.ASYMPTOMATIC
208,12697,,12414,State.ASYMPTOMATIC
209,12697,453,12409,State.EXPOSED
210,12711,439,12409,State.EXPOSED
211,12712,523,12481,State.EXPOSED
212,12713,281,12242,State.EXPOSED
213,12714,741,12306,State.EXPOSED
214,12717,,12411,State.ASYMPTOMATIC
215,12722,,12368,State.ASYMPTOMATIC
216,12722,252,12377,State.EXPOSED
217,12735,270,12528,State.EXPOSED
218,12736,,12368,State.ASYMPTOMATIC
219,12759,815,12303,State.EXPOSED
220,12774,634,12674,State.EXPOSED
221,12793,716,12384,State.EXPOSED
222,12793,491,12505,State.EXPOSED
223,12794,490,12505,State.EXPOSED
224,12794,143,12336,State.EXPOSED
225,12801,483,12505,State.EXPOSED
226,12809,128,12336,State.EXPOSED
227,12817,333,12409,State.EXPOSED
228,12825,,12425,State.ASYMPTOMATIC
229,12832,379,12257,State.EXPOSED
230,12841,398,12429,State.EXPOSED
231,12848,722,12577,State.EXPOSED
232,12849,857,12712,State.EXPOSED
233,12855,201,12528,State.EXPOSED
234,12856,564,12426,State.EXPOSED
235,12865,496,12496,State.EXPOSED
236,12869,,12722,State.ASYMPTOMATIC
237,12873,717,12759,State.EXPOSED
238,12882,123,12528,State.EXPOSED
239,12888,682,12577,State.EXPOSED
240,12891,,12601,State.ASYMPTOMATIC
241,12898,,12584,State.ASYMPTOMATIC
242,12903,69,12576,State.EXPOSED
243,12914,135,12672,State.EXPOSED
244,12920,,12513,State.ASYMPTOMATIC
245,12930,,12513,State.ASYMPTOMATIC
246,12936,634,12577,State.EXPOSED
247,12948,929,12672,State.EXPOSED
248,12953,272,12505,State.EXPOSED
249,12960,190,12409,State.EXPOSED
250,12962,182,12584,State.EXPOSED
251,12968,88,12528,State.EXPOSED
252,12976,444,12426,State.EXPOSED
253,12977,545,12953,State.EXPOSED
254,12984,722,12712,State.EXPOSED
255,12984,525,12384,State.EXPOSED
256,12985,159,12584,State.EXPOSED
257,12990,,12711,State.ASYMPTOMATIC
258,13008,,12584,State.ASYMPTOMATIC
259,13008,562,12577,State.EXPOSED
260,13025,14,12736,State.EXPOSED
261,13026,509,12697,State.EXPOSED
262,13056,514,12577,State.EXPOSED
263,13073,449,12953,State.EXPOSED
264,13081,1089,12793,State.EXPOSED
265,13088,521,12632,State.EXPOSED
266,13089,446,12697,State.EXPOSED
267,13097,,12639,State.ASYMPTOMATIC
268,13097,,12665,State.ASYMPTOMATIC
269,13112,392,12676,State.EXPOSED
270,13114,723,12977,State.EXPOSED
271,13116,,12848,State.ASYMPTOMATIC
272,13121,716,12977,State.EXPOSED
273,13121,585,12712,State.EXPOSED
274,13129,418,12832,State.EXPOSED
275,13129,894,12914,State.EXPOSED
276,13131,706,12977,State.EXPOSED
277,13153,870,12914,State.EXPOSED
278,13155,809,12672,State.EXPOSED
279,13155,,12865,State.ASYMPTOMATIC
280,13160,430,12759,State.EXPOSED
281,13176,264,12735,State.EXPOSED
282,13176,,12903,State.ASYMPTOMATIC
283,13200,,12665,State.ASYMPTOMATIC
284,13202,431,13025,State.EXPOSED
285,13202,968,12793,State.EXPOSED
286,13203,596,13121,State.EXPOSED
287,13208,998,12936,State.EXPOSED
288,13217,989,12936,State.EXPOSED
289,13225,508,12873,State.EXPOSED
290,13229,207,12898,State.EXPOSED
291,13230,476,13089,State.EXPOSED
292,13233,185,12948,State.EXPOSED
293,13239,967,12936,State.EXPOSED
294,13250,888,12984,State.EXPOSED
295,13253,421,12962,State.EXPOSED
296,13272,751,12914,State.EXPOSED
297,13312,492,13026,State.EXPOSED
298,13320,521,12888,State.EXPOSED
299,13321,534,13121,State.EXPOSED
300,13321,463,13176,State.EXPOSED
