,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,208.0,0.0,0.0,0.0,0.0,0.0,0.0
1,200.0,0.0,0.0,0.0,0.0,0.0,0.0
2,208.0,0.0,0.0,0.0,0.0,0.0,0.0
3,202.0,0.0,0.0,0.0,0.0,0.0,0.0
4,200.0,0.0,0.0,0.0,0.0,0.0,0.0
5,209.0,0.0,0.0,0.0,0.0,0.0,0.0
6,208.0,0.0,0.0,0.0,0.0,0.0,0.0
7,214.0,0.0,0.0,0.0,0.0,0.0,0.0
8,222.0,0.0,0.0,0.0,0.0,0.0,0.0
9,222.0,0.0,0.0,0.0,0.0,0.0,0.0
10,215.0,0.0,0.0,0.0,0.0,0.0,0.0
11,216.0,0.0,0.0,0.0,0.0,0.0,0.0
12,209.0,0.0,0.0,0.0,0.0,0.0,0.0
13,213.0,0.0,0.0,0.0,0.0,0.0,0.0
14,221.0,0.0,0.0,0.0,0.0,0.0,0.0
15,224.0,0.0,0.0,0.0,0.0,0.0,0.0
16,224.0,0.0,0.0,0.0,0.0,0.0,0.0
17,214.0,0.0,0.0,0.0,0.0,0.0,0.0
18,217.0,0.0,0.0,0.0,0.0,0.0,0.0
19,206.0,0.0,0.0,0.0,0.0,0.0,0.0
20,212.0,0.0,0.0,0.0,0.0,0.0,0.0
21,224.0,0.0,0.0,0.0,0.0,0.0,0.0
22,232.0,0.0,0.0,0.0,0.0,0.0,0.0
23,229.0,0.0,0.0,0.0,0.0,0.0,0.0
24,213.0,0.0,0.0,0.0,0.0,0.0,0.0
25,215.0,0.0,0.0,0.0,0.0,0.0,0.0
26,209.0,0.0,0.0,0.0,0.0,0.0,0.0
27,232.0,0.0,0.0,0.0,0.0,0.0,0.0
28,244.0,0.0,0.0,0.0,0.0,0.0,0.0
29,253.0,0.0,0.0,0.0,0.0,0.0,0.0
30,260.0,0.0,0.0,0.0,0.0,0.0,0.0
31,268.0,0.0,0.0,0.0,0.0,0.0,0.0
32,253.0,0.0,0.0,0.0,0.0,0.0,0.0
33,251.0,0.0,0.0,0.0,0.0,0.0,0.0
34,236.0,0.0,0.0,0.0,0.0,0.0,0.0
35,224.0,0.0,0.0,0.0,0.0,0.0,0.0
36,221.0,0.0,0.0,0.0,0.0,0.0,0.0
37,213.0,0.0,0.0,0.0,0.0,0.0,0.0
38,219.0,0.0,0.0,0.0,0.0,0.0,0.0
39,226.0,0.0,0.0,0.0,0.0,0.0,0.0
40,214.0,0.0,0.0,0.0,0.0,0.0,0.0
41,220.0,0.0,0.0,0.0,0.0,0.0,0.0
42,226.0,0.0,0.0,0.0,0.0,0.0,0.0
43,211.0,0.0,0.0,0.0,0.0,0.0,0.0
44,239.0,0.0,0.0,0.0,0.0,0.0,0.0
45,229.0,0.0,0.0,0.0,0.0,0.0,0.0
46,232.0,0.0,0.0,0.0,0.0,0.0,0.0
47,226.0,0.0,0.0,0.0,0.0,0.0,0.0
48,221.0,0.0,0.0,0.0,0.0,0.0,0.0
49,231.0,0.0,0.0,0.0,0.0,0.0,0.0
50,226.0,0.0,0.0,0.0,0.0,0.0,0.0
51,233.0,0.0,0.0,0.0,0.0,0.0,0.0
52,215.0,0.0,0.0,0.0,0.0,0.0,0.0
53,219.0,0.0,0.0,0.0,0.0,0.0,0.0
54,227.0,0.0,0.0,0.0,0.0,0.0,0.0
55,236.0,0.0,0.0,0.0,0.0,0.0,0.0
56,237.0,0.0,0.0,0.0,0.0,0.0,0.0
57,249.0,0.0,0.0,0.0,0.0,0.0,0.0
58,255.0,0.0,0.0,0.0,0.0,0.0,0.0
59,260.0,0.0,0.0,0.0,1.0,0.0,0.0
60,245.0,0.0,0.0,0.0,1.0,0.0,0.0
61,255.0,0.0,0.0,0.0,1.0,0.0,0.0
62,245.0,0.0,0.0,0.0,1.0,0.0,0.0
63,259.0,0.0,0.0,0.0,1.0,0.0,0.0
64,245.0,0.0,0.0,0.0,1.0,0.0,0.0
65,235.0,0.0,0.0,0.0,1.0,0.0,0.0
66,236.0,0.0,0.0,0.0,1.0,0.0,0.0
67,230.0,0.0,0.0,0.0,1.0,0.0,0.0
68,237.0,0.0,0.0,0.0,1.0,0.0,0.0
69,242.0,0.0,0.0,0.0,1.0,0.0,0.0
70,244.0,0.0,0.0,0.0,1.0,0.0,0.0
71,245.0,0.0,0.0,0.0,1.0,0.0,1.0
72,242.0,0.0,0.0,0.0,1.0,0.0,0.0
73,248.0,0.0,0.0,0.0,1.0,0.0,0.0
74,250.0,0.0,0.0,0.0,1.0,0.0,0.0
75,235.0,1.0,0.0,0.0,1.0,0.0,0.0
76,253.0,2.0,0.0,0.0,1.0,0.0,0.0
77,253.0,4.0,3.0,0.0,3.0,0.0,0.0
78,243.0,4.0,4.0,0.0,4.0,0.0,0.0
79,226.0,6.0,5.0,0.0,7.0,0.0,0.0
80,229.0,10.0,7.0,0.0,8.0,0.0,0.0
81,215.0,8.0,5.0,0.0,10.0,0.0,1.0
82,217.0,9.0,9.0,0.0,12.0,0.0,0.0
83,215.0,9.0,12.0,0.0,15.0,0.0,0.0
84,206.0,11.0,14.0,0.0,17.0,0.0,1.0
85,198.0,11.0,18.0,0.0,19.0,0.0,1.0
86,197.0,15.0,23.0,0.0,21.0,0.0,2.0
87,200.0,13.0,27.0,0.0,26.0,0.0,3.0
88,191.0,9.0,26.0,0.0,29.0,2.0,3.0
89,193.0,7.0,26.0,0.0,37.0,4.0,3.0
90,203.0,5.0,24.0,0.0,37.0,5.0,2.0
91,221.0,6.0,25.0,0.0,41.0,4.0,1.0
92,226.0,9.0,25.0,0.0,49.0,5.0,3.0
93,228.0,9.0,25.0,0.0,48.0,8.0,1.0
94,226.0,8.0,30.0,0.0,52.0,7.0,1.0
95,233.0,7.0,24.0,0.0,53.0,8.0,2.0
96,223.0,10.0,19.0,0.0,51.0,10.0,3.0
97,220.0,13.0,16.0,0.0,52.0,9.0,4.0
98,215.0,18.0,14.0,0.0,50.0,9.0,3.0
99,215.0,18.0,14.0,0.0,53.0,11.0,3.0
100,210.0,19.0,17.0,0.0,52.0,10.0,5.0
101,219.0,14.0,18.0,0.0,51.0,10.0,2.0
102,230.0,11.0,15.0,0.0,49.0,7.0,3.0
103,240.0,7.0,17.0,0.0,50.0,5.0,1.0
104,231.0,11.0,15.0,0.0,54.0,5.0,2.0
105,231.0,12.0,13.0,0.0,51.0,6.0,2.0
106,217.0,20.0,14.0,0.0,50.0,8.0,2.0
107,215.0,20.0,17.0,0.0,48.0,8.0,4.0
108,214.0,17.0,17.0,0.0,47.0,8.0,4.0
109,194.0,16.0,12.0,0.0,46.0,9.0,8.0
110,203.0,19.0,10.0,0.0,43.0,11.0,7.0
111,207.0,14.0,9.0,0.0,42.0,11.0,7.0
112,196.0,14.0,6.0,0.0,40.0,12.0,5.0
113,177.0,19.0,7.0,0.0,37.0,10.0,7.0
114,184.0,19.0,6.0,0.0,36.0,5.0,5.0
115,194.0,16.0,8.0,0.0,31.0,9.0,6.0
116,211.0,14.0,7.0,0.0,28.0,7.0,10.0
117,223.0,12.0,8.0,0.0,26.0,8.0,8.0
118,222.0,10.0,10.0,0.0,25.0,8.0,8.0
119,220.0,8.0,10.0,0.0,24.0,10.0,7.0
120,221.0,4.0,10.0,0.0,23.0,10.0,3.0
121,214.0,4.0,8.0,0.0,25.0,9.0,1.0
122,224.0,4.0,6.0,0.0,23.0,10.0,1.0
123,216.0,5.0,5.0,0.0,20.0,13.0,2.0
124,208.0,5.0,4.0,0.0,19.0,13.0,2.0
125,217.0,3.0,4.0,0.0,16.0,16.0,1.0
126,215.0,3.0,3.0,0.0,16.0,14.0,0.0
127,226.0,2.0,2.0,0.0,14.0,13.0,0.0
128,224.0,2.0,1.0,0.0,14.0,11.0,0.0
129,229.0,2.0,1.0,0.0,15.0,10.0,0.0
130,228.0,2.0,1.0,0.0,15.0,9.0,0.0
131,228.0,3.0,1.0,0.0,15.0,8.0,0.0
132,234.0,2.0,2.0,0.0,15.0,7.0,0.0
133,235.0,1.0,2.0,0.0,13.0,8.0,0.0
134,226.0,2.0,2.0,0.0,13.0,8.0,0.0
135,220.0,1.0,2.0,0.0,12.0,10.0,0.0
136,233.0,0.0,3.0,0.0,12.0,8.0,0.0
137,230.0,0.0,3.0,0.0,12.0,7.0,0.0
138,237.0,0.0,2.0,0.0,12.0,7.0,0.0
139,220.0,0.0,1.0,0.0,12.0,8.0,0.0
140,224.0,0.0,1.0,0.0,12.0,7.0,0.0
141,216.0,0.0,0.0,0.0,11.0,5.0,0.0
142,215.0,0.0,0.0,0.0,9.0,6.0,0.0
143,215.0,0.0,0.0,0.0,8.0,7.0,0.0
144,218.0,0.0,1.0,0.0,6.0,8.0,0.0
145,227.0,0.0,0.0,0.0,6.0,8.0,0.0
146,233.0,0.0,0.0,0.0,5.0,9.0,0.0
147,237.0,2.0,0.0,0.0,5.0,9.0,0.0
148,235.0,1.0,2.0,0.0,4.0,10.0,0.0
