,susceptible,exposed,mild,severe,recovered,asymptomatic
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.01,0.0,0.0,0.0,0.0
59,0.0,0.0,0.01,0.0,0.0,0.01
60,0.0,0.02,0.01,0.0,0.0,0.01
61,0.0,0.02,0.01,0.0,0.0,0.02
62,0.0,0.0,0.05,0.01,0.0,0.05
63,0.0,0.01,0.05,0.01,0.0,0.06
64,0.0,0.05,0.05,0.01,0.0,0.08
65,0.0,0.0,0.15,0.05,0.0,0.09
66,0.0,0.1,0.14,0.05,0.02,0.1
67,0.0,0.17,0.14,0.05,0.02,0.15
68,0.0,0.0,0.41,0.11,0.02,0.24
69,0.0,0.2,0.37,0.1,0.11,0.25
70,0.0,0.48,0.37,0.1,0.11,0.3
71,0.0,0.0,0.96,0.25,0.11,0.41
72,0.0,0.23,0.86,0.21,0.29,0.42
73,0.0,0.62,0.86,0.21,0.29,0.64
74,0.0,0.01,1.77,0.41,0.29,0.81
75,0.0,0.29,1.5,0.35,0.78,0.75
76,0.0,0.77,1.5,0.35,0.78,1.02
77,0.0,0.01,2.53,0.57,0.78,1.3
78,0.0,0.4,1.94,0.42,1.73,1.32
79,0.0,0.93,1.94,0.43,1.73,1.53
80,0.0,0.03,3.19,0.8,1.73,1.9
81,0.0,0.65,2.28,0.6,3.28,1.69
82,0.0,1.49,2.28,0.61,3.28,2.05
83,0.0,0.02,4.02,1.08,3.28,2.45
84,0.0,0.74,2.99,0.86,5.18,1.98
85,0.0,1.7,3.0,0.86,5.18,2.37
86,0.0,0.04,5.07,1.41,5.19,2.76
87,0.0,0.88,3.82,1.04,7.62,2.3
88,0.0,1.8,3.83,1.04,7.62,2.71
89,0.0,0.03,6.31,1.55,7.63,3.26
90,0.0,0.82,4.57,1.08,10.77,2.66
91,0.0,1.76,4.57,1.08,10.77,3.2
92,0.0,0.05,7.14,1.59,10.78,3.7
93,0.0,0.9,5.07,1.03,14.36,3.06
94,0.0,1.94,5.07,1.03,14.36,3.53
