,transmission_time,incubation_time,infection_time,disease_state
0,10197,848,9936,State.EXPOSED
1,10338,707,9936,State.EXPOSED
2,10521,,10368,State.ASYMPTOMATIC
3,10713,1273,10512,State.EXPOSED
4,10929,170,10713,State.EXPOSED
5,11025,74,10713,State.EXPOSED
6,11049,50,10713,State.EXPOSED
7,11057,358,10800,State.EXPOSED
8,11067,1265,10929,State.EXPOSED
9,11129,871,11088,State.EXPOSED
10,11176,,11025,State.ASYMPTOMATIC
11,11201,432,11129,State.EXPOSED
12,11216,1116,10929,State.EXPOSED
13,11229,186,10800,State.EXPOSED
14,11283,490,11057,State.EXPOSED
15,11307,466,11057,State.EXPOSED
16,11352,368,11216,State.EXPOSED
17,11475,298,11057,State.EXPOSED
18,11489,207,11352,State.EXPOSED
19,11521,252,11057,State.EXPOSED
20,11568,501,11232,State.EXPOSED
21,11642,268,11176,State.EXPOSED
22,11793,6,11489,State.EXPOSED
23,11832,,11489,State.MILD
24,11916,138,11808,State.EXPOSED
25,12000,,11489,State.MILD
26,12065,605,11952,State.EXPOSED
27,12084,439,11793,State.EXPOSED
28,12240,0,11676,State.SEVERE
29,12249,,12096,State.ASYMPTOMATIC
30,12265,1564,12065,State.EXPOSED
31,12305,1524,12065,State.EXPOSED
32,12353,1476,12065,State.EXPOSED
33,12393,637,12240,State.EXPOSED
34,12393,1436,12065,State.EXPOSED
35,12409,1420,12065,State.EXPOSED
36,12424,238,12240,State.EXPOSED
37,12457,1372,12065,State.EXPOSED
38,12459,,12240,State.ASYMPTOMATIC
39,12560,905,12424,State.EXPOSED
40,12625,1199,12528,State.EXPOSED
41,12711,538,12560,State.EXPOSED
42,12738,796,12672,State.EXPOSED
43,12813,1011,12528,State.EXPOSED
44,12832,417,12560,State.EXPOSED
45,12858,776,12528,State.EXPOSED
46,12889,856,12672,State.EXPOSED
47,12891,854,12672,State.EXPOSED
48,12892,853,12672,State.EXPOSED
49,12921,,12672,State.ASYMPTOMATIC
50,12944,,12528,State.ASYMPTOMATIC
51,12961,,12625,State.ASYMPTOMATIC
52,13040,,12832,State.ASYMPTOMATIC
53,13146,,12961,State.ASYMPTOMATIC
54,13184,507,12889,State.EXPOSED
55,13184,472,12802,State.EXPOSED
56,13224,467,12889,State.EXPOSED
57,13240,416,12802,State.EXPOSED
58,13241,586,12892,State.EXPOSED
59,13250,773,12960,State.EXPOSED
60,13253,770,12960,State.EXPOSED
61,13256,400,12802,State.EXPOSED
62,13264,392,12802,State.EXPOSED
63,13281,742,12960,State.EXPOSED
64,13302,549,13104,State.EXPOSED
65,13320,0,12902,State.MILD
66,13472,219,12889,State.EXPOSED
67,13480,903,13250,State.EXPOSED
68,13489,894,13250,State.EXPOSED
69,13504,879,13250,State.EXPOSED
70,13537,846,13250,State.EXPOSED
71,13569,58,13355,State.EXPOSED
72,13609,384,13480,State.EXPOSED
73,13662,195,13504,State.EXPOSED
74,13705,488,13392,State.EXPOSED
75,13736,448,13472,State.EXPOSED
76,13768,416,13472,State.EXPOSED
77,13857,,13705,State.ASYMPTOMATIC
78,13874,512,13609,State.EXPOSED
79,13899,800,13736,State.EXPOSED
80,13946,440,13609,State.EXPOSED
81,13972,414,13609,State.EXPOSED
82,14112,562,13968,State.EXPOSED
83,14130,349,13824,State.EXPOSED
84,14136,,13857,State.ASYMPTOMATIC
85,14144,,13857,State.ASYMPTOMATIC
86,14152,806,13968,State.EXPOSED
87,14153,430,13768,State.EXPOSED
88,14154,325,13824,State.EXPOSED
89,14172,,13899,State.ASYMPTOMATIC
90,14233,153,13609,State.EXPOSED
91,14304,640,14152,State.EXPOSED
92,14400,878,14136,State.EXPOSED
93,14424,854,14136,State.EXPOSED
94,14440,838,14136,State.EXPOSED
95,14440,456,14144,State.EXPOSED
96,14523,858,14256,State.EXPOSED
97,14552,344,14144,State.EXPOSED
98,14565,762,14440,State.EXPOSED
99,14608,336,14152,State.EXPOSED
100,15257,270,15120,State.EXPOSED
101,15330,802,15120,State.EXPOSED
102,15393,134,15120,State.EXPOSED
103,15504,23,15120,State.EXPOSED
104,15513,14,15120,State.EXPOSED
105,15513,186,15393,State.EXPOSED
106,15520,7,15120,State.EXPOSED
107,15546,928,15257,State.EXPOSED
108,15610,864,15257,State.EXPOSED
109,15628,521,15552,State.EXPOSED
110,15639,510,15552,State.EXPOSED
111,15750,529,15552,State.EXPOSED
112,15825,649,15257,State.EXPOSED
113,15891,258,15552,State.EXPOSED
114,15896,,15639,State.ASYMPTOMATIC
115,16120,96,15896,State.EXPOSED
116,16143,,15984,State.ASYMPTOMATIC
117,16184,32,15896,State.EXPOSED
118,16305,716,15891,State.EXPOSED
119,16392,821,16120,State.EXPOSED
120,18976,,18576,State.ASYMPTOMATIC
121,19794,217,19584,State.EXPOSED
122,21016,329,20880,State.EXPOSED
123,22009,324,21744,State.EXPOSED
124,22024,309,21744,State.EXPOSED
125,22105,381,22009,State.EXPOSED
126,22323,163,22009,State.EXPOSED
127,22352,187,22024,State.EXPOSED
128,22360,179,22024,State.EXPOSED
129,27588,,27360,State.ASYMPTOMATIC
130,29163,361,28944,State.EXPOSED
