,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,3.0
70,3.0
71,3.0
72,3.0
73,4.0
74,5.0
75,6.0
76,14.0
77,15.0
78,17.0
79,17.0
80,20.0
81,21.0
82,21.0
83,36.0
84,36.0
85,36.0
86,40.0
87,40.0
88,43.0
89,55.0
90,73.0
91,76.0
92,78.0
93,81.0
94,84.0
95,84.0
96,85.0
97,76.0
98,75.0
99,76.0
100,74.0
101,68.0
102,69.0
103,58.0
104,47.0
105,44.0
106,40.0
107,37.0
108,37.0
109,31.0
110,29.0
111,15.0
112,15.0
113,16.0
114,14.0
115,16.0
116,18.0
117,20.0
118,26.0
119,26.0
120,24.0
121,24.0
122,22.0
123,22.0
124,19.0
125,12.0
126,12.0
127,12.0
128,12.0
129,13.0
130,12.0
131,13.0
132,11.0
133,11.0
134,11.0
135,11.0
136,9.0
137,8.0
138,7.0
139,3.0
140,4.0
141,4.0
142,4.0
143,4.0
144,4.0
145,6.0
146,7.0
147,6.0
148,6.0
149,6.0
150,7.0
151,9.0
152,7.0
153,6.0
154,6.0
155,6.0
156,6.0
157,5.0
158,3.0
159,4.0
160,2.0
161,3.0
162,3.0
163,3.0
164,3.0
165,3.0
166,2.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,2.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,2.0
220,2.0
221,2.0
222,2.0
223,1.0
224,1.0
225,1.0
226,0.0
227,0.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,0.0
236,0.0
237,0.0
238,0.0
