,transmission_time,incubation_time,infection_time,disease_state
0,9336,721,9216,State.EXPOSED
1,9617,695,9336,State.EXPOSED
2,9761,551,9336,State.EXPOSED
3,9777,535,9336,State.EXPOSED
4,9785,527,9336,State.EXPOSED
5,9801,277,9617,State.EXPOSED
6,9857,221,9617,State.EXPOSED
7,9937,141,9617,State.EXPOSED
8,10009,69,9617,State.EXPOSED
9,10009,581,9777,State.EXPOSED
10,10010,,9761,State.ASYMPTOMATIC
11,10011,67,9617,State.EXPOSED
12,10049,29,9617,State.EXPOSED
13,10058,,9761,State.ASYMPTOMATIC
14,10114,,9801,State.ASYMPTOMATIC
15,10152,961,10010,State.EXPOSED
16,10157,956,10010,State.EXPOSED
17,10200,,10049,State.ASYMPTOMATIC
18,10241,349,9777,State.EXPOSED
19,10249,482,9792,State.EXPOSED
20,10272,609,10009,State.EXPOSED
21,10281,418,9785,State.EXPOSED
22,10296,817,10010,State.EXPOSED
23,10305,285,9777,State.EXPOSED
24,10347,485,10114,State.EXPOSED
25,10441,672,10010,State.EXPOSED
26,10465,125,9777,State.EXPOSED
27,10467,348,10058,State.EXPOSED
28,10488,327,10058,State.EXPOSED
29,10514,742,10157,State.EXPOSED
30,10520,355,10249,State.EXPOSED
31,10545,205,10009,State.EXPOSED
32,10546,710,10157,State.EXPOSED
33,10562,,10465,State.ASYMPTOMATIC
34,10584,291,10249,State.EXPOSED
35,10608,267,10249,State.EXPOSED
36,10641,,10467,State.ASYMPTOMATIC
37,10713,1676,10584,State.EXPOSED
38,10761,1025,10656,State.EXPOSED
39,10768,729,10608,State.EXPOSED
40,10778,777,10347,State.EXPOSED
41,10810,1082,10562,State.EXPOSED
42,10832,43,10249,State.EXPOSED
43,10841,,10545,State.ASYMPTOMATIC
44,10856,16,10305,State.EXPOSED
45,10887,1502,10584,State.EXPOSED
46,10896,,10249,State.MILD
47,10897,297,10512,State.EXPOSED
48,10898,888,10656,State.EXPOSED
49,10900,365,10713,State.EXPOSED
50,10908,1352,10761,State.EXPOSED
51,10912,720,10641,State.EXPOSED
52,10921,576,10608,State.EXPOSED
53,10932,854,10656,State.EXPOSED
54,11016,1373,10584,State.EXPOSED
55,11032,612,10921,State.EXPOSED
56,11064,130,10512,State.EXPOSED
57,11081,1176,10897,State.EXPOSED
58,11160,168,10887,State.EXPOSED
59,11162,1095,10897,State.EXPOSED
60,11176,152,10887,State.EXPOSED
61,11184,602,10656,State.EXPOSED
62,11184,459,10856,State.EXPOSED
63,11187,499,10900,State.EXPOSED
64,11209,807,10932,State.EXPOSED
65,11229,457,10900,State.EXPOSED
66,11234,1023,10897,State.EXPOSED
67,11240,404,10921,State.EXPOSED
68,11262,995,10897,State.EXPOSED
69,11290,967,10897,State.EXPOSED
70,11297,31,10887,State.EXPOSED
71,11334,719,10908,State.EXPOSED
72,11337,372,11187,State.EXPOSED
73,11338,715,10908,State.EXPOSED
74,11376,310,11209,State.EXPOSED
75,11382,621,11240,State.EXPOSED
76,11401,285,11209,State.EXPOSED
77,11417,,10841,State.ASYMPTOMATIC
78,11418,839,10897,State.EXPOSED
79,11425,185,10768,State.EXPOSED
80,11426,393,11184,State.EXPOSED
81,11448,538,11376,State.EXPOSED
82,11449,237,11209,State.EXPOSED
83,11466,1104,11338,State.EXPOSED
84,11498,1072,11338,State.EXPOSED
85,11505,100,11088,State.EXPOSED
86,11520,299,11184,State.EXPOSED
87,11529,1117,11234,State.EXPOSED
88,11544,165,11187,State.EXPOSED
89,11546,,10841,State.ASYMPTOMATIC
90,11574,,11290,State.ASYMPTOMATIC
91,11616,203,11184,State.EXPOSED
92,11633,511,11417,State.EXPOSED
93,11640,909,11520,State.EXPOSED
94,11648,61,11187,State.EXPOSED
95,11649,,11448,State.ASYMPTOMATIC
96,11680,464,11417,State.EXPOSED
97,11696,,11376,State.ASYMPTOMATIC
98,11697,432,11401,State.EXPOSED
99,11697,342,11520,State.EXPOSED
100,11728,258,11376,State.EXPOSED
101,11738,206,11425,State.EXPOSED
102,11740,204,11425,State.EXPOSED
103,11751,235,11376,State.EXPOSED
104,11752,392,11417,State.EXPOSED
105,11769,780,11520,State.EXPOSED
106,11792,,11633,State.ASYMPTOMATIC
107,11796,1668,11664,State.EXPOSED
108,11796,877,11520,State.EXPOSED
109,11800,873,11520,State.EXPOSED
110,11809,230,11520,State.EXPOSED
111,11824,345,11640,State.EXPOSED
112,11832,207,11520,State.EXPOSED
113,11840,1154,11520,State.EXPOSED
114,11857,129,11376,State.EXPOSED
115,11860,84,11425,State.EXPOSED
116,11877,30,11574,State.EXPOSED
117,11880,284,11751,State.EXPOSED
118,11896,273,11640,State.EXPOSED
119,11937,736,11520,State.EXPOSED
120,11960,209,11640,State.EXPOSED
121,11967,517,11824,State.EXPOSED
122,11976,725,11832,State.EXPOSED
123,11977,451,11680,State.EXPOSED
124,12001,512,11740,State.EXPOSED
125,12012,1019,11808,State.EXPOSED
126,12016,480,11840,State.EXPOSED
127,12028,387,11860,State.EXPOSED
128,12048,,11800,State.ASYMPTOMATIC
129,12064,866,11796,State.EXPOSED
130,12081,390,11769,State.EXPOSED
131,12097,473,11697,State.EXPOSED
132,12120,857,12064,State.EXPOSED
133,12126,,11967,State.ASYMPTOMATIC
134,12128,821,11696,State.EXPOSED
135,12185,580,11977,State.EXPOSED
136,12185,230,11860,State.EXPOSED
137,12195,741,11857,State.EXPOSED
138,12201,214,11860,State.EXPOSED
139,12208,,11633,State.ASYMPTOMATIC
140,12233,703,11857,State.EXPOSED
141,12240,326,11960,State.EXPOSED
142,12249,615,12096,State.EXPOSED
143,12315,,12028,State.ASYMPTOMATIC
