,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
0,373.0,108.0,37.0,150.0,8.0,23.0,40.0,5.0,2.0,135.0,363.0,10.0,1.0,0.0,9860.0,9701.0,223.0,253.0,2.0,118.0,190.0,28.9544235924933,9.919571045576408,40.21447721179624,2.1447721179624666,6.166219839142091,10.723860589812332,1.3404825737265416,0.5361930294906166
1,271.0,76.0,24.0,117.0,4.0,10.0,32.0,6.0,2.0,120.0,259.0,12.0,0.0,2.0,9874.0,9714.0,195.0,176.0,10.0,85.0,149.0,28.04428044280443,8.85608856088561,43.17343173431734,1.4760147601476015,3.690036900369004,11.808118081180812,2.2140221402214024,0.7380073800738007
2,321.0,91.0,32.0,125.0,9.0,27.0,27.0,10.0,0.0,119.0,306.0,15.0,0.0,2.0,9718.0,9558.0,220.0,222.0,6.0,93.0,152.0,28.34890965732087,9.968847352024921,38.940809968847354,2.803738317757009,8.411214953271028,8.411214953271028,3.115264797507788,0.0
3,371.0,96.0,34.0,147.0,8.0,26.0,49.0,8.0,3.0,114.0,356.0,15.0,1.0,3.0,9994.0,9832.0,221.0,247.0,9.0,115.0,196.0,25.87601078167116,9.164420485175203,39.62264150943396,2.1563342318059298,7.008086253369272,13.20754716981132,2.1563342318059298,0.8086253369272237
4,319.0,87.0,30.0,117.0,4.0,22.0,43.0,12.0,4.0,134.0,302.0,17.0,0.0,1.0,9883.0,9724.0,237.0,231.0,8.0,80.0,160.0,27.272727272727273,9.404388714733543,36.677115987460816,1.2539184952978057,6.896551724137931,13.47962382445141,3.761755485893417,1.2539184952978057
5,344.0,86.0,30.0,120.0,17.0,27.0,47.0,12.0,5.0,123.0,324.0,20.0,0.0,3.0,9925.0,9764.0,225.0,205.0,7.0,132.0,167.0,25.0,8.720930232558139,34.883720930232556,4.941860465116279,7.848837209302325,13.662790697674419,3.488372093023256,1.4534883720930232
6,298.0,82.0,34.0,116.0,6.0,19.0,38.0,3.0,0.0,121.0,291.0,7.0,0.0,1.0,9937.0,9778.0,210.0,224.0,4.0,70.0,154.0,27.516778523489933,11.409395973154362,38.92617449664429,2.0134228187919465,6.375838926174497,12.751677852348994,1.0067114093959733,0.0
7,355.0,91.0,28.0,155.0,11.0,29.0,31.0,8.0,2.0,130.0,342.0,13.0,1.0,4.0,10216.0,10053.0,226.0,252.0,5.0,98.0,186.0,25.633802816901408,7.887323943661972,43.66197183098591,3.0985915492957745,8.169014084507042,8.732394366197184,2.2535211267605635,0.5633802816901409
8,358.0,100.0,24.0,131.0,17.0,27.0,53.0,6.0,0.0,128.0,348.0,10.0,0.0,5.0,9924.0,9761.0,247.0,260.0,5.0,93.0,184.0,27.932960893854748,6.70391061452514,36.59217877094972,4.748603351955308,7.5418994413407825,14.804469273743017,1.675977653631285,0.0
9,290.0,77.0,25.0,111.0,9.0,19.0,38.0,10.0,1.0,127.0,281.0,9.0,0.0,2.0,9769.0,9609.0,205.0,209.0,3.0,78.0,149.0,26.551724137931036,8.620689655172415,38.275862068965516,3.103448275862069,6.551724137931035,13.10344827586207,3.4482758620689653,0.3448275862068966
10,321.0,76.0,33.0,125.0,7.0,21.0,48.0,9.0,2.0,135.0,307.0,14.0,0.0,2.0,9846.0,9686.0,218.0,229.0,7.0,85.0,173.0,23.67601246105919,10.280373831775702,38.940809968847354,2.1806853582554515,6.542056074766355,14.953271028037383,2.803738317757009,0.6230529595015576
11,355.0,88.0,35.0,131.0,8.0,26.0,61.0,4.0,2.0,134.0,339.0,16.0,0.0,4.0,9983.0,9821.0,222.0,237.0,6.0,112.0,192.0,24.788732394366196,9.859154929577464,36.901408450704224,2.2535211267605635,7.323943661971831,17.183098591549296,1.1267605633802817,0.5633802816901409
