,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,2.0
72,3.0
73,2.0
74,2.0
75,5.0
76,8.0
77,10.0
78,12.0
79,14.0
80,17.0
81,19.0
82,18.0
83,23.0
84,23.0
85,25.0
86,27.0
87,28.0
88,36.0
89,43.0
90,40.0
91,43.0
92,42.0
93,48.0
94,45.0
95,38.0
96,34.0
97,31.0
98,30.0
99,28.0
100,21.0
101,20.0
102,19.0
103,17.0
104,19.0
105,17.0
106,15.0
107,15.0
108,17.0
109,15.0
110,15.0
111,10.0
112,10.0
113,12.0
114,9.0
115,9.0
116,15.0
117,12.0
118,14.0
119,14.0
120,15.0
121,18.0
122,17.0
123,11.0
124,11.0
125,9.0
126,7.0
127,5.0
128,5.0
129,5.0
130,6.0
131,7.0
132,7.0
133,9.0
134,8.0
135,6.0
136,5.0
137,5.0
138,3.0
139,3.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,0.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,1.0
196,1.0
197,1.0
198,1.0
199,2.0
200,2.0
201,2.0
202,1.0
203,3.0
204,5.0
205,7.0
206,6.0
207,6.0
208,8.0
209,9.0
210,7.0
211,5.0
212,3.0
213,5.0
214,6.0
215,5.0
216,4.0
217,5.0
218,6.0
219,8.0
220,6.0
221,5.0
222,5.0
223,6.0
224,7.0
225,6.0
226,4.0
227,4.0
228,4.0
229,3.0
230,3.0
231,2.0
232,2.0
233,3.0
234,5.0
235,6.0
236,7.0
237,6.0
238,5.0
