,peak transmission
0,6.0
1,10.0
2,11.0
3,7.0
4,8.0
5,8.0
6,6.0
7,8.0
8,6.0
9,6.0
10,10.0
11,8.0
12,8.0
13,5.0
14,8.0
15,9.0
16,6.0
17,7.0
18,8.0
19,10.0
20,5.0
21,10.0
22,7.0
23,9.0
24,9.0
25,7.0
26,6.0
27,7.0
28,7.0
29,6.0
30,9.0
31,6.0
32,8.0
33,7.0
34,9.0
35,8.0
36,5.0
37,8.0
38,8.0
39,8.0
40,10.0
41,11.0
42,7.0
43,9.0
44,10.0
45,9.0
46,8.0
47,10.0
48,8.0
49,9.0
50,7.0
51,9.0
52,8.0
53,7.0
54,11.0
55,9.0
56,10.0
57,6.0
58,6.0
59,7.0
60,6.0
61,8.0
62,10.0
63,6.0
64,8.0
65,5.0
66,8.0
67,7.0
68,7.0
69,9.0
70,8.0
71,6.0
72,8.0
73,9.0
74,10.0
75,5.0
76,8.0
77,8.0
78,5.0
79,7.0
80,8.0
81,7.0
82,6.0
83,10.0
84,6.0
85,7.0
86,6.0
87,8.0
88,9.0
89,8.0
90,10.0
91,9.0
92,7.0
93,9.0
94,10.0
95,11.0
96,7.0
97,6.0
98,6.0
99,9.0
