,Num_contacts,num_contacts_traced,num_positive_contacts,num_sympt_patients_traced,contact_tracing_time,tracing_round,hcw_id,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,hcws_put_on_ppe,patients_put_in_isolation
0,27,10,2,2,93.47222222222223,1,75,86.70138888888889,21,1,2,2
1,39,19,0,0,138.80555555555554,1,87,135.0,10,0,7,14
2,31,13,1,1,105.19444444444444,1,43,101.45833333333333,6,0,8,6
3,38,14,0,8,107.98611111111111,1,150,103.0,1,0,5,7
4,27,9,1,1,116.40972222222223,1,24,108.53472222222223,20,0,9,7
5,7,4,0,3,86.14583333333333,1,36,85.0,6,1,2,0
6,6,5,0,1,135.59027777777777,1,175,131.0,6,0,5,0
7,25,9,4,1,90.36805555555556,1,165,87.04166666666667,16,1,5,1
8,32,12,1,1,86.47222222222223,1,74,82.375,14,1,5,10
9,30,10,3,1,81.63194444444444,1,170,76.29166666666667,24,1,5,3
10,28,5,4,4,117.77083333333333,1,134,113.84722222222223,22,2,0,3
11,25,10,0,0,146.15972222222223,1,179,140.0,20,0,5,8
12,24,12,0,1,89.25694444444444,1,192,86.18055555555556,9,1,6,3
13,14,7,1,5,91.84722222222223,1,76,86.0,8,0,4,0
14,34,18,1,7,93.23611111111111,1,213,89.0,19,0,7,9
15,37,13,0,3,80.81944444444444,1,143,77.02777777777777,18,2,6,3
16,37,13,0,1,102.59027777777777,1,111,99.33333333333333,22,1,4,6
17,26,11,0,1,101.88194444444444,1,200,92.0,22,1,5,6
18,13,7,0,6,88.90277777777777,1,21,82.0,1,0,5,0
19,23,6,3,1,82.8125,1,206,78.19444444444444,25,0,4,8
20,21,4,0,0,72.30555555555556,1,72,69.0,9,0,3,3
21,34,7,0,1,149.30555555555554,1,236,144.33333333333334,25,0,5,6
22,16,8,0,0,102.96527777777777,1,29,98.0,6,0,7,0
23,43,18,0,0,95.70833333333333,1,53,83.84027777777777,26,0,8,16
24,19,9,0,7,111.56944444444444,1,102,100.0,4,0,5,0
25,25,7,0,0,142.47222222222223,1,171,137.0,23,0,3,8
26,44,20,3,1,100.52083333333333,1,190,95.5,24,0,9,18
27,28,11,0,1,221.13194444444446,1,119,215.0,27,0,6,8
28,31,11,0,1,152.15277777777777,1,40,144.16666666666666,13,0,7,9
29,30,6,0,1,97.31944444444444,1,25,95.875,14,2,3,2
30,13,6,0,7,86.00694444444444,1,197,76.0,4,0,4,0
31,6,6,0,0,133.5,1,46,129.0,7,0,4,0
32,7,6,1,0,107.24305555555556,1,148,99.0,8,0,3,0
33,4,3,0,1,147.40277777777777,1,91,141.66666666666666,7,0,3,0
34,11,4,0,7,89.5,1,110,83.0,2,0,3,0
35,31,11,0,1,125.72222222222223,1,124,121.1875,13,0,5,7
36,28,10,2,1,81.63888888888889,1,204,75.16666666666667,24,2,3,0
37,31,14,2,12,91.625,1,19,88.0,2,0,3,0
38,30,11,3,1,82.72222222222223,1,30,78.79166666666667,24,0,8,5
39,15,8,1,2,93.46527777777777,1,100,87.0,7,0,6,0
40,32,10,1,1,82.875,1,83,80.68055555555556,24,1,3,6
41,34,12,0,1,127.38194444444444,1,51,120.36805555555556,10,3,8,9
42,25,5,1,1,148.08333333333334,1,66,144.66666666666666,13,0,5,8
43,40,11,0,2,128.125,1,173,121.0,2,1,4,0
44,26,9,3,2,92.09027777777777,1,63,89.1875,21,1,7,9
45,24,12,1,4,100.70138888888889,1,1178,100.0,6,0,7,0
46,7,4,0,3,84.77777777777777,1,1629,79.0,6,0,4,0
47,21,7,1,6,115.5625,1,1773,111.0,20,0,5,5
48,33,14,0,0,75.25,1,1597,71.0,9,1,9,10
49,11,6,0,0,68.06944444444444,1,1320,61.0,9,0,5,1
50,26,14,1,1,84.70138888888889,1,1419,81.0,14,1,7,12
51,15,6,0,6,95.40277777777777,1,1664,92.0,9,0,3,3
52,39,17,0,0,150.09027777777777,1,1770,144.89583333333334,20,0,5,7
53,30,8,0,0,90.45833333333333,1,1197,88.44444444444444,11,0,7,10
54,28,8,0,4,78.89583333333333,1,1294,74.17361111111111,18,2,6,8
55,34,11,2,2,94.45833333333333,1,1639,91.00694444444444,21,2,9,7
56,16,7,0,4,97.48611111111111,1,1710,91.0,7,0,4,0
57,18,5,0,0,76.97222222222223,1,1499,73.0,9,1,4,5
58,10,6,0,4,88.71527777777777,1,1085,83.0,3,0,5,0
59,5,5,0,0,212.20833333333334,1,1285,205.0,3,0,4,0
60,14,9,0,3,93.46527777777777,1,1281,87.75,7,1,4,0
61,6,6,0,0,79.04861111111111,1,1103,74.0,6,0,3,0
62,10,5,0,6,89.75694444444444,1,1622,84.0,2,0,3,0
63,27,11,1,1,100.78472222222223,1,1421,96.44444444444444,22,1,5,16
64,27,7,2,0,86.70833333333333,1,1534,81.70833333333333,24,1,6,5
65,32,13,1,3,123.0,1,1715,119.45833333333333,10,1,5,11
66,30,10,0,0,104.1875,1,1206,101.0,13,0,7,9
67,28,8,0,3,122.0,1,1358,114.33333333333333,22,1,5,2
68,42,17,1,0,103.70833333333333,1,1365,101.29166666666667,20,1,9,16
69,26,8,0,1,110.84722222222223,1,1335,105.0,13,0,5,6
70,42,18,2,2,77.65972222222223,1,1341,69.0,10,0,6,11
71,25,6,2,4,118.00694444444444,1,1780,114.22222222222223,21,0,4,0
72,32,13,1,0,108.82638888888889,1,1149,105.17361111111111,26,0,6,9
73,24,12,1,0,79.58333333333333,1,1409,75.11111111111111,2,1,3,0
