,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,2
69,2
70,3
71,3
72,3
73,3
74,5
75,6
76,7
77,7
78,10
79,12
80,13
81,14
82,14
83,15
84,16
85,16
86,17
87,18
88,20
89,21
90,22
91,24
92,25
93,26
94,29
95,31
96,33
97,36
98,39
99,41
100,42
101,44
102,45
103,47
104,48
105,51
106,54
107,56
108,57
109,60
110,61
111,64
112,65
113,68
114,69
115,70
116,70
117,70
118,70
119,70
120,71
121,71
122,71
123,72
124,73
125,73
126,73
127,74
128,75
129,77
130,77
131,77
132,77
133,78
134,78
135,79
136,79
137,79
138,79
139,79
140,80
141,81
142,81
143,81
144,82
145,82
146,82
147,82
148,83
149,83
150,83
151,83
152,84
153,84
154,84
155,85
156,85
157,85
158,85
159,85
160,85
161,85
162,85
163,85
164,85
165,85
166,85
167,85
168,85
169,85
170,85
171,86
172,86
173,86
174,86
175,86
176,87
177,87
178,87
179,87
180,87
181,87
182,87
183,87
184,87
185,87
186,87
187,87
188,87
189,87
190,87
191,87
192,87
193,87
194,87
195,87
196,87
197,87
198,87
199,87
200,87
201,87
202,87
203,87
204,87
205,87
206,87
207,87
208,87
209,87
210,87
211,88
212,89
213,89
214,91
215,93
216,93
217,93
218,93
219,93
220,93
221,93
222,93
223,93
224,93
225,93
226,93
227,93
228,93
229,93
230,93
231,93
232,93
233,93
234,93
235,93
236,93
237,93
238,93
