,Num_contacts,num_contacts_traced,num_positive_contacts,num_sympt_patients_traced,contact_tracing_time,tracing_round,hcw_id,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,hcws_put_on_ppe,patients_put_in_isolation
0,28,19,3,0,71.97916666666667,1,1104,68.0,18,0,0,0
1,40,24,3,0,71.98611111111111,1,47,71.52777777777777,18,1,0,0
2,24,15,4,0,74.81944444444444,1,125,71.0,21,0,0,0
3,27,20,3,0,74.81944444444444,1,1516,73.95138888888889,21,1,0,0
4,25,15,0,0,74.88888888888889,1,1254,66.0,28,0,0,0
5,6,6,0,0,75.5,1,1491,73.0,7,0,0,0
6,31,17,3,0,76.28472222222223,1,1665,70.0,20,0,0,0
7,31,15,1,0,76.28472222222223,1,1498,72.54166666666667,20,2,0,0
8,28,16,1,0,76.29166666666667,1,1043,74.0,20,2,0,0
9,31,18,3,1,76.72222222222223,1,1196,71.0,12,0,0,0
10,28,16,4,0,78.77777777777777,1,1464,72.0,12,0,0,0
11,32,17,3,0,78.77777777777777,1,1363,76.45833333333333,12,1,0,0
12,26,15,2,0,79.10416666666667,1,138,77.0,14,0,0,0
13,30,16,1,0,79.59722222222223,1,73,75.0,15,0,0,0
14,7,6,0,0,80.19444444444444,1,1483,74.83333333333333,1,0,0,0
15,32,16,2,0,81.08333333333333,1,1290,74.11805555555556,12,0,0,0
16,10,10,1,2,81.30555555555556,1,157,78.0,6,0,0,0
17,21,10,1,0,82.08333333333333,1,165,75.0,9,0,0,0
18,31,18,0,0,82.27777777777777,1,1596,79.61111111111111,15,0,0,0
19,32,18,8,0,82.84027777777777,1,116,79.04166666666667,10,0,0,0
20,29,17,7,0,82.84027777777777,1,1183,77.0,10,1,0,0
21,30,17,0,1,83.875,1,1573,81.0,21,0,0,0
22,19,11,0,0,83.89583333333333,1,1500,78.83333333333333,9,0,0,0
23,22,17,2,1,84.88194444444444,1,1354,80.94444444444444,15,0,0,0
24,30,18,6,0,84.89583333333333,1,1235,79.68055555555556,9,0,0,0
25,37,25,9,0,84.89583333333333,1,1008,82.66666666666667,17,3,0,0
26,29,18,4,0,84.89583333333333,1,1572,84.72916666666667,19,3,0,0
27,27,13,4,0,84.89583333333333,1,1003,83.0,17,1,0,0
28,41,25,3,0,84.90277777777777,1,1525,80.72916666666667,23,3,0,0
29,6,6,0,1,85.03472222222223,1,1545,83.0,3,0,0,0
30,32,17,6,2,85.18055555555556,1,1388,81.34722222222223,10,0,0,0
31,29,17,5,1,85.375,1,1172,79.56944444444444,19,0,0,0
32,27,16,4,1,85.375,1,1015,80.45833333333333,19,1,0,0
33,17,8,0,0,86.11805555555556,1,1381,84.0,9,0,0,0
34,29,13,1,0,86.18055555555556,1,1244,85.0,23,0,0,0
35,27,12,6,0,86.20138888888889,1,93,81.86805555555556,10,0,0,0
36,26,12,5,0,86.20138888888889,1,1650,81.73611111111111,10,1,0,0
37,31,12,4,0,86.20833333333333,1,178,82.875,10,1,0,0
