,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,1
71,3
72,5
73,5
74,8
75,8
76,11
77,13
78,15
79,17
80,24
81,27
82,29
83,31
84,36
85,37
86,39
87,40
88,42
89,44
90,45
91,48
92,50
93,51
94,54
95,59
96,59
97,60
98,67
99,67
100,68
101,69
102,74
103,78
104,78
105,79
106,80
107,81
108,81
109,82
110,85
111,89
112,93
113,94
114,94
115,94
116,94
117,95
118,97
119,99
120,100
121,104
122,104
123,104
124,105
125,106
126,107
127,107
128,108
129,109
130,109
131,109
132,109
133,109
134,109
135,109
136,109
137,109
138,109
139,109
140,109
141,109
142,109
143,109
144,109
145,110
146,111
147,113
148,113
149,113
150,113
151,114
152,114
153,114
154,115
155,115
156,115
157,116
158,116
159,116
160,116
161,116
162,116
163,116
164,116
165,116
166,118
167,118
168,118
169,118
170,118
171,118
172,118
173,118
174,118
175,118
176,118
177,118
178,118
179,118
180,118
181,118
182,119
183,119
184,120
185,120
186,120
187,121
188,121
189,121
190,121
191,121
192,121
193,121
194,121
195,121
196,121
197,121
198,121
199,121
200,121
201,122
202,122
203,122
204,124
205,124
206,124
207,124
208,125
209,125
210,125
211,125
212,125
213,125
214,125
215,125
216,125
217,125
218,125
219,125
220,125
221,125
222,125
223,125
224,125
225,125
226,125
227,125
228,125
229,125
230,125
231,125
232,125
233,125
234,125
235,125
236,125
237,125
238,125
