,transmission_time,incubation_time,infection_time,disease_state
0,9913,387,9504,State.EXPOSED
1,10320,232,10080,State.EXPOSED
2,10537,15,10080,State.EXPOSED
3,10953,,10656,State.ASYMPTOMATIC
4,10962,437,10800,State.EXPOSED
5,10968,550,10656,State.EXPOSED
6,11024,21,10656,State.EXPOSED
7,11089,,10656,State.ASYMPTOMATIC
8,11168,324,10968,State.EXPOSED
9,11208,284,10968,State.EXPOSED
10,11233,259,10968,State.EXPOSED
11,11256,,10944,State.ASYMPTOMATIC
12,11257,,10944,State.ASYMPTOMATIC
13,11259,512,10953,State.EXPOSED
14,11259,774,11089,State.EXPOSED
15,11273,498,10953,State.EXPOSED
16,11289,482,10953,State.EXPOSED
17,11305,728,11089,State.EXPOSED
18,11307,,10800,State.ASYMPTOMATIC
19,11368,124,10968,State.EXPOSED
20,11400,286,11259,State.EXPOSED
21,11473,,11208,State.ASYMPTOMATIC
22,11474,559,11089,State.EXPOSED
23,11497,536,11089,State.EXPOSED
24,11521,625,11256,State.EXPOSED
25,11527,159,11259,State.EXPOSED
26,11544,142,11259,State.EXPOSED
27,11545,141,11259,State.EXPOSED
28,11545,,11307,State.ASYMPTOMATIC
29,11560,0,11115,State.MILD
30,11562,295,11273,State.EXPOSED
31,11577,,11307,State.ASYMPTOMATIC
32,11587,,11289,State.ASYMPTOMATIC
33,11604,,11168,State.ASYMPTOMATIC
34,11608,166,11376,State.EXPOSED
35,11609,,11307,State.ASYMPTOMATIC
36,11624,,11208,State.ASYMPTOMATIC
37,11633,670,11497,State.EXPOSED
38,11689,408,11376,State.EXPOSED
39,11720,304,11608,State.EXPOSED
40,11729,417,11256,State.EXPOSED
41,11736,,11624,State.ASYMPTOMATIC
42,11760,475,11562,State.EXPOSED
43,11761,542,11497,State.EXPOSED
44,11761,385,11256,State.EXPOSED
45,11765,,11307,State.ASYMPTOMATIC
46,11811,335,11256,State.EXPOSED
47,11824,273,11376,State.EXPOSED
48,11832,,11664,State.ASYMPTOMATIC
49,11835,144,11689,State.EXPOSED
50,11840,949,11545,State.EXPOSED
51,11850,619,11664,State.EXPOSED
52,11873,480,11761,State.EXPOSED
53,11880,,11527,State.ASYMPTOMATIC
54,11930,,11765,State.ASYMPTOMATIC
55,11934,879,11664,State.EXPOSED
56,11953,26,11689,State.EXPOSED
57,11986,483,11664,State.EXPOSED
58,11988,801,11545,State.EXPOSED
59,12000,,11736,State.ASYMPTOMATIC
60,12016,296,11729,State.EXPOSED
61,12017,295,11729,State.EXPOSED
62,12026,,11604,State.ASYMPTOMATIC
63,12030,637,11664,State.EXPOSED
64,12049,283,11808,State.EXPOSED
65,12078,542,11760,State.EXPOSED
66,12104,886,12000,State.EXPOSED
67,12112,357,11664,State.EXPOSED
68,12184,,11873,State.ASYMPTOMATIC
69,12185,312,11808,State.EXPOSED
70,12208,0,11655,State.MILD
71,12243,,12096,State.ASYMPTOMATIC
72,12245,,12096,State.ASYMPTOMATIC
73,12288,,11873,State.ASYMPTOMATIC
74,12294,,11873,State.ASYMPTOMATIC
75,12306,951,12245,State.EXPOSED
76,12336,267,11934,State.EXPOSED
77,12384,,12104,State.ASYMPTOMATIC
78,12384,0,12020,State.MILD
79,12386,,12096,State.ASYMPTOMATIC
80,12400,395,12016,State.EXPOSED
81,12408,426,12026,State.EXPOSED
82,12410,500,12096,State.EXPOSED
83,12424,,12096,State.ASYMPTOMATIC
84,12425,,12096,State.ASYMPTOMATIC
85,12426,,11986,State.MILD
86,12489,213,12185,State.EXPOSED
87,12534,69,11934,State.EXPOSED
88,12536,718,12184,State.EXPOSED
89,12569,341,12096,State.EXPOSED
90,12585,519,12384,State.EXPOSED
91,12592,112,12424,State.EXPOSED
92,12625,,12569,State.ASYMPTOMATIC
93,12633,624,12245,State.EXPOSED
94,12648,0,12020,State.MILD
95,12666,786,12386,State.EXPOSED
96,12689,,12425,State.ASYMPTOMATIC
97,12698,,12096,State.ASYMPTOMATIC
98,12704,,12536,State.ASYMPTOMATIC
99,12705,552,12245,State.EXPOSED
100,12737,367,12384,State.EXPOSED
101,12744,360,12384,State.EXPOSED
102,12747,135,12410,State.EXPOSED
103,12809,,12489,State.ASYMPTOMATIC
104,12824,0,12287,State.MILD
105,12864,937,12592,State.EXPOSED
106,12872,802,12306,State.EXPOSED
107,12881,223,12384,State.EXPOSED
108,12920,,12625,State.ASYMPTOMATIC
109,12936,392,12648,State.EXPOSED
110,12953,242,12698,State.EXPOSED
111,12964,231,12698,State.EXPOSED
112,12992,275,12737,State.EXPOSED
113,13001,290,12826,State.EXPOSED
114,13008,698,12960,State.EXPOSED
115,13009,366,12747,State.EXPOSED
116,13017,518,12816,State.EXPOSED
117,13065,152,12528,State.EXPOSED
118,13073,,12489,State.ASYMPTOMATIC
119,13080,0,12321,State.MILD
120,13089,216,12666,State.EXPOSED
121,13096,195,12826,State.EXPOSED
122,13105,162,12737,State.EXPOSED
123,13120,419,12816,State.EXPOSED
124,13121,110,12881,State.EXPOSED
125,13132,277,12964,State.EXPOSED
126,13136,1179,12992,State.EXPOSED
127,13145,356,12864,State.EXPOSED
128,13152,554,12960,State.EXPOSED
129,13153,300,12408,State.EXPOSED
130,13178,323,12864,State.EXPOSED
131,13201,90,12826,State.EXPOSED
132,13229,1199,13073,State.EXPOSED
133,13232,73,12666,State.EXPOSED
134,13241,238,12633,State.EXPOSED
135,13249,489,13017,State.EXPOSED
136,13265,,13001,State.ASYMPTOMATIC
137,13266,273,12816,State.EXPOSED
138,13276,133,12964,State.EXPOSED
139,13281,,13009,State.ASYMPTOMATIC
140,13288,1027,12992,State.EXPOSED
141,13306,1122,13073,State.EXPOSED
142,13320,,13120,State.ASYMPTOMATIC
143,13326,49,12747,State.EXPOSED
144,13347,711,13229,State.EXPOSED
145,13352,667,13008,State.EXPOSED
146,13369,388,13153,State.EXPOSED
147,13385,556,13266,State.EXPOSED
148,13393,589,13145,State.EXPOSED
149,13395,14,12964,State.EXPOSED
150,13408,907,12992,State.EXPOSED
151,13410,699,13249,State.EXPOSED
152,13416,693,13249,State.EXPOSED
153,13449,,13152,State.ASYMPTOMATIC
154,13494,599,13080,State.EXPOSED
155,13504,,13136,State.ASYMPTOMATIC
156,13529,369,13410,State.EXPOSED
157,13542,711,13281,State.EXPOSED
158,13568,346,13392,State.EXPOSED
159,13577,381,13201,State.EXPOSED
160,13584,,13178,State.ASYMPTOMATIC
161,13592,,13395,State.ASYMPTOMATIC
162,13617,686,13265,State.EXPOSED
163,13657,,13369,State.ASYMPTOMATIC
164,13683,620,13265,State.EXPOSED
165,13686,228,13392,State.EXPOSED
166,13692,417,13249,State.EXPOSED
167,13697,261,13201,State.EXPOSED
168,13713,201,13392,State.EXPOSED
169,13784,631,13416,State.EXPOSED
170,13800,521,13385,State.EXPOSED
171,13824,988,13680,State.EXPOSED
172,13833,,13713,State.ASYMPTOMATIC
173,13840,74,13392,State.EXPOSED
174,13874,241,13592,State.EXPOSED
175,13881,,13713,State.ASYMPTOMATIC
176,13905,210,13592,State.EXPOSED
177,13944,620,13347,State.EXPOSED
178,13952,,13784,State.ASYMPTOMATIC
179,13970,842,13680,State.EXPOSED
180,13976,,13657,State.ASYMPTOMATIC
181,13993,671,13800,State.EXPOSED
182,14017,,13657,State.ASYMPTOMATIC
183,14033,,13617,State.ASYMPTOMATIC
184,14042,372,13542,State.EXPOSED
185,14065,470,13680,State.EXPOSED
186,14116,696,13680,State.EXPOSED
187,14136,207,13970,State.EXPOSED
188,14144,,13968,State.ASYMPTOMATIC
189,14152,298,13840,State.EXPOSED
190,14152,1163,13976,State.EXPOSED
191,14169,,13617,State.ASYMPTOMATIC
192,14201,721,13968,State.EXPOSED
193,14224,,13824,State.ASYMPTOMATIC
194,14256,,13824,State.ASYMPTOMATIC
195,14272,,13968,State.ASYMPTOMATIC
196,14306,616,13968,State.EXPOSED
197,14322,178,13881,State.EXPOSED
198,14336,,13824,State.ASYMPTOMATIC
199,14354,,14256,State.ASYMPTOMATIC
200,14384,568,14272,State.EXPOSED
201,14400,199,13968,State.EXPOSED
202,14417,335,14136,State.EXPOSED
203,14418,181,13968,State.EXPOSED
204,14496,456,14272,State.EXPOSED
205,14522,,14256,State.ASYMPTOMATIC
206,14528,,14169,State.ASYMPTOMATIC
207,14544,320,14354,State.EXPOSED
208,14545,637,14112,State.EXPOSED
209,14593,271,14354,State.EXPOSED
210,14600,,14336,State.ASYMPTOMATIC
211,14609,313,13968,State.EXPOSED
212,14616,336,14272,State.EXPOSED
213,14634,,14544,State.ASYMPTOMATIC
214,14680,712,14384,State.EXPOSED
215,14696,70,14400,State.EXPOSED
216,14698,,14256,State.ASYMPTOMATIC
217,14712,54,14400,State.EXPOSED
218,14737,350,14545,State.EXPOSED
219,14769,,14336,State.ASYMPTOMATIC
220,14777,,14256,State.ASYMPTOMATIC
221,14784,168,14272,State.EXPOSED
222,14784,639,14680,State.EXPOSED
223,14785,229,14496,State.EXPOSED
224,14785,540,14528,State.EXPOSED
225,14788,,14256,State.ASYMPTOMATIC
226,14816,198,14496,State.EXPOSED
227,14832,591,14680,State.EXPOSED
228,14840,583,14680,State.EXPOSED
229,14864,118,14544,State.EXPOSED
230,14865,117,14544,State.EXPOSED
231,14896,527,14680,State.EXPOSED
232,14904,239,14544,State.EXPOSED
233,14905,515,14616,State.EXPOSED
234,14906,514,14616,State.EXPOSED
235,14912,445,14609,State.EXPOSED
236,14921,710,14634,State.EXPOSED
237,14929,23,14272,State.EXPOSED
238,14976,6,14544,State.EXPOSED
239,14982,0,14544,State.EXPOSED
240,15002,,14906,State.ASYMPTOMATIC
241,15016,284,14832,State.EXPOSED
242,15024,,14544,State.ASYMPTOMATIC
243,15024,607,14634,State.EXPOSED
244,15032,388,14616,State.EXPOSED
245,15033,598,14634,State.EXPOSED
246,15042,0,14568,State.SEVERE
247,15052,,14906,State.ASYMPTOMATIC
248,15064,79,14544,State.EXPOSED
249,15104,,14784,State.ASYMPTOMATIC
250,15121,702,14905,State.EXPOSED
251,15122,631,14840,State.EXPOSED
252,15128,,14816,State.ASYMPTOMATIC
253,15138,881,14976,State.EXPOSED
254,15146,,14904,State.ASYMPTOMATIC
255,15148,469,15033,State.EXPOSED
256,15200,,14816,State.ASYMPTOMATIC
257,15201,344,14921,State.EXPOSED
258,15208,169,14785,State.EXPOSED
259,15217,550,15024,State.EXPOSED
260,15266,,14832,State.ASYMPTOMATIC
261,15267,205,15121,State.EXPOSED
262,15267,,14832,State.ASYMPTOMATIC
263,15282,144,14896,State.EXPOSED
264,15328,425,14840,State.EXPOSED
265,15410,,14832,State.ASYMPTOMATIC
266,15450,,15146,State.ASYMPTOMATIC
267,15465,,15201,State.ASYMPTOMATIC
268,15650,1438,15465,State.EXPOSED
269,15658,,15201,State.ASYMPTOMATIC
270,15720,237,15552,State.EXPOSED
271,15843,485,15658,State.EXPOSED
272,15912,525,15696,State.EXPOSED
273,15929,253,15696,State.EXPOSED
274,16065,117,15696,State.EXPOSED
275,16109,552,15650,State.EXPOSED
276,16130,414,15929,State.EXPOSED
277,16184,919,15840,State.EXPOSED
278,16229,92,15840,State.EXPOSED
279,16302,,15696,State.ASYMPTOMATIC
280,16374,287,15650,State.EXPOSED
281,16384,487,16128,State.EXPOSED
282,16441,,16130,State.ASYMPTOMATIC
283,16489,354,16109,State.EXPOSED
284,16537,334,16128,State.EXPOSED
285,16552,319,16128,State.EXPOSED
286,16561,,16272,State.ASYMPTOMATIC
287,16572,,16302,State.ASYMPTOMATIC
288,16640,,16441,State.ASYMPTOMATIC
289,16665,557,16560,State.EXPOSED
290,16755,326,16561,State.EXPOSED
291,16785,768,16640,State.EXPOSED
292,16841,381,16560,State.EXPOSED
293,16896,,16441,State.ASYMPTOMATIC
294,16921,632,16640,State.EXPOSED
295,16938,143,16561,State.EXPOSED
296,17056,497,16640,State.EXPOSED
297,17073,253,16489,State.EXPOSED
298,17188,826,16755,State.EXPOSED
299,17193,,16896,State.ASYMPTOMATIC
300,17328,225,16640,State.EXPOSED
301,17330,256,16938,State.EXPOSED
302,17339,247,16938,State.EXPOSED
303,17369,217,16938,State.EXPOSED
304,17370,216,16938,State.EXPOSED
305,17453,334,17188,State.EXPOSED
306,17488,,16896,State.ASYMPTOMATIC
307,17754,,17453,State.ASYMPTOMATIC
308,17880,,17453,State.ASYMPTOMATIC
309,18298,491,17754,State.EXPOSED
310,18312,110,17880,State.EXPOSED
311,18312,477,17754,State.EXPOSED
312,18360,62,17880,State.EXPOSED
313,19096,,18864,State.ASYMPTOMATIC
314,19384,,18864,State.ASYMPTOMATIC
315,19729,136,19384,State.EXPOSED
316,20028,368,19729,State.EXPOSED
317,20035,361,19729,State.EXPOSED
318,20041,355,19729,State.EXPOSED
319,20048,348,19729,State.EXPOSED
320,20066,0,19696,State.SEVERE
321,20160,236,19729,State.EXPOSED
322,20259,456,20035,State.EXPOSED
323,20305,,20066,State.ASYMPTOMATIC
324,20476,,20066,State.ASYMPTOMATIC
325,24992,,24624,State.ASYMPTOMATIC
326,25000,,24624,State.ASYMPTOMATIC
327,25136,,24624,State.ASYMPTOMATIC
328,25304,277,24992,State.EXPOSED
329,25440,303,25000,State.EXPOSED
330,25681,183,25488,State.EXPOSED
331,25840,24,25488,State.EXPOSED
332,32209,891,31968,State.EXPOSED
333,32592,475,32400,State.EXPOSED
334,32769,179,32209,State.EXPOSED
335,32880,187,32400,State.EXPOSED
336,33027,,32592,State.ASYMPTOMATIC
337,33050,,32592,State.ASYMPTOMATIC
338,33073,429,32688,State.EXPOSED
339,33113,389,32688,State.EXPOSED
340,33280,254,33073,State.EXPOSED
341,33296,707,33050,State.EXPOSED
342,33609,,33296,State.ASYMPTOMATIC
343,33610,,33296,State.ASYMPTOMATIC
344,33618,,33296,State.ASYMPTOMATIC
345,33626,,33296,State.ASYMPTOMATIC
346,33640,,33296,State.ASYMPTOMATIC
347,33809,463,33610,State.EXPOSED
348,34084,188,33610,State.EXPOSED
349,34368,274,34084,State.EXPOSED
