,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
1,215.0,0.0,0.0,0.0,0.0,0.0,0.0
2,219.0,0.0,0.0,0.0,0.0,0.0,0.0
3,213.0,0.0,0.0,0.0,0.0,0.0,0.0
4,212.0,0.0,0.0,0.0,0.0,0.0,0.0
5,220.0,0.0,0.0,0.0,0.0,0.0,0.0
6,231.0,0.0,0.0,0.0,0.0,0.0,0.0
7,246.0,0.0,0.0,0.0,0.0,0.0,0.0
8,251.0,0.0,0.0,0.0,0.0,0.0,0.0
9,243.0,0.0,0.0,0.0,0.0,0.0,0.0
10,243.0,0.0,0.0,0.0,0.0,0.0,0.0
11,227.0,0.0,0.0,0.0,0.0,0.0,0.0
12,221.0,0.0,0.0,0.0,0.0,0.0,0.0
13,221.0,0.0,0.0,0.0,0.0,0.0,0.0
14,240.0,0.0,0.0,0.0,0.0,0.0,0.0
15,236.0,0.0,0.0,0.0,0.0,0.0,0.0
16,248.0,0.0,0.0,0.0,0.0,0.0,0.0
17,255.0,0.0,0.0,0.0,0.0,0.0,0.0
18,250.0,0.0,0.0,0.0,0.0,0.0,0.0
19,243.0,0.0,0.0,0.0,0.0,0.0,0.0
20,233.0,0.0,0.0,0.0,0.0,0.0,0.0
21,224.0,0.0,0.0,0.0,0.0,0.0,0.0
22,232.0,0.0,0.0,0.0,0.0,0.0,0.0
23,232.0,0.0,0.0,0.0,0.0,0.0,0.0
24,232.0,0.0,0.0,0.0,0.0,0.0,0.0
25,230.0,0.0,0.0,0.0,0.0,0.0,0.0
26,233.0,0.0,0.0,0.0,0.0,0.0,0.0
27,226.0,0.0,0.0,0.0,0.0,0.0,0.0
28,232.0,0.0,0.0,0.0,0.0,0.0,0.0
29,234.0,0.0,0.0,0.0,0.0,0.0,0.0
30,240.0,0.0,0.0,0.0,0.0,0.0,0.0
31,236.0,0.0,0.0,0.0,0.0,0.0,0.0
32,237.0,0.0,0.0,0.0,0.0,0.0,0.0
33,236.0,0.0,0.0,0.0,0.0,0.0,0.0
34,225.0,0.0,0.0,0.0,0.0,0.0,0.0
