,transmission_time,incubation_time,infection_time,disease_state
0,10140,,9504,State.ASYMPTOMATIC
1,10488,274,9936,State.EXPOSED
2,10616,688,10512,State.EXPOSED
3,10732,807,10512,State.EXPOSED
4,10761,543,10512,State.EXPOSED
5,10784,520,10512,State.EXPOSED
6,10793,511,10512,State.EXPOSED
7,10850,,10512,State.ASYMPTOMATIC
8,10852,687,10512,State.EXPOSED
9,10878,661,10512,State.EXPOSED
10,10905,315,10732,State.EXPOSED
11,11010,529,10512,State.EXPOSED
12,11018,521,10512,State.EXPOSED
13,11089,,10850,State.ASYMPTOMATIC
14,11093,263,10852,State.EXPOSED
15,11105,115,10732,State.EXPOSED
16,11152,,10878,State.ASYMPTOMATIC
17,11177,,10850,State.ASYMPTOMATIC
18,11177,43,10732,State.EXPOSED
19,11184,245,10905,State.EXPOSED
20,11212,144,10852,State.EXPOSED
21,11240,1108,11018,State.EXPOSED
22,11248,,11105,State.ASYMPTOMATIC
23,11273,,11105,State.ASYMPTOMATIC
24,11344,1004,11018,State.EXPOSED
25,11392,648,11240,State.EXPOSED
26,11393,873,11089,State.EXPOSED
27,11440,908,11018,State.EXPOSED
28,11476,670,11184,State.EXPOSED
29,11496,0,10985,State.SEVERE
30,11508,197,11088,State.EXPOSED
31,11514,393,11232,State.EXPOSED
32,11556,,11376,State.ASYMPTOMATIC
33,11560,706,11089,State.EXPOSED
34,11568,154,11376,State.EXPOSED
35,11617,290,11232,State.EXPOSED
36,11617,,11392,State.ASYMPTOMATIC
37,11640,267,11232,State.EXPOSED
38,11640,475,11248,State.EXPOSED
39,11704,,11392,State.ASYMPTOMATIC
40,11712,403,11248,State.EXPOSED
41,11713,9,11376,State.EXPOSED
42,11718,179,11376,State.EXPOSED
43,11736,677,11617,State.EXPOSED
44,11752,375,11568,State.EXPOSED
45,11760,36,11520,State.EXPOSED
46,11768,,11392,State.ASYMPTOMATIC
47,11785,342,11568,State.EXPOSED
48,11800,613,11617,State.EXPOSED
49,11842,576,11704,State.EXPOSED
50,11848,565,11617,State.EXPOSED
51,11859,1099,11736,State.EXPOSED
52,11883,1387,11712,State.EXPOSED
53,11888,773,11440,State.EXPOSED
54,11910,592,11640,State.EXPOSED
55,11928,199,11568,State.EXPOSED
56,11952,801,11664,State.EXPOSED
57,11970,790,11556,State.EXPOSED
58,11976,437,11617,State.EXPOSED
59,11992,736,11760,State.EXPOSED
60,12004,1266,11712,State.EXPOSED
61,12009,,11752,State.ASYMPTOMATIC
62,12096,226,11848,State.EXPOSED
63,12097,225,11848,State.EXPOSED
64,12113,,11952,State.ASYMPTOMATIC
65,12114,304,11704,State.EXPOSED
66,12121,632,11664,State.EXPOSED
67,12126,292,11704,State.EXPOSED
68,12161,,11752,State.ASYMPTOMATIC
69,12168,1013,12097,State.EXPOSED
70,12201,301,11640,State.EXPOSED
71,12216,430,11800,State.EXPOSED
72,12216,512,11760,State.EXPOSED
73,12224,187,11952,State.EXPOSED
74,12250,72,11848,State.EXPOSED
75,12272,,11752,State.ASYMPTOMATIC
76,12281,,11752,State.ASYMPTOMATIC
77,12282,,11752,State.ASYMPTOMATIC
78,12288,298,12114,State.EXPOSED
79,12289,493,11842,State.EXPOSED
80,12328,680,12224,State.EXPOSED
81,12409,518,12216,State.EXPOSED
82,12412,,12121,State.ASYMPTOMATIC
83,12417,,11952,State.ASYMPTOMATIC
84,12424,550,11992,State.EXPOSED
85,12438,697,12168,State.EXPOSED
86,12438,148,12114,State.EXPOSED
87,12457,724,12097,State.EXPOSED
88,12457,129,12114,State.EXPOSED
89,12460,,12121,State.ASYMPTOMATIC
90,12472,350,12438,State.EXPOSED
91,12481,700,12097,State.EXPOSED
92,12520,1027,11888,State.EXPOSED
93,12528,,12113,State.ASYMPTOMATIC
94,12529,1053,12240,State.EXPOSED
95,12544,0,11654,State.MILD
96,12553,1029,12240,State.EXPOSED
97,12554,36,12282,State.EXPOSED
98,12568,440,12224,State.EXPOSED
99,12568,118,12126,State.EXPOSED
100,12570,0,12101,State.SEVERE
101,12576,,12424,State.ASYMPTOMATIC
102,12584,818,12240,State.EXPOSED
103,12592,531,12161,State.EXPOSED
104,12601,801,12240,State.EXPOSED
105,12617,408,12328,State.EXPOSED
106,12617,590,12281,State.EXPOSED
107,12625,564,12272,State.EXPOSED
108,12633,539,12409,State.EXPOSED
109,12641,432,12250,State.EXPOSED
110,12649,523,12409,State.EXPOSED
111,12656,533,12272,State.EXPOSED
112,12664,592,12528,State.EXPOSED
113,12673,485,12417,State.EXPOSED
114,12680,478,12417,State.EXPOSED
115,12713,494,12281,State.EXPOSED
116,12721,,12460,State.ASYMPTOMATIC
117,12728,129,12096,State.EXPOSED
118,12736,453,12272,State.EXPOSED
119,12744,78,12438,State.EXPOSED
120,12744,135,12584,State.EXPOSED
121,12752,35,12384,State.EXPOSED
122,12754,33,12384,State.EXPOSED
123,12760,624,12472,State.EXPOSED
124,12762,,12460,State.ASYMPTOMATIC
125,12768,589,12520,State.EXPOSED
126,12777,,12649,State.ASYMPTOMATIC
127,12784,224,12568,State.EXPOSED
128,12801,,12649,State.ASYMPTOMATIC
129,12820,,12457,State.ASYMPTOMATIC
130,12821,597,12672,State.EXPOSED
131,12832,326,12417,State.EXPOSED
132,12833,146,12384,State.EXPOSED
133,12840,,12412,State.ASYMPTOMATIC
134,12840,985,12528,State.EXPOSED
135,12848,31,12584,State.EXPOSED
136,12850,129,12384,State.EXPOSED
137,12865,655,12777,State.EXPOSED
138,12890,93,12576,State.EXPOSED
139,12891,,12460,State.ASYMPTOMATIC
140,12929,,12633,State.ASYMPTOMATIC
141,12936,,12481,State.ASYMPTOMATIC
142,12942,161,12554,State.EXPOSED
143,12944,500,12768,State.EXPOSED
144,12953,404,12520,State.EXPOSED
145,12961,197,12417,State.EXPOSED
146,12961,848,12713,State.EXPOSED
147,12986,534,12777,State.EXPOSED
148,12990,96,12672,State.EXPOSED
149,13001,132,12568,State.EXPOSED
150,13008,376,12472,State.EXPOSED
151,13008,,12568,State.MILD
152,13011,570,12961,State.EXPOSED
153,13026,0,12365,State.SEVERE
154,13032,648,12752,State.EXPOSED
155,13048,,12728,State.ASYMPTOMATIC
156,13048,656,12840,State.EXPOSED
157,13050,376,12760,State.EXPOSED
158,13056,307,12672,State.EXPOSED
159,13056,173,12840,State.EXPOSED
160,13064,432,12656,State.EXPOSED
161,13088,101,12272,State.EXPOSED
162,13088,744,12784,State.EXPOSED
163,13096,400,12656,State.EXPOSED
164,13104,,12728,State.ASYMPTOMATIC
165,13110,308,12672,State.EXPOSED
166,13112,106,12744,State.EXPOSED
167,13113,456,12891,State.EXPOSED
168,13120,560,12752,State.EXPOSED
169,13128,552,12752,State.EXPOSED
170,13129,680,12713,State.EXPOSED
171,13144,74,12744,State.EXPOSED
172,13144,,12848,State.ASYMPTOMATIC
173,13144,784,12890,State.EXPOSED
174,13152,,12617,State.ASYMPTOMATIC
175,13176,53,12840,State.EXPOSED
176,13176,53,12840,State.EXPOSED
177,13176,362,12801,State.EXPOSED
178,13193,176,12821,State.EXPOSED
179,13200,,12961,State.ASYMPTOMATIC
180,13224,733,13144,State.EXPOSED
181,13242,,12944,State.ASYMPTOMATIC
182,13248,,12848,State.ASYMPTOMATIC
183,13256,286,13104,State.EXPOSED
184,13256,,12848,State.ASYMPTOMATIC
185,13272,,12848,State.ASYMPTOMATIC
186,13274,295,12891,State.EXPOSED
187,13282,206,13144,State.EXPOSED
188,13296,,13011,State.ASYMPTOMATIC
189,13304,,13048,State.ASYMPTOMATIC
190,13312,,13008,State.ASYMPTOMATIC
191,13312,,13048,State.ASYMPTOMATIC
192,13314,,13008,State.ASYMPTOMATIC
193,13314,,12960,State.ASYMPTOMATIC
194,13320,450,12865,State.EXPOSED
195,13338,640,13026,State.EXPOSED
196,13338,,13048,State.ASYMPTOMATIC
197,13344,,13224,State.ASYMPTOMATIC
198,13345,612,13144,State.EXPOSED
199,13369,,12942,State.ASYMPTOMATIC
200,13374,,12944,State.ASYMPTOMATIC
201,13393,,13248,State.ASYMPTOMATIC
202,13394,,13248,State.ASYMPTOMATIC
203,13400,1289,13120,State.EXPOSED
204,13409,,12848,State.ASYMPTOMATIC
205,13424,1265,13120,State.EXPOSED
206,13440,302,13304,State.EXPOSED
207,13442,137,13176,State.EXPOSED
208,13446,,13314,State.ASYMPTOMATIC
209,13448,563,13176,State.EXPOSED
210,13456,,13008,State.ASYMPTOMATIC
211,13464,,13048,State.ASYMPTOMATIC
212,13465,,12960,State.ASYMPTOMATIC
213,13512,230,13304,State.EXPOSED
214,13512,660,13312,State.EXPOSED
215,13512,437,13256,State.EXPOSED
216,13513,,12942,State.ASYMPTOMATIC
217,13528,376,13096,State.EXPOSED
218,13529,,12777,State.MILD
219,13536,368,13096,State.EXPOSED
220,13544,157,13456,State.EXPOSED
221,13545,443,13144,State.EXPOSED
222,13560,498,13248,State.EXPOSED
223,13562,51,13274,State.EXPOSED
224,13569,380,13256,State.EXPOSED
225,13586,,13200,State.ASYMPTOMATIC
226,13588,,13200,State.ASYMPTOMATIC
227,13592,580,13312,State.EXPOSED
228,13600,,13176,State.ASYMPTOMATIC
229,13608,,13314,State.ASYMPTOMATIC
230,13609,741,13338,State.EXPOSED
231,13609,,13048,State.ASYMPTOMATIC
232,13610,562,13312,State.EXPOSED
233,13617,,13008,State.ASYMPTOMATIC
234,13641,,13394,State.ASYMPTOMATIC
235,13656,593,13296,State.EXPOSED
236,13664,585,13296,State.EXPOSED
237,13672,404,13464,State.EXPOSED
238,13674,,13512,State.ASYMPTOMATIC
239,13697,291,13144,State.EXPOSED
240,13704,532,13608,State.EXPOSED
241,13705,291,13513,State.EXPOSED
242,13728,203,13600,State.EXPOSED
243,13728,,13176,State.ASYMPTOMATIC
244,13729,289,13320,State.EXPOSED
245,13730,212,13338,State.EXPOSED
246,13731,,13314,State.ASYMPTOMATIC
247,13758,,13314,State.ASYMPTOMATIC
248,13784,229,13512,State.EXPOSED
249,13793,,13512,State.ASYMPTOMATIC
250,13800,,13512,State.ASYMPTOMATIC
251,13808,205,13512,State.EXPOSED
252,13816,,13664,State.ASYMPTOMATIC
253,13817,883,13588,State.EXPOSED
254,13824,,13456,State.MILD
255,13832,417,13296,State.EXPOSED
256,13840,95,13392,State.EXPOSED
257,13848,627,13730,State.EXPOSED
258,13851,180,13272,State.EXPOSED
259,13878,583,13446,State.EXPOSED
260,13880,581,13446,State.EXPOSED
261,13888,457,13728,State.EXPOSED
262,13897,429,13697,State.EXPOSED
263,13897,273,13545,State.EXPOSED
264,13898,,13610,State.ASYMPTOMATIC
265,13899,271,13545,State.EXPOSED
266,13902,,13544,State.ASYMPTOMATIC
267,13904,,13248,State.ASYMPTOMATIC
268,13905,548,13393,State.EXPOSED
269,13908,120,13592,State.EXPOSED
270,13912,40,13586,State.EXPOSED
271,13952,,13512,State.ASYMPTOMATIC
272,13976,499,13730,State.EXPOSED
273,13976,125,13569,State.EXPOSED
274,13977,173,13562,State.EXPOSED
275,13980,,13848,State.ASYMPTOMATIC
276,14009,317,13697,State.EXPOSED
277,14017,11,13592,State.EXPOSED
278,14024,,13680,State.ASYMPTOMATIC
279,14032,,13897,State.ASYMPTOMATIC
280,14041,902,13899,State.EXPOSED
281,14048,209,13758,State.EXPOSED
282,14058,,13902,State.ASYMPTOMATIC
283,14088,,13512,State.ASYMPTOMATIC
284,14115,,13680,State.ASYMPTOMATIC
285,14120,,13832,State.ASYMPTOMATIC
286,14129,,13898,State.ASYMPTOMATIC
287,14137,381,13800,State.EXPOSED
288,14148,32,13704,State.EXPOSED
289,14152,902,14032,State.EXPOSED
290,14163,542,13908,State.EXPOSED
291,14168,228,13808,State.EXPOSED
292,14168,943,13952,State.EXPOSED
293,14184,868,13912,State.EXPOSED
294,14185,,13902,State.ASYMPTOMATIC
295,14208,846,14032,State.EXPOSED
296,14209,,13898,State.ASYMPTOMATIC
297,14210,308,13800,State.EXPOSED
298,14217,301,13800,State.EXPOSED
299,14264,578,14009,State.EXPOSED
300,14265,1203,13976,State.EXPOSED
301,14273,,13980,State.ASYMPTOMATIC
