,transmission_time,incubation_time,infection_time,disease_state
0,9364,107,8928,State.EXPOSED
1,10524,315,9936,State.EXPOSED
2,11211,498,10944,State.EXPOSED
3,11256,677,10944,State.EXPOSED
4,11368,745,10944,State.EXPOSED
5,11544,503,11368,State.EXPOSED
6,12073,,11952,State.ASYMPTOMATIC
7,12104,0,11777,State.MILD
8,12138,,11952,State.ASYMPTOMATIC
9,12156,,11952,State.ASYMPTOMATIC
10,12222,,11952,State.ASYMPTOMATIC
11,12240,,12138,State.ASYMPTOMATIC
12,12348,,11952,State.ASYMPTOMATIC
13,12390,,11952,State.ASYMPTOMATIC
14,12408,0,12036,State.MILD
15,12480,831,12222,State.EXPOSED
16,12489,340,12240,State.EXPOSED
17,12576,,12096,State.ASYMPTOMATIC
18,12576,0,12213,State.SEVERE
19,12702,1455,12390,State.EXPOSED
20,12810,0,12358,State.SEVERE
21,12842,,12384,State.ASYMPTOMATIC
22,12858,,12528,State.ASYMPTOMATIC
23,12858,345,12702,State.EXPOSED
24,12872,1315,12672,State.EXPOSED
25,12888,1299,12672,State.EXPOSED
26,13014,1173,12672,State.EXPOSED
27,13044,306,12816,State.EXPOSED
28,13056,,12810,State.ASYMPTOMATIC
29,13104,203,12672,State.EXPOSED
30,13128,0,12446,State.SEVERE
31,13272,35,12672,State.EXPOSED
32,13280,0,12597,State.MILD
33,13290,318,12960,State.EXPOSED
34,13514,,13248,State.ASYMPTOMATIC
35,13569,371,13104,State.EXPOSED
36,13638,,13248,State.ASYMPTOMATIC
37,13840,0,13195,State.MILD
38,13938,323,13536,State.EXPOSED
39,14334,911,14112,State.EXPOSED
40,15171,171,14832,State.EXPOSED
41,15276,,14832,State.ASYMPTOMATIC
42,15561,,15120,State.ASYMPTOMATIC
43,15793,1242,15561,State.EXPOSED
44,16177,1142,15840,State.EXPOSED
45,16212,1107,15840,State.EXPOSED
46,16320,999,15840,State.EXPOSED
47,16753,81,16320,State.EXPOSED
48,16944,399,16416,State.EXPOSED
49,17388,,16944,State.ASYMPTOMATIC
50,17430,544,16992,State.EXPOSED
51,17718,,17430,State.ASYMPTOMATIC
52,17840,,17280,State.ASYMPTOMATIC
53,18120,300,17840,State.EXPOSED
54,18562,,18120,State.ASYMPTOMATIC
55,21097,2,20880,State.EXPOSED
56,21168,,20448,State.ASYMPTOMATIC
57,21636,370,21168,State.EXPOSED
58,30396,,29952,State.ASYMPTOMATIC
59,30540,,29952,State.ASYMPTOMATIC
60,31672,520,31392,State.EXPOSED
61,32760,197,32544,State.EXPOSED
62,33192,934,32760,State.EXPOSED
