,transmission_time,incubation_time,infection_time,disease_state
0,10177,,9792,State.ASYMPTOMATIC
1,10346,,9792,State.ASYMPTOMATIC
2,10480,361,10224,State.EXPOSED
3,10488,353,10224,State.EXPOSED
4,10576,701,10368,State.EXPOSED
5,10648,,10488,State.ASYMPTOMATIC
6,10682,,10368,State.ASYMPTOMATIC
7,10712,669,10177,State.EXPOSED
8,10752,,10368,State.ASYMPTOMATIC
9,10801,,10368,State.ASYMPTOMATIC
10,10808,,10801,State.ASYMPTOMATIC
11,10904,,10488,State.ASYMPTOMATIC
12,10904,,10368,State.ASYMPTOMATIC
13,10937,,10368,State.ASYMPTOMATIC
14,11008,109,10712,State.EXPOSED
15,11040,,10800,State.ASYMPTOMATIC
16,11064,462,10904,State.EXPOSED
17,11080,,10488,State.ASYMPTOMATIC
18,11100,349,10800,State.EXPOSED
19,11216,,11008,State.ASYMPTOMATIC
20,11238,520,10808,State.EXPOSED
21,11283,255,11088,State.EXPOSED
22,11284,254,11088,State.EXPOSED
23,11306,232,11088,State.EXPOSED
24,11334,776,11064,State.EXPOSED
25,11337,321,10937,State.EXPOSED
26,11340,,10800,State.ASYMPTOMATIC
27,11393,365,10808,State.EXPOSED
28,11404,254,10937,State.EXPOSED
29,11418,1782,11238,State.EXPOSED
30,11489,1033,11283,State.EXPOSED
31,11497,587,11216,State.EXPOSED
32,11529,1671,11238,State.EXPOSED
33,11617,493,11064,State.EXPOSED
34,11617,624,11337,State.EXPOSED
35,11643,286,11232,State.EXPOSED
36,11672,1528,11238,State.EXPOSED
37,11706,0,11289,State.SEVERE
38,11745,,11393,State.ASYMPTOMATIC
39,11760,,11520,State.ASYMPTOMATIC
40,11761,,11489,State.ASYMPTOMATIC
41,11769,315,11216,State.EXPOSED
42,11777,464,11337,State.EXPOSED
43,11793,,11393,State.ASYMPTOMATIC
44,11817,1377,11617,State.EXPOSED
45,11832,200,11672,State.EXPOSED
46,11832,426,11520,State.EXPOSED
47,11840,418,11520,State.EXPOSED
48,11864,214,11529,State.EXPOSED
49,11896,678,11761,State.EXPOSED
50,11920,,11489,State.ASYMPTOMATIC
51,11920,158,11529,State.EXPOSED
52,11931,502,11520,State.EXPOSED
53,11944,88,11672,State.EXPOSED
54,11958,336,11706,State.EXPOSED
55,11976,56,11672,State.EXPOSED
56,11977,236,11643,State.EXPOSED
57,11981,1213,11617,State.EXPOSED
58,11984,48,11672,State.EXPOSED
59,11992,,11840,State.ASYMPTOMATIC
60,11994,264,11520,State.EXPOSED
61,12017,,11745,State.ASYMPTOMATIC
62,12025,,11745,State.ASYMPTOMATIC
63,12033,180,11643,State.EXPOSED
64,12054,,11489,State.ASYMPTOMATIC
65,12066,,11808,State.ASYMPTOMATIC
66,12073,140,11643,State.EXPOSED
67,12075,358,11520,State.EXPOSED
68,12106,561,11992,State.EXPOSED
69,12121,534,11981,State.EXPOSED
70,12125,862,11832,State.EXPOSED
71,12144,,11840,State.ASYMPTOMATIC
72,12161,89,11864,State.EXPOSED
73,12168,,11840,State.ASYMPTOMATIC
74,12176,14,12033,State.EXPOSED
75,12216,,11793,State.ASYMPTOMATIC
76,12240,415,11981,State.EXPOSED
77,12257,664,12075,State.EXPOSED
78,12265,578,11931,State.EXPOSED
79,12288,378,12121,State.EXPOSED
80,12289,327,11896,State.EXPOSED
81,12298,,12106,State.ASYMPTOMATIC
82,12306,,11745,State.ASYMPTOMATIC
83,12336,401,12240,State.EXPOSED
84,12352,,11920,State.ASYMPTOMATIC
85,12354,290,12073,State.EXPOSED
86,12368,276,12073,State.EXPOSED
87,12377,,11920,State.ASYMPTOMATIC
88,12385,,11817,State.ASYMPTOMATIC
89,12386,,12106,State.ASYMPTOMATIC
90,12400,814,12265,State.EXPOSED
91,12408,989,11994,State.EXPOSED
92,12409,44,11976,State.EXPOSED
93,12409,179,11777,State.EXPOSED
94,12411,986,11994,State.EXPOSED
95,12424,790,12265,State.EXPOSED
96,12432,184,11896,State.EXPOSED
97,12450,,12161,State.ASYMPTOMATIC
98,12461,,12106,State.ASYMPTOMATIC
99,12482,1027,12025,State.EXPOSED
100,12497,313,12054,State.EXPOSED
101,12504,523,12352,State.EXPOSED
102,12504,140,12073,State.EXPOSED
103,12504,1219,12240,State.EXPOSED
104,12505,305,12054,State.EXPOSED
105,12513,,12106,State.ASYMPTOMATIC
106,12520,124,12073,State.EXPOSED
107,12520,146,12121,State.EXPOSED
108,12528,804,12240,State.EXPOSED
109,12545,669,12265,State.EXPOSED
110,12576,139,12432,State.EXPOSED
111,12577,,12461,State.ASYMPTOMATIC
112,12577,911,12289,State.EXPOSED
113,12580,908,12289,State.EXPOSED
114,12582,166,12240,State.EXPOSED
115,12585,190,12377,State.EXPOSED
116,12585,331,12240,State.EXPOSED
117,12603,,12461,State.ASYMPTOMATIC
118,12604,1411,12168,State.EXPOSED
119,12633,1090,12240,State.EXPOSED
120,12651,124,12377,State.EXPOSED
121,12656,10,12121,State.EXPOSED
122,12660,369,12354,State.EXPOSED
123,12672,43,12432,State.EXPOSED
124,12672,57,12408,State.EXPOSED
125,12680,531,12257,State.EXPOSED
126,12682,827,12025,State.EXPOSED
127,12682,520,12585,State.EXPOSED
128,12688,,11817,State.ASYMPTOMATIC
129,12698,688,12306,State.EXPOSED
130,12704,,12409,State.ASYMPTOMATIC
131,12723,1279,12580,State.EXPOSED
132,12736,454,12528,State.EXPOSED
133,12737,338,12288,State.EXPOSED
134,12744,355,12504,State.EXPOSED
135,12748,1254,12580,State.EXPOSED
136,12752,304,12368,State.EXPOSED
137,12760,296,12368,State.EXPOSED
138,12768,261,12354,State.EXPOSED
139,12768,215,12504,State.EXPOSED
140,12774,,12384,State.ASYMPTOMATIC
141,12792,,12513,State.ASYMPTOMATIC
142,12792,398,12528,State.EXPOSED
143,12801,327,12723,State.EXPOSED
144,12809,220,12354,State.EXPOSED
145,12809,914,12240,State.EXPOSED
